Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
 Year  Annual     JFM     AMJ     JAS     OND
 1960   26.39   26.25   28.32   25.32   25.66
 1961   26.55   25.70   28.65   25.30   25.49
 1962   26.36   26.35   28.06   25.12   25.63
 1963   26.74   26.96   28.36   25.90   25.55
 1964   26.34   26.51   28.16   25.06   25.45
 1965   25.99   25.06   27.79   25.34   25.56
 1966   26.73   26.04   28.75   26.03   25.84
 1967   26.19   25.56   28.34   25.79   25.08
 1968   26.58   25.03   28.31   26.25   26.53
 1969   27.25   26.97   29.68   26.26   25.99
 1970   27.15   26.41   29.18   25.94   26.59
 1971   26.48   25.46   28.48   25.66   25.90
 1972   26.69   25.59   28.45   26.71   26.02
 1973   27.02   26.01   29.41   26.79   25.87
 1974   25.98   25.11   28.00   25.45   25.36
 1975   26.24   25.34   28.25   25.71   25.50
 1976   26.09   25.22   28.07   25.85   25.21
 1977   26.52   25.39   28.63   26.05   26.02
 1978   26.61   25.94   28.69   25.98   25.46
 1979   26.90   26.34   28.68   26.42   26.16
 1980   26.83   26.06   29.05   26.30   25.92
 1981   26.75   25.73   29.03   26.27   25.97
 1982   26.43   25.05   28.67   26.71   25.28
 1983   27.23   26.48   29.11   26.83   26.52
 1984   26.78   25.43   29.25   27.04   25.39
 1985   26.21   25.27   27.64   25.89   26.06
 1986   26.13   24.53   28.92   26.07   25.00
 1987   27.10   25.48   29.16   27.42   26.33
 1988   26.45   25.45   29.12   25.75   25.48
 1989   26.67   25.57   28.75   26.21   26.14
 1990   26.87   26.20   28.56   26.40   26.32
 1991   26.84   25.73   28.74   26.42   26.26
 1992   26.55   26.04   28.63   25.81   25.70
 1993   26.58   25.45   29.01   26.26   25.59
 1994   26.29   25.11   28.52   25.86   25.65
 1995   26.74   25.47   28.97   26.39   26.12
 1996   26.85   26.18   29.12   26.23   25.87
 1997   26.95   26.33   28.60   26.18   26.71
 1998   27.47   27.19   29.79   26.27   26.63
 1999   26.57   25.51   28.88   25.82   26.05
 2000   26.86   26.56   29.01   26.26   25.62
 2001   27.06   25.57   28.98   26.34   27.35
 2002   27.08   26.72   28.76   26.70   26.15
 2003   26.98   26.23   28.86   26.15   26.68
 2004   27.35   26.49   29.15   26.58   27.18
 2005   27.51   26.57   29.71   26.69   27.06
 2006   27.12   26.03   29.31   26.89   26.26
