Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
      27.4046      26.4079      29.5528      27.1896      26.4683
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
YEAR   Annual     JFM     AMJ     JAS     OND
1960    -0.28    0.52   -0.46   -0.90   -0.27
1961    -0.12    0.41   -0.13   -0.92    0.16
1962    -0.31    0.90   -0.71   -1.10   -0.31
1963     0.08    1.23   -0.42   -0.32   -0.18
1964    -0.32    0.94   -0.62   -1.16   -0.46
1965    -0.67   -0.67   -0.99   -0.88   -0.15
1966     0.06    0.33   -0.03   -0.19    0.14
1967    -0.47   -0.16   -0.44   -0.43   -0.86
1968    -0.09   -0.57   -0.40    0.02    0.59
1969     0.59    1.25    0.90    0.03    0.17
1970     0.49    1.18    0.41   -0.29    0.65
1971    -0.19   -0.27   -0.30   -0.56    0.37
1972     0.03   -0.13   -0.33    0.49    0.09
1973     0.36    0.28    0.64    0.57   -0.06
1974    -0.68   -0.61   -0.78   -0.78   -0.56
1975    -0.42   -0.39   -0.53   -0.51   -0.27
1976    -0.58   -0.50   -0.71   -0.38   -0.72
1977    -0.14   -0.34   -0.15   -0.17    0.09
1978    -0.05    0.22   -0.09   -0.25   -0.09
1979     0.24    0.61   -0.10    0.20    0.22
1980     0.17    0.34    0.27    0.08   -0.01
1981     0.08   -0.00    0.25    0.04    0.03
1982    -0.24   -0.67   -0.11    0.48   -0.66
1983     0.57    0.75    0.33    0.60    0.59
1984     0.11   -0.30    0.47    0.82   -0.54
1985    -0.45   -0.46   -1.14   -0.33    0.12
1986    -0.54   -1.20    0.14   -0.15   -0.94
1987     0.43   -0.24    0.38    1.19    0.39
1988    -0.22   -0.28    0.34   -0.48   -0.46
1989     0.00   -0.15   -0.03   -0.01    0.21
1990     0.20    0.47   -0.21    0.18    0.38
1991     0.18    0.22   -0.03    0.19    0.33
1992    -0.12    0.31   -0.15   -0.41   -0.24
1993    -0.09   -0.28    0.23    0.04   -0.35
1994    -0.38   -0.62   -0.26   -0.36   -0.28
1995     0.07   -0.26    0.19    0.17    0.19
1996     0.19    0.45    0.34    0.01   -0.06
1997     0.29    0.60   -0.18   -0.04    0.77
1998     0.81    1.47    1.01    0.04    0.70
1999    -0.10   -0.21    0.10   -0.40    0.11
2000     0.19    0.83    0.23    0.03   -0.32
2001     0.39   -0.16    0.20    0.12    1.41
2002     0.41    1.00   -0.02    0.47    0.21
2003     0.32    0.51    0.09   -0.07    0.74
2004     0.68    0.76    0.37    0.35    1.24
2005     0.84    0.84    0.93    0.46    1.13
2006     0.46    0.30    0.53    0.67    0.33
