Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         34.06    39.47    30.90    20.38    45.85
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -3.19    37.63     1.16    -5.19   -22.81
1962     -0.83     2.53    -5.80     1.33    -3.14
1963     -7.42    -2.80    -7.83    -7.81    10.60
1964      3.67    43.70    -2.23     4.97     2.05
1965     -4.07   -12.65     2.53   -11.00    -8.23
1966     -0.31   -33.30    -7.97     2.24    18.16
1967      3.78    24.42     3.84     1.80     0.81
1968     -3.09   -25.03     1.20    -2.08   -11.61
1969      5.12   -32.21    -8.32     4.94    12.50
1970     -2.05    40.78    -3.98     1.30    -1.09
1971      1.85    -0.73   -18.23     7.25    11.14
1972      6.75   -28.22    11.07     2.67     0.20
1973      1.12    -1.28    -4.32    -2.29    -0.77
1974      2.11   -19.73     4.12    -3.40    11.84
1975     -3.32    19.27    -2.41     2.71   -14.27
1976     -1.40    15.15    -0.65     5.08     3.53
1977     -1.87   -10.87     1.46    -3.35   -10.45
1978     -0.85   -37.10    -2.87     0.95   -36.98
1979      1.52    32.04    13.64    -2.86     2.02
1980     -5.25   -23.23     6.89    -7.01     3.42
1981     -2.48    -8.60    -2.67     2.14     7.06
1982      5.99   -29.85    13.12     6.25    -6.00
1983      2.24    11.45     1.75     1.81     8.11
1984     -2.00    43.78    -3.45    -3.18     9.86
1985      0.55    17.92     6.08    -4.30     9.39
1986      0.38   -25.06     7.73    -0.07   -20.42
1987     -0.01   -19.04     1.19     4.07    -7.04
1988     -0.59   -17.19    -0.91    -0.60    -5.63
1989     -4.20    -2.37    -9.93    -0.21     5.48
1990     -0.46    33.58    -9.55     0.13     9.41
1991      1.17   -20.32     5.22    -0.05     4.23
1992     -1.09    28.45     4.99    -5.70   -12.26
1993     -1.90   -12.28     4.99   -10.99     4.35
1994     -3.95    29.55    -9.90    -0.15     5.66
1995      3.64    18.76   -12.94    12.14    -8.21
1996      7.80    28.18    -3.43    15.10    -0.57
1997     -4.68    -9.75    -1.91    -7.16     6.77
1998      4.70   -30.91     9.43    -6.01    17.13
1999     -3.71   -22.40    -4.54    -4.27     4.10
2000       NaN      NaN      NaN      NaN      NaN
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.38   -16.79   -15.15     4.31     2.08
2047     -6.16     1.31     2.25    -4.12     1.13
2048      8.00   -14.82     5.04    -3.65    24.64
2049      4.68     7.96    -2.13     0.93    13.01
2050     -5.24   -14.64    -8.27    -5.88    14.51
2051     -6.93    27.85   -12.05    -1.81     7.88
2052     -0.85    29.24    -2.18     0.64    10.14
2053     -2.49   -13.80    -7.31     4.77    -4.64
2054      2.03   -13.96     3.35     1.27    -1.25
2055      9.05   -20.00    -6.31    12.27     7.32
2056      2.03    47.67     5.07     6.69     3.67
2057     -2.22    53.60   -18.73    -1.76     3.19
2058      1.20   -18.02    -1.61     8.73     7.53
2059      8.39   -39.26    14.33     3.88     8.13
2060     -3.03    30.63    -0.99    -9.12     5.86
2061     -1.14    16.89     0.77    -1.86     4.49
2062      6.48   -25.97     5.58     7.89    15.24
2063     -3.91   -39.35   -13.57     0.87    -2.75
2064     -1.16   -24.17   -14.34    -3.69    21.98
2065      1.59   -11.50    -8.04     6.27    -0.12
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081       NaN      NaN      NaN      NaN      NaN
2082      2.71      NaN      NaN     1.93     6.31
2083     10.24   -34.85     4.07    19.47   -35.11
2084     12.70    -7.01     9.38    11.53    20.20
2085      2.37   -13.55     8.03    -1.99   -10.68
2086      0.04   -35.69    -0.37    -2.28    -5.07
2087     11.77    51.26    13.13     6.76     9.08
2088     11.33   -16.82    10.86     4.77    27.94
2089      9.31   -32.74    -4.55    15.85     9.74
2090      7.48   -34.83    -6.98     8.42    20.36
2091     10.37   -22.43    16.29     2.09    19.00
2092      6.38   -33.45     3.00    10.43    12.60
2093     -1.76   -20.66    -9.51    -0.94    -8.08
2094      5.01   -13.17     7.99     0.70    12.61
2095     -2.76    21.49     5.66    -2.61    -4.57
2096     18.03    -2.44    13.18    16.17     8.45
2097      7.47   -27.76     4.75     6.70     5.02
2098      5.71    39.00     6.54    12.57   -19.34
2099      7.76   -24.39    -1.63     9.56    18.02
2100       NaN      NaN      NaN      NaN      NaN
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
