Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         20.01    38.41    15.06    11.67    25.26
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -20.01      NaN      NaN      NaN      NaN
1961     -0.12    14.94    -0.10     0.64    -6.19
1962      4.72   -18.15    11.73     6.40    -8.97
1963      6.33    -5.41    20.07     0.90     8.03
1964     -1.03    12.11    -5.16     1.30   -10.60
1965     -2.27   -24.68    -5.10    -2.37    -6.08
1966      0.26    10.31    -5.45    -1.49     3.78
1967     17.04    10.00    37.16     9.29    19.14
1968     -2.51    19.45    -0.02    -3.23     8.78
1969     -3.23    -6.06    -8.33    -3.76     0.55
1970      2.07    19.89    14.40     0.08    -9.16
1971      4.41     7.80    -9.62     5.14    -0.26
1972      4.73     7.26     2.20     6.30   -11.83
1973     -5.77   -24.07    -0.64    -6.61     4.85
1974     10.31    13.89    13.87     6.26    15.82
1975     -0.44   -23.11    -4.23    -0.93    -6.60
1976    -10.89     0.88    -8.43    -7.79    -6.72
1977      4.54    -9.38    15.61     1.70    -3.71
1978      5.94   -15.33    -0.17     4.39    -3.63
1979     -0.97     8.55     7.51    -4.03    -6.89
1980      0.28   -23.98    -8.94    -5.10    23.46
1981     -7.15    29.51    -2.12    -6.21     6.83
1982     -6.14    15.68    -6.02    -0.35   -11.51
1983     -2.81    -7.76    -6.69    -2.61    -1.70
1984      4.61    22.72    18.89    -0.02    20.94
1985     -5.75    21.13    -3.83    -5.14    -7.60
1986     -2.68     8.82    -1.10    -0.83    -5.84
1987      6.01   -18.76    -0.17     5.41     1.80
1988      5.13    13.16     1.50     7.02     8.51
1989     -1.16    -0.65    -1.44    -3.40    -7.41
1990      9.62    21.21    19.99     4.15    -5.41
1991     -7.40   -37.21   -11.67    -3.63   -11.44
1992     -4.17     7.06    -0.57    -6.26    -0.42
1993     -5.24   -23.13    -2.13    -1.42    -4.69
1994      2.73    15.10     0.94     2.55    19.23
1995     -4.17    13.16    -2.74    -2.27    -1.98
1996     -1.88   -19.95    -9.51     1.34   -11.90
1997      6.37   -28.97    -5.79    12.62    11.40
1998      2.66    18.11    -4.85     1.95    -2.30
1999     -2.78   -11.61    -4.25    -2.31     8.17
2000     -6.05    -0.77    -3.71    -3.80   -10.75
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.17    -9.73    -2.56     1.43     1.05
2047     -9.67    11.73   -11.68    -6.03    -6.52
2048     -9.25    -0.51   -11.06    -7.33    -4.52
2049      6.34    27.09    -0.42     9.86    -0.95
2050     -2.51    20.50    -4.82    -4.57    -2.62
2051     -5.65     8.79    -5.25    -1.15   -10.08
2052     -0.44     1.16    -8.29     0.28     4.24
2053      0.54    21.88     3.83     1.18     0.63
2054     -9.13     8.02    -5.04    -6.39    -4.04
2055      2.88    19.54    -1.68     2.88     9.06
2056     -0.75    15.48    -4.04     1.25    -5.95
2057     -6.62    15.96    -7.51    -4.38     7.70
2058     -9.41    17.27    -8.73    -5.54   -12.54
2059     -9.38    16.19   -10.29    -7.71    -3.80
2060     -5.52    16.71   -10.48    -4.67     8.36
2061     -1.32   -12.11     8.38    -2.65     0.53
2062     -7.24    14.44    -8.79    -4.14     2.63
2063      3.74    17.42     1.49     4.28    16.22
2064     -7.48    14.78    -7.86    -5.89    -6.27
2065     -4.50   -16.31     2.33    -4.38     3.53
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     -2.54   -22.88    -5.92     1.79    -3.10
2082     -3.56    -6.20    -3.15    -6.13    17.76
2083      2.63    15.24    -0.19     3.54    -4.55
2084     -4.54     7.81    -3.40    -3.93    -5.51
2085     -8.31     2.96    -6.96    -6.54    -5.41
2086     -2.67     6.45    -7.96     1.44    -4.93
2087     -2.26    16.37   -11.91    -1.78    -1.37
2088     -8.03   -20.48    -9.44    -5.56   -14.34
2089     -1.99     6.61    -7.04    -2.27     8.47
2090     -3.02    13.97   -11.63     3.69   -15.07
2091     -5.96   -29.31    -5.20    -3.08    -4.37
2092     -4.04    13.47    -5.84    -3.79    -4.93
