Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         73.00    31.92    64.31    56.96    41.67
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -6.65    -2.26    -1.06    -2.69     7.88
1962      0.19   -13.40     1.09     8.43    -0.15
1963      6.82    -6.99    12.22    -7.85     0.78
1964     -3.17     5.00    -4.31    -3.26     7.78
1965    -11.34   -10.53   -11.09    -2.53     7.70
1966      1.13   -11.21     2.64    -2.39    -0.47
1967      9.57     1.49    13.09     4.46    -0.53
1968      1.27    -1.65     3.01     4.60     2.68
1969      5.57    -1.94    10.23     8.52    11.54
1970     -2.97   -11.16    -0.76    -4.96    -0.71
1971      5.85     7.52    10.01    14.10   -12.97
1972      3.54     9.42   -10.08     4.90     2.90
1973     -4.34     0.83    -0.45     5.04    -7.88
1974     -1.43    -1.28    -4.49     5.27    -1.94
1975     -9.12    -9.23   -15.70    -0.53    -2.31
1976     -7.65    -3.15    -9.75    -0.65    -6.51
1977      7.93     8.64     2.73     7.44    11.80
1978      6.38    14.79    -0.52    -2.88    12.13
1979     14.94   -21.85    23.37   -10.73    -2.35
1980     -3.45   -10.03     1.56    -6.95   -18.93
1981     11.54     6.62    12.88    -2.82     2.78
1982      0.79     1.50     6.50   -10.38     2.69
1983     -2.15    -6.91   -19.61     7.86    -5.70
1984     -2.84     2.18    -2.77    -2.83     7.86
1985      4.40     3.73     4.22    10.44    -2.43
1986     -4.30    -6.53    -0.02    -6.31    -8.04
1987     -6.93     0.36    -5.35    -2.22    -4.40
1988     -6.80    -3.72    -4.87    -4.15     6.04
1989     -7.45     9.05   -13.19     4.08     8.12
1990      8.51   -10.35    10.32     6.85    -6.01
1991      6.69    18.53     6.59     1.08    15.91
1992      5.77    -1.44    12.07    -5.04    -0.34
1993     -0.53   -17.84    -1.92     5.35    -0.00
1994     -9.54     4.82    -4.08    -6.95    -2.62
1995     -0.48     5.97    -2.09    -6.70     0.21
1996      7.63     4.33    12.01     6.46     2.46
1997     -2.26    -7.73    -2.36     0.85     8.33
1998     -1.51    12.37     0.69     4.10    -7.00
1999    -10.23     0.54    -4.91    -9.73     8.89
2000       NaN      NaN      NaN      NaN      NaN
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      7.32    -7.15     8.60    -5.88    13.72
2047     -0.76     5.78    -1.19    -9.14    13.02
2048      0.79     7.86    -3.15     6.53     7.91
2049      5.52    -4.80     3.25     0.45    13.89
2050      4.38    -3.64     4.62     8.03     3.59
2051     -6.88    -0.18   -12.21    -4.45     2.89
2052     -1.03    10.04     3.46     2.55    -1.58
2053     10.19    11.68     6.72    -0.43    -0.27
2054      5.93     3.58    -1.01    -9.12    27.63
2055      2.34    -0.20    -0.99   -10.92    17.60
2056     10.83    14.82    11.29    -2.21     0.84
2057      2.42     4.73     6.94    -0.17    -7.39
2058      3.73   -11.31     2.48    11.84    14.75
2059     -1.29     3.07    -5.02     0.47     6.00
2060     -2.36     0.98     0.24    -6.33     9.64
2061     -5.33    10.74    -8.22     4.02    -2.84
2062      5.04    12.19   -13.88    12.10    20.86
2063      0.92     3.07    -4.13    13.34   -10.12
2064      5.22     8.67    -1.52     2.36     0.05
2065      6.83    -1.67    12.46     2.64     6.50
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     -2.09     1.72     0.66     4.94     0.02
2082     -6.45    14.44    -7.65    -7.57     9.89
2083     -0.67    -7.03     4.12     1.85     6.96
2084      2.48     7.14     6.81    -5.68    13.88
2085     -3.23    -2.77    -3.99    -3.42     7.31
2086      6.46     6.02     4.39    -6.78    22.78
2087      7.90    12.17     6.94     3.41     6.15
2088      5.68    10.13     8.79    -1.94    23.30
2089     -0.20    -0.93     0.00    -3.75    10.85
2090     -3.98    -3.30    -1.91    -4.35    11.21
2091      1.81     4.96     2.95    -5.43     6.33
2092     -1.10     4.66    -9.01     5.76    11.18
2093      5.42    -0.78     0.46    17.85     5.11
2094     -8.34    -7.56    -0.82   -10.75     3.81
2095      4.04     6.61    -2.04     4.16    -2.36
2096     11.48    -4.90    13.44     1.53    14.27
2097      8.68     7.52     0.85     5.30    27.61
2098     -0.99     9.84    -2.07     1.29    12.10
2099     10.71    17.27    13.15    12.77     1.90
2100       NaN      NaN      NaN      NaN      NaN
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     10.95     1.33    11.91    -1.97     5.57
2047      9.14    12.80     7.67     9.74    -3.05
2048      5.31     1.88    10.69    -0.85     9.88
