Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99    10.00    10.01    10.06     9.94
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      6.58     5.16     4.94     5.41     1.99
1962      8.23     7.79     5.85     5.86     3.10
1963      6.37     5.68     4.01     5.69     3.82
1964      7.62     6.83     6.08     3.87     3.54
1965      7.20     6.34     4.66     4.20     0.63
1966      5.83     4.75     5.48     3.20     4.34
1967      4.69     6.59     2.76     3.51     1.49
1968      6.71     6.15     6.83     7.54     3.72
1969      7.67     6.02     4.38     6.47     5.41
1970      7.45     6.01     8.71     8.53     5.53
1971      5.57     1.79     7.14     4.29     2.42
1972      7.72     3.43     8.89     5.62     5.76
1973     10.22    10.94    10.11     3.22     4.11
1974      7.14     8.22     5.73     6.58     7.30
1975      8.94     7.36     8.77    10.66     4.29
1976      9.72    12.95     9.26     8.26     4.53
1977      6.04     3.56     7.29     9.64     4.54
1978      6.86     3.52    12.11    10.21     9.21
1979     10.74    19.01     3.97     4.46     9.74
1980     10.92    15.64    10.68     5.22     6.51
1981      9.67     9.96     4.85    11.37     5.58
1982     12.27    14.91    13.45     9.19    11.32
1983      7.15     6.25     2.29     8.07     6.09
1984      8.03     2.60    11.59    10.05     7.68
1985      8.08     5.49     7.97     9.80     6.40
1986      6.53     7.46     2.95     6.48     3.56
1987     12.35     9.63    20.52    13.83    11.10
1988     13.18    15.97    13.62     7.22    15.75
1989     10.53     7.26    12.33    11.62    20.87
1990     14.01    15.30    16.80    12.55     5.95
1991     11.00    15.05     5.32    12.48    10.28
1992     13.31    17.95    10.29    13.42    13.02
1993     12.26    12.42    13.04    10.56    13.08
1994     10.22     7.18     8.88    12.31    14.64
1995     12.35    16.98    10.90    16.41    14.23
1996     12.09    11.64    15.40    19.90     8.59
1997     13.38     9.07    18.23    16.54    21.22
1998     10.27     8.25    10.21    10.47    24.50
1999     11.83    14.11     9.03    12.82    20.54
2000     18.56    23.09    23.59    15.88    14.17
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     28.22    42.24    28.13    44.36    45.93
2047     26.10    41.91    26.14    29.62    42.15
2048     25.51    35.67    30.53    29.59    39.05
2049     29.31    39.82    31.17    31.60    55.36
2050     32.20    42.06    40.09    36.24    44.84
2051     32.62    46.09    28.20    34.33    53.70
2052     30.25    45.47    29.18    31.04    47.50
2053     31.43    47.37    32.52    39.73    53.41
2054     30.56    48.43    31.24    35.80    47.24
2055     32.48    46.16    37.49    39.07    55.97
2056     29.54    36.78    28.87    42.95    58.28
2057     36.31    44.74    45.35    35.92    43.53
2058     32.53    48.73    33.30    39.89    57.49
2059     35.26    45.20    40.45    33.88    58.28
2060     33.21    49.19    33.16    37.86    41.52
2061     34.90    50.11    44.67    37.81    51.22
2062     32.32    49.23    36.78    31.50    53.62
2063     33.54    51.76    39.01    33.84    50.13
2064     37.30    61.02    42.24    40.76    53.52
2065     33.04    54.41    38.30    33.29    45.50
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     45.60    54.73    50.83    49.08    71.67
2082     46.94    63.02    54.59    48.03    69.83
