Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99     9.99    10.00    10.00     9.99
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      3.47     1.05     4.87     4.81     1.16
1962      8.24     2.04    18.89     6.98     2.32
1963      9.78     5.22    15.62     6.02     3.83
1964      3.78     2.00     0.37     2.52    11.33
1965      8.22     8.48     3.19    15.35     3.95
1966      8.77     8.50     1.67     6.63    14.97
1967      6.36     7.17     3.46     3.49     7.21
1968      9.06     4.40    16.97     5.90     5.40
1969     12.72    11.62    19.05     8.40     4.46
1970      3.72     2.45     1.24    10.07     9.38
1971      8.50     2.30    14.21     2.58     9.98
1972      8.07     5.49    11.66     5.88     2.73
1973     15.43    18.25    24.02    10.78    13.04
1974      4.71     5.56     0.93     2.98     9.93
1975      9.24    14.66     0.85    20.10    20.84
1976     13.73    15.79    11.85    10.27     9.28
1977      6.50     3.47     2.96     6.21     5.33
1978      6.57     5.52     1.66     7.95    13.32
1979      9.31     9.36     5.95     6.11    18.88
1980      3.74     4.18     0.34     4.06     1.30
1981      3.35     0.73     2.05    16.68    10.92
1982     16.87    16.10    23.89    10.95     9.74
1983     11.37    14.60     6.88     4.31    13.26
1984     11.91    13.78     2.60     9.29    11.30
1985     10.68     8.08    12.56     4.21    13.70
1986     11.39     7.91    11.55     9.16     7.36
1987     18.83    22.15    26.62    15.56     3.78
1988      5.28     2.01    10.55     6.49     7.83
1989     14.28    21.54    12.16     4.82     7.55
1990      4.59     5.28     3.79     4.65     6.25
1991      6.00     5.10     3.64    11.92     2.95
1992     10.02     5.28    11.79     6.25     8.31
1993     12.63    17.67    10.59    22.88     8.40
1994     15.73    11.35    30.28    15.48    20.05
1995     11.00    12.75     5.42    13.92    14.45
1996     10.49     7.38     8.45    12.78     8.70
1997     12.06    10.79    13.60     3.34     4.22
1998      6.57     4.29     5.35    16.28    15.30
1999     17.22    25.99    22.43    23.93    11.50
2000     16.06    25.36    19.07    10.34    14.58
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     21.53    31.58    18.12    33.61    27.20
2047     22.70    43.78    13.28    32.83    41.60
2048     18.07    34.59    11.69    18.19    13.47
2049     22.88    53.47    11.79    55.08    47.08
2050     34.46    53.05    46.07    50.15    51.53
2051     25.82    38.45    25.37    38.98    48.63
2052     31.48    50.75    39.37    59.84    52.03
2053     26.00    49.43    29.36    41.03    49.04
2054     23.07    34.55    14.54    32.04    52.32
2055     35.95    54.31    62.51    37.98    44.90
2056     25.80    45.81    24.59    42.73    40.52
2057     40.86    60.54    70.60    61.14    56.59
2058     25.81    29.99    35.62    27.82    43.77
2059     27.00    36.49    26.05    33.45    57.13
2060     31.07    32.05    45.73    47.78    51.07
2061     32.47    58.25    41.14    56.47    47.78
2062     29.82    48.34    27.71    45.48    55.47
2063     36.04    60.84    27.52    52.40    60.28
2064     29.54    53.06    14.29    43.49    64.67
2065     29.77    49.63    26.80    45.41    57.86
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     38.89    65.12    45.91    50.39    55.31
2082     42.67    69.16    42.97    51.07    67.57
2083     39.54    60.11    40.81    50.71    56.47
2084     53.44    75.25    64.85    70.85    74.05
2085     40.51    65.18    24.05    57.41    69.63
2086     50.21    82.21    50.09    62.14    67.62
2087     45.83    74.64    32.67    60.73    74.70
2088     51.77    74.03    71.86    52.59    60.89
2089     44.24    72.88    34.72    43.98    76.53
2090     54.70    75.25    65.85    64.17    73.41
2091     48.36    77.24    39.16    63.04    70.10
2092     47.80    69.53    31.94    79.34    71.25
2093     62.39    81.85    79.53    79.69    78.84
2094     54.12    76.98    59.37    70.59    77.15
