Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
        149.1    30.0   201.9   280.6    83.9
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   21.53   11.63   81.51   25.03  -32.05
 1961   30.02    0.30   53.30   29.55   36.90
 1962  -12.31    6.06  -58.21  -21.15   24.04
 1963  -12.07   -3.11    9.37  -24.02  -30.51
 1964   -4.49    3.86   -3.63   -4.63  -13.57
 1965   19.73   25.57   15.06    7.88   30.42
 1966  -13.44  -14.84    8.32  -52.90    5.69
 1967  -42.23    7.97  -70.04  -88.14  -18.70
 1968   -1.58   13.96   -4.19    9.24  -25.33
 1969   13.40    7.05   -1.35   42.73    5.17
 1970  -27.62    6.18  -81.20  -30.35   -5.12
 1971  -23.90   -7.57  -11.68  -67.59   -8.76
 1972   21.01   10.56   21.77   58.07   -6.36
 1973   15.44   -4.39   20.37   59.49  -13.70
 1974    8.47    4.41   29.21  -26.47   26.73
 1975   -9.15   -8.08   20.23  -14.45  -34.30
 1976   -7.52  -19.72  -41.17   29.20    1.60
 1977   11.84    1.73  -20.15   40.31   25.48
 1978    3.15    1.46   13.77   29.27  -31.91
 1979  -16.75   -2.50  -41.10   -6.67  -16.71
 1980   -9.16   -3.77  -25.69    6.40  -13.56
 1981    1.82    3.12   67.46  -69.01    5.71
 1982  -35.30    2.54  -48.46  -77.67  -17.59
 1983   -5.58  -22.33  -15.80   22.98   -7.18
 1984   24.88    6.57   26.05   62.25    4.65
 1985   -0.57  -12.85  -34.84   22.23   23.17
 1986    0.24   -8.51   49.94  -45.98    5.50
 1987  -28.56   -9.21  -42.00  -71.66    8.64
 1988    5.37   -1.50   36.58   -3.40  -10.19
 1989   12.33   25.07   16.14   25.15  -17.04
 1990   11.68   12.99  -24.39   75.04  -16.91
 1991    0.58    0.59   31.44  -24.08   -5.65
 1992    0.48  -10.89    7.80    2.50    2.51
 1993   22.78   21.78   21.61   39.18    8.54
 1994  -19.44    0.86  -58.77  -24.24    4.38
 1995  -11.65   14.70   27.06  -92.07    3.72
 1996   -2.13    3.00  -17.79  -11.77   18.02
 1997   12.10   -9.19   15.48   44.19   -2.10
 1998   72.12   10.15   81.80  107.43   89.11
 1999  -26.95   -5.19  -23.67  -58.27  -20.67
 2000  -14.81   -1.05  -12.55  -37.02   -8.62
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   39.02    3.57   32.27  121.28   -1.06
 2002   22.98   -2.45   10.08   42.08   42.20
 2003   21.70    3.54   19.10   68.40   -4.25
 2004   39.50   10.38   12.23   96.65   38.76
 2005   15.58    7.73   19.35    6.06   29.18
 2006   26.82    4.76    2.53   66.60   33.40
 2007    3.83   -0.95  -16.67   29.72    3.22
 2008    6.80   27.14   13.53   -2.12  -11.34
 2009    6.69  -13.00   19.56   17.31    2.90
 2010    8.68   -2.03  -91.31   87.01   41.04
 2011    1.76  -15.21  -42.69   13.43   51.50
 2012   -7.08  -13.84   -3.36  -12.04    0.90
 2013   -1.39   -2.40   -9.24   11.84   -5.77
 2014   -4.02   -3.76  -46.96   33.08    1.58
 2015   -1.17    2.81  -36.05  -27.98   56.56
 2016    0.43   -8.26   16.22  -42.60   36.36
 2017   14.84   -1.39   22.27   50.90  -12.40
 2018   17.48   -4.76   26.79   42.45    5.44
 2019   28.55  -10.14  -33.62  101.72   56.25
 2020  -20.92   -3.71  -41.74  -51.21   12.97
 2021   12.46  -17.77   42.73   18.95    5.92
 2022    0.48  -19.34   22.59   -5.17    3.86
 2023   -6.65    7.89   -9.81   -6.30  -18.38
 2024   22.83    1.05    9.95   34.11   46.23
 2025    1.02   -1.13   50.44  -73.88   28.63
 2026   -3.23    0.92    2.69   -1.18  -15.36
 2027   26.60    0.89   30.34    7.08   68.10
 2028   14.90   -3.19    0.42   25.82   36.55
 2029  -24.72  -16.06  -57.12  -81.16   55.45
 2030  -35.66   -6.54  -48.53  -75.92  -11.64
 2031   26.41    5.99   51.71   48.04   -0.08
 2032  -19.67  -17.89  -85.51    5.36   19.34
 2033  -14.85   -9.96   13.65  -57.93   -5.18
