Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        24.78   24.76   26.97   24.59   22.81
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.69   -0.82   -0.58   -0.67   -0.68
 1961    0.08   -0.05    0.70    0.32   -0.65
 1962   -0.72   -1.15   -0.63   -1.03   -0.06
 1963   -1.46   -1.09   -2.32   -1.38   -1.07
 1964   -0.42   -0.17   -0.89    0.02   -0.66
 1965   -0.77   -0.86   -0.67   -0.54   -1.01
 1966   -1.32   -1.55   -1.76   -1.10   -0.88
 1967    0.00    0.46    0.39   -0.17   -0.67
 1968   -0.44   -0.60   -0.40   -0.11   -0.65
 1969   -0.64   -0.59   -0.38   -0.92   -0.69
 1970    0.27    0.57    0.93   -0.04   -0.40
 1971   -0.78   -0.60   -0.93   -1.12   -0.46
 1972    0.04    0.28    0.05   -0.20    0.06
 1973   -0.07    0.38   -0.32   -0.21   -0.14
 1974   -0.04    0.41    0.21    0.14   -0.92
 1975   -0.81   -1.50   -0.32   -0.86   -0.55
 1976   -0.51   -0.37   -0.42   -0.86   -0.39
 1977    0.43    0.42    0.50    0.61    0.20
 1978    0.30   -0.27    0.32    0.74    0.41
 1979   -0.51   -0.76   -0.22   -0.56   -0.51
 1980   -0.61   -1.28   -0.77   -0.30   -0.10
 1981    0.39   -0.41    1.18    0.65    0.14
 1982   -0.27   -0.68    0.07   -0.12   -0.37
 1983   -0.47   -0.54   -0.90   -0.35   -0.09
 1984   -0.13   -0.17    0.24   -0.01   -0.59
 1985   -0.33   -0.37   -0.53   -0.36   -0.06
 1986   -0.21    0.05   -0.49   -0.10   -0.30
 1987    0.79    1.04    0.96    0.77    0.40
 1988    0.05    0.14   -0.50    0.09    0.47
 1989   -0.25    0.17   -0.80   -0.34   -0.02
 1990    0.37    0.92    0.50    0.62   -0.57
 1991   -0.21   -0.77    0.23   -0.60    0.29
 1992    0.51    0.66   -0.44    0.83    0.97
 1993    0.77   -0.18    1.07    0.91    1.28
 1994    0.74    1.06    1.38    0.69   -0.17
 1995    0.01    0.43   -0.23   -0.28    0.12
 1996    0.27    0.18    0.37    0.37    0.15
 1997    0.28    0.65    0.18    0.06    0.21
 1998   -0.08    0.27   -0.46   -0.12   -0.02
 1999    0.08    0.27   -0.86   -0.07    0.98
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    1.31    1.25    0.78    1.62    1.61
 2001    1.30    1.77    1.69    0.83    0.92
 2002    0.08   -0.07    0.96   -0.55   -0.03
 2003   -0.35   -0.28   -0.83   -0.50    0.22
 2004    0.74    1.30    0.59    0.77    0.29
 2005    0.76    0.48    1.17    0.86    0.54
 2006    1.10    1.09    1.47    1.13    0.72
 2007    1.09    1.05    1.55    1.09    0.67
 2008   -0.05    0.36   -0.86   -0.41    0.70
 2009    1.06    1.27    1.54    0.67    0.77
 2010    1.03    2.05    1.24    0.83    0.02
 2011    0.07   -0.68    0.21   -0.08    0.83
 2012    1.23    1.60    1.14    1.06    1.10
 2013    1.11    1.92    1.43    0.89    0.20
 2014    0.44    0.43    0.61    0.26    0.44
 2015    0.97    0.72    1.41    0.63    1.12
 2016    1.18    2.07    1.31    0.73    0.61
 2017    0.52    1.11    0.80    0.06    0.10
 2018    0.42    0.88    0.09    0.10    0.61
 2019    0.71    1.35    0.74    0.63    0.11
 2020    0.96    0.81    1.53    0.54    0.96
 2021    1.11    1.00    1.33    0.80    1.32
 2022    1.03    0.42    1.70    1.04    0.95
 2023    0.63    0.95    0.72    0.48    0.39
 2024    1.59    1.21    2.14    1.81    1.21
 2025    1.65    1.79    1.56    1.70    1.57
 2026    0.62    2.15   -0.26   -0.24    0.82
 2027    0.55    1.05   -0.06    0.09    1.12
 2028    1.14    1.21    1.16    1.03    1.16
 2029    1.33    1.67    1.38    1.60    0.66
 2030    0.97    1.24    0.96    0.94    0.75
 2031    1.16    0.86    1.53    1.15    1.10
 2032    1.83    1.78    2.38    1.56    1.59
 2033    2.07    2.17    2.67    1.79    1.65
 2034    0.59    0.27    0.65    0.59    0.84
 2035    0.70    1.02   -0.47    0.85    1.40
 2036    1.81    3.01    1.57    1.01    1.64
 2037    1.17    0.98    1.77    0.69    1.25
 2038    1.57    1.56    1.57    1.06    2.10
 2039    2.24    2.62    2.61    1.31    2.43
 2040    1.39    1.75    1.14    1.10    1.56
 2041    1.58    2.56    1.16    1.00    1.59
 2042    1.84    1.66    2.27    1.56    1.87
 2043    1.13    0.94    1.33    1.26    0.99
 2044    1.43    1.67    1.26    1.40    1.41
 2045    1.43    1.19    1.48    1.07    1.98
 2046    1.77    2.47    2.23    1.82    0.57
 2047    0.75    0.40    1.35    0.55    0.71
 2048    1.32    1.28    1.42    1.58    0.99
 2049    2.19    1.48    3.10    1.94    2.23
 2050    1.54    1.73    1.95    1.17    1.33
 2051    2.10    1.27    2.37    1.87    2.91
 2052    2.80    3.33    3.21    2.22    2.45
 2053    2.17    2.85    2.06    1.28    2.50
 2054    2.20    2.59    2.49    1.76    1.94
 2055    2.65    2.17    3.43    2.53    2.48
 2056    2.75    2.35    2.54    2.94    3.19
 2057    2.63    3.25    2.75    1.97    2.56
 2058    1.78    2.36    1.11    0.95    2.69
 2059    2.96    3.29    3.06    2.81    2.68
 2060    3.39    3.39    4.10    3.88    2.18
 2061    1.78    1.85    1.63    2.06    1.59
 2062    2.25    2.22    2.34    2.10    2.33
 2063    3.83    4.19    4.26    3.36    3.49
 2064    2.73    3.71    3.21    1.87    2.11
 2065    2.13    3.22    1.99    1.43    1.88
 2066    2.90    3.38    2.46    2.57    3.21
 2067    3.36    3.88    3.45    2.88    3.23
 2068    3.10    3.77    3.26    2.11    3.24
 2069    2.26    2.08    2.39    2.02    2.56
 2070    2.91    3.03    2.86    2.67    3.09
 2071    3.40    3.02    3.73    3.12    3.74
 2072    3.63    3.65    3.56    2.94    4.38
 2073    3.38    3.78    3.29    2.99    3.48
 2074    3.69    3.84    3.83    3.45    3.63
 2075    4.63    5.45    4.97    3.90    4.20
 2076    4.14    5.23    4.53    2.91    3.88
 2077    3.25    4.54    3.23    2.25    2.99
 2078    3.57    4.15    2.85    3.18    4.10
 2079    4.00    5.09    3.70    3.27    3.92
 2080    3.63    3.93    3.56    2.97    4.08
 2081    3.44    3.47    3.52    3.29    3.46
 2082    5.50    5.44    5.71    5.44    5.40
 2083    4.32    5.26    4.53    3.35    4.13
 2084    3.64    3.37    4.06    2.97    4.17
 2085    4.82    5.88    5.07    3.81    4.50
 2086    5.25    5.64    5.12    4.86    5.37
 2087    3.88    4.55    3.54    2.60    4.81
 2088    4.75    4.68    5.13    3.94    5.23
 2089    5.47    6.48    5.81    4.23    5.38
 2090    4.48    4.44    4.57    4.59    4.33
