Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 YEAR  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.21   -0.23   -0.38   -0.19   -0.19
 1961   -0.10   -0.14   -0.04   -0.04   -0.08
 1962   -0.15   -0.21   -0.39   -0.30   -0.12
 1963   -0.41   -0.28   -0.34   -0.26   -0.66
 1964   -0.42   -0.31   -0.60   -0.39   -0.25
 1965   -0.37   -0.65   -0.45   -0.40   -0.59
 1966   -0.45   -0.62   -0.46   -0.36   -0.50
 1967   -0.22   -0.31   -0.16   -0.17   -0.43
 1968   -0.32   -0.30   -0.34   -0.34   -0.10
 1969   -0.23   -0.56   -0.28   -0.23   -0.23
 1970   -0.02   -0.33   -0.29   -0.04   -0.21
 1971   -0.05   -0.13    0.12   -0.24   -0.07
 1972   -0.15   -0.25   -0.37   -0.23   -0.16
 1973   -0.18   -0.13   -0.32   -0.21   -0.22
 1974   -0.08   -0.05   -0.23   -0.04   -0.08
 1975   -0.09   -0.05    0.00   -0.21   -0.06
 1976   -0.12    0.02   -0.24   -0.12   -0.27
 1977   -0.01    0.25    0.03   -0.09    0.05
 1978   -0.08   -0.10    0.02   -0.15   -0.25
 1979   -0.20   -0.06   -0.22   -0.21    0.03
 1980   -0.08   -0.27   -0.05   -0.07   -0.07
 1981    0.08    0.07   -0.09    0.17   -0.05
 1982   -0.06    0.07    0.14   -0.04   -0.22
 1983   -0.28   -0.10   -0.31   -0.19   -0.33
 1984   -0.18   -0.25   -0.23   -0.15   -0.15
 1985   -0.11   -0.08   -0.08    0.04   -0.11
 1986   -0.15   -0.28    0.01   -0.10   -0.10
 1987    0.14    0.14    0.43   -0.03    0.04
 1988    0.05   -0.03    0.02    0.17    0.37
 1989    0.10    0.13    0.11    0.01    0.24
 1990    0.30    0.35    0.32    0.27    0.21
 1991    0.11    0.27    0.10    0.13    0.12
 1992   -0.13   -0.27   -0.12   -0.24   -0.11
 1993    0.09    0.04    0.04   -0.04    0.08
 1994    0.24    0.21    0.12    0.34    0.19
 1995    0.01    0.03    0.03    0.13    0.25
 1996    0.08   -0.09    0.17    0.05    0.16
 1997    0.22    0.13    0.10    0.20    0.24
 1998    0.31    0.27    0.48    0.24    0.32
 1999    0.14    0.26    0.15    0.37    0.29
 2000    0.45    0.46    0.65    0.45    0.46
Projections under SRES A2 scenario
 2000    0.59    1.00    0.14    0.64    0.26
 2001    0.41    0.18    0.30    0.47    0.62
 2002    0.30    0.25    0.46    0.50    0.26
 2003    0.40    0.48    0.63    0.39    0.22
 2004    0.36    0.43    0.32    0.49    0.26
 2005    0.37    0.33    0.58    0.26    0.25
 2006    0.37    0.33    0.32    0.62    0.55
 2007    0.54    0.63    0.76    0.59    0.67
 2008    0.80    0.85    0.70    0.62    0.70
 2009    0.46    0.56    0.46    0.39    0.52
 2010    0.65    0.44    0.59    0.79    0.66
 2011    0.70    0.79    0.71    0.76    0.74
 2012    0.70    0.72    0.55    0.51    0.58
 2013    0.57    0.62    0.54    0.68    0.73
 2014    0.69    0.63    0.73    0.57    0.81
 2015    0.75    0.71    0.83    0.59    0.68
 2016    0.74    0.86    0.78    0.83    0.79
 2017    0.72    0.94    0.62    0.75    0.79
 2018    0.80    0.88    0.57    0.61    0.61
 2019    0.71    0.82    0.74    0.69    0.83
 2020    0.96    0.81    1.16    0.67    0.81
 2021    0.94    1.00    0.66    0.73    1.13
 2022    0.86    0.51    0.94    0.77    0.91
 2023    1.01    1.23    1.16    0.83    0.85
 2024    1.00    1.10    1.07    0.94    0.94
 2025    1.01    0.96    1.05    0.97    0.79
 2026    0.77    1.09    0.82    0.75    0.91
 2027    0.74    1.05    0.90    0.85    0.92
 2028    1.09    0.77    1.06    1.06    1.16
 2029    1.11    1.00    1.32    1.01    0.90
 2030    1.05    1.01    0.96    0.94    1.19
 2031    1.08    1.13    1.09    1.10    1.28
 2032    1.24    1.02    1.46    1.20    1.18
 2033    1.32    1.27    1.20    1.07    1.35
 2034    1.18    1.26    1.26    1.10    1.23
 2035    1.14    1.33    1.03    1.11    1.35
 2036    1.50    1.48    1.30    1.35    1.36
 2037    1.26    1.49    1.44    0.98    1.09
 2038    1.36    1.46    1.57    1.07    1.52
 2039    1.22    1.58    1.33    1.06    1.16
 2040    1.45    1.48    1.73    1.31    1.68
 2041    1.56    1.71    1.57    1.51    1.59
 2042    1.47    1.29    1.42    1.56    1.65
 2043    1.49    1.52    1.50    1.34    1.42
 2044    1.59    1.60    1.68    1.45    1.61
 2045    1.57    1.64    1.52    1.39    1.61
 2046    1.52    1.62    1.45    1.62    1.54
 2047    1.62    1.84    1.70    1.49    1.52
 2048    1.66    1.71    1.81    1.70    1.66
 2049    1.95    1.87    1.99    1.68    2.06
 2050    1.54    2.03    1.57    1.66    1.46
 2051    1.90    1.77    1.76    1.50    1.76
 2052    1.90    1.72    1.79    1.86    1.98
 2053    2.00    2.02    1.98    1.63    1.73
 2054    1.93    1.77    1.77    1.72    2.01
 2055    2.11    2.16    2.17    1.90    1.90
 2056    2.05    2.23    2.30    1.90    1.95
 2057    2.37    2.35    2.57    1.96    1.85
 2058    2.18    2.36    1.86    2.00    2.38
 2059    2.20    2.82    1.97    1.85    2.27
 2060    2.17    2.27    2.45    2.08    2.18
 2061    2.31    2.14    2.45    2.16    2.16
 2062    2.37    2.75    2.25    1.99    2.33
 2063    2.30    2.31    2.22    2.19    2.49
 2064    2.37    2.60    2.21    1.98    2.24
 2065    2.37    2.47    2.47    2.02    2.37
 2066    2.48    2.49    2.28    2.57    2.50
 2067    2.53    2.59    2.17    2.36    2.79
 2068    2.58    2.74    2.43    2.21    2.69
