Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         89.6    40.2   109.6   134.5    74.1
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960    5.71   -1.25   21.48   -3.76    3.36
 1961    0.24   15.96    8.60  -11.43    0.55
 1962    7.11  -13.51   13.74   -2.36   25.66
 1963  -12.52   23.30   -0.07  -27.33  -23.46
 1964   14.39   -1.06   25.47    5.69   22.19
 1965    0.02   18.63    8.84   -3.25  -17.19
 1966   11.66  -20.02    3.94   32.14    3.08
 1967    9.60  -10.63   12.53   19.58   -1.87
 1968   -1.30  -43.98    5.53    5.02    0.27
 1969  -12.89  -28.47   -8.61  -22.03    5.81
 1970  -16.28    4.15   -4.15  -28.34  -23.41
 1971   10.94   -7.70    9.07   31.24  -13.02
 1972    6.08  -15.09   14.56    8.39    0.81
 1973    9.62   13.51    8.95   11.94    4.27
 1974   -0.03  -13.10    3.63   -0.53    2.54
 1975    0.81  -16.80  -18.77   22.83   -0.66
 1976  -11.01    4.65  -16.99  -15.76   -2.03
 1977    4.20   40.63   -5.88   -9.87   24.89
 1978    4.08  -11.62    7.79   -5.01   23.61
 1979   -1.28   20.15    9.98  -10.73  -12.41
 1980   -3.60   -5.54    9.75  -16.06    0.30
 1981   12.54   41.78    8.04   11.60    5.07
 1982   -8.87    2.61   -6.13  -18.53   -1.62
 1983   11.71   -7.62    3.54   25.01   10.14
 1984    6.10   -9.04    8.96   20.55  -16.13
 1985   -4.37    1.06   -6.45   -4.74   -3.56
 1986   -0.85    0.35   -0.87   -4.72    5.52
 1987    1.93   26.16  -12.86    4.49    6.02
 1988   -3.10  -20.63    1.56    5.24  -15.59
 1989    0.20  -39.84   15.39   -7.53   13.48
 1990   11.49   20.43    7.10    6.96   21.35
 1991    4.63   14.99    3.20   -2.77   14.56
 1992    8.00   -8.90   20.81   17.25  -18.54
 1993   -2.55   11.96    6.11   -9.60  -10.40
 1994   -4.37   -1.08    1.61   -9.59   -5.52
 1995   -5.27  -17.73   -5.20    0.82   -9.65
 1996  -13.52  -41.17  -27.06   -2.70    1.83
 1997   -0.40    1.74  -14.60    5.83    8.10
 1998   -6.64   -2.68  -27.62   -3.00   15.64
 1999  -10.20   14.37    6.52  -22.68  -25.59
 2000    1.71  -11.20   30.09  -23.59   12.63
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -4.03   -2.87    4.06  -13.23    0.10
 2002    1.97  -10.01   -5.76   10.12    5.12
 2003   11.79  -26.00    4.88   25.04   18.46
 2004   -5.42  -12.05   -0.32   -4.87  -10.37
 2005    4.48  -22.43    0.23   10.35   14.69
 2006   -4.25  -10.02   -2.58  -13.97   14.04
 2007   -5.40  -16.81    6.11   -9.21   -9.31
 2008    0.56    3.80   -1.55    1.99   -0.66
 2009    6.80   24.43   -1.87   -1.03   24.30
 2010   12.57    8.21   14.46   -5.98   45.77
 2011   18.30   -8.52    6.77   29.73   29.15
 2012   10.67  -31.56    3.96   20.24   26.13
 2013   -9.93    8.92   -7.43  -19.04   -7.33
 2014    5.00  -11.34   -8.59   14.14   17.35
 2015   -4.11  -30.86   10.12   -6.72   -5.89
 2016   -2.52    7.55  -11.05   -2.95    5.41
 2017    9.73   12.48   -9.00   16.01   24.51
 2018   -0.89    8.53    2.86   -6.57   -1.25
 2019    3.17   35.46   -0.04    2.02   -7.52
 2020    1.52    3.79   -6.58    6.64    2.95
 2021   12.28    0.06    1.30   21.26   18.85
 2022    6.03   10.13    3.02   15.86   -9.59
 2023    8.37   14.49   15.10   -5.48   20.24
 2024   -5.42    4.11   -6.07  -14.58    6.98
 2025   -0.14   18.19   -9.46   -1.86    6.82
 2026   -1.26  -20.33   -2.10    2.07    4.29
 2027   22.42  -40.93   -1.48   43.88   53.13
 2028   -5.78    8.72    8.28  -21.10   -6.62
 2029   -1.03   -8.63   -7.93    0.99    9.61
 2030  -12.06  -20.30  -15.27  -16.62    5.44
 2031   -4.77    7.47  -10.56  -14.71   15.19
 2032    5.53   11.09   -3.57   12.63    3.09
 2033    9.01   -6.30    0.71   17.04   15.02
 2034   -4.02  -15.87   -1.99    1.47  -10.56
 2035   -7.05   26.43  -15.61  -18.08    7.46
 2036   -2.63   -1.74   -2.85  -12.11   14.39
 2037    1.11    1.78    0.35   -5.83   14.46
 2038   10.21   13.92   -6.66   22.99    9.95
 2039    7.76  -18.35   -8.20   20.02   23.27
 2040   -5.45    2.14  -25.39   -1.13   12.06
 2041   -6.23    6.41  -43.46   -2.06   34.34
 2042   -5.96  -16.81   -4.44   -8.38    2.03
 2043    3.84    5.60   -9.49   12.08    7.62
 2044   10.25  -25.64   -8.82   22.83   35.05
 2045   -4.23   -1.84   -6.31  -17.25   21.16
 2046  -14.87   41.08   -6.10  -37.44  -17.18
 2047   -5.34   18.37   -7.65  -20.56   12.85
 2048    1.55    9.19   -5.03   11.42  -10.78
 2049   10.27   25.03    1.39   10.62   14.78
 2050    0.02   33.88    1.22   -9.59   -2.67
 2051   14.99  -24.70  -19.01   41.02   39.53
 2052   -6.62    6.45   -6.41  -21.65   13.26
 2053   -2.86   -7.61  -42.99   21.21   15.34
 2054   -9.63   21.80    4.83  -29.82  -11.42
 2055    0.12  -12.15  -21.98   18.82    5.49
 2056   13.23  -18.52   -6.79   35.55   19.52
 2057   -0.85   -2.65  -20.62   12.88    4.45
 2058   -1.94    3.05    1.74  -10.83    6.08
 2059   -5.89   21.37  -23.79   -6.71    7.27
 2060    4.45   14.67   -9.32    2.24   23.26
 2061  -10.71    3.33   -0.02  -36.41   12.53
 2062    3.65  -16.52  -21.50   11.89   36.80
 2063    4.01   -9.70   -7.02    9.98   16.93
 2064   13.46  -15.50  -13.91   27.17   44.73
 2065   -8.36   -8.77  -15.78   -5.28   -2.79
 2066   -1.63   -7.03   12.21  -12.65    0.85
 2067   -4.79  -17.39  -21.57    2.17   14.20
 2068    7.89    6.51   -1.84   19.15    2.58
 2069    1.54   44.31  -35.32    9.71   18.03
 2070   -7.37   22.64   -6.47  -31.13   18.13
 2071   12.56   -9.22  -18.53   25.77   46.34
 2072   -7.82   11.92    3.12  -39.62   22.99
 2073   11.94   -6.21  -12.18   20.71   41.50
 2074   -2.83   48.52    2.79  -23.45   -1.54
 2075   -0.50    1.30  -31.61   13.33   19.38
 2076    1.26   -4.63  -17.22    6.81   21.70
 2077   -3.12  -31.11  -11.51    9.97    0.69
 2078   -5.87   13.04    7.14  -23.58   -3.20
 2079    3.94   17.31  -51.56   28.34   34.43
 2080    6.01   -1.50   -4.88   16.95    6.34
 2081   14.19   15.23  -10.32   12.62   52.68
 2082   -6.07   17.50  -16.32  -12.71    8.33
 2083    0.56    2.30  -24.96    9.03   21.95
 2084  -13.95   21.77  -31.00  -19.38    1.76
 2085   18.08   -2.90    2.87   15.78   56.07
 2086    2.81  -11.03  -15.94    8.18   28.27
 2087    1.12   25.72  -15.53    1.17   12.30
 2088   13.77  -15.93  -35.22   42.82   49.56
 2089    0.32   46.89   -7.15  -13.20   10.65
 2090   -0.91   -8.30  -23.59    5.28   25.38
 2091   -1.39   -0.79  -29.37    0.62   35.96
 2092    7.95   29.36    0.36    9.37    4.99
 2093   -2.00   -6.99  -23.07    2.40   23.84
 2094   17.17   12.57  -27.46   33.25   56.46
 2095    6.31   -3.14   -2.68    5.57   26.05
 2096   13.76    2.02  -14.62   26.58   38.79
 2097   -0.47  -12.09  -20.89   14.54    8.77
 2098    1.24    7.73  -18.20   -1.36   31.17
 2099   -9.04   12.08   -9.26  -28.38   14.93
 2100    6.25   -9.50  -15.31   -2.99   63.41
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.81    6.22   -2.22   -4.99   12.84
 2002  -13.21   -8.78   -2.49  -19.92  -19.30
 2003   -6.35    9.73   -5.26  -19.25    6.75
 2004    5.54   -9.20   13.53    2.04    8.09
 2005   -3.21  -17.11  -12.49   -1.46   14.88
 2006   -9.63   -0.34   11.60  -25.30  -17.64
 2007   12.49   42.65    4.37   10.81   11.20
 2008    3.93   28.10   -3.98    5.68   -0.65
 2009   -7.35    6.26   -7.33   -5.73  -17.68
 2010    2.63   10.17   21.79   -9.07   -8.55
 2011  -11.69   19.23   -0.83  -26.30  -18.01
 2012    3.75   22.60   -9.88    5.76   10.03
 2013   -4.68   -8.13    1.96  -12.21    1.03
 2014    8.35  -13.04    0.60    9.40   29.48
 2015   -2.49  -37.37    1.25   13.41  -17.96
 2016    5.55  -24.41   -7.59   15.93   22.37
 2017   -4.41   17.59   -5.82   -9.81   -4.43
 2018    6.30   -9.72   13.96    0.73   13.76
 2019   12.49   20.05    2.91    7.58   31.45
 2020   -6.65   14.38    0.83  -17.40   -9.57
 2021  -10.77    9.55  -17.46  -22.74    9.82
 2022    2.94   -7.10   -3.66   -9.38   40.48
 2023   -2.14   -6.12  -20.16    0.46   21.95
 2024  -17.94  -44.78  -20.25  -18.68    1.38
 2025    0.93  -13.55   13.64    1.46  -10.97
 2026   -2.58   -3.32  -18.81    3.42   10.91
 2027  -16.77  -10.82   -1.98  -29.52  -18.69
 2028   -4.11   -5.14  -10.77   -5.07    8.06
 2029   19.55    7.46    4.96   19.04   48.60
 2030    0.98   13.36   -1.87   -5.52   10.29
 2031    2.50    4.02    1.97   -5.10   16.23
 2032   -4.12    5.06    8.98  -14.43   -9.73
 2033    8.19   -6.83  -21.87   28.74   23.47
 2034    0.05  -12.99   -9.71    2.41   17.25
 2035   -8.02  -27.50    2.74  -13.85   -2.77
 2036   -9.89  -12.78   -7.40  -19.97    6.30
 2037    5.91   24.92   -0.55   -2.51   20.40
 2038   -2.45   16.62    8.71  -21.26    4.85
 2039  -12.48  -13.68    3.10  -28.74   -5.35
 2040  -11.89   -9.53  -11.30  -12.30  -13.29
 2041   -9.66  -11.90   -6.88  -15.20   -2.49
 2042    7.62   -2.79    6.11    9.09   12.84
 2043    4.51   18.14  -12.02   14.07    4.21
 2044    4.69   11.87  -14.13   13.63   12.37
 2045   -7.43   -2.15  -16.05   -2.01   -7.36
 2046   -3.54  -20.14  -18.72    4.40   13.50
 2047  -12.96  -17.96  -33.91   -8.98   13.48
 2048   -1.88   -1.86    7.83   -5.42   -9.80
 2049    2.62    5.36   -2.96  -11.97   35.85
 2050   -6.10  -16.68   -6.89  -10.98    9.65
 2051   -3.87  -29.80   -6.61   -0.32    7.82
 2052    0.43    3.31  -12.32   -7.34   31.82
 2053   -6.76  -11.51  -16.87   -3.16    4.22
 2054  -11.40   47.11  -15.60  -33.28    2.79
 2055    1.24   -8.82  -15.04    8.25   18.04
 2056   -3.57   25.21   -1.57  -27.64   21.54
 2057   11.83    1.99  -11.55   19.19   38.36
 2058   -0.62   -1.40  -15.07   13.14   -3.79
 2059    1.94   18.16  -12.41    3.73   11.09
 2060    3.90   17.98  -18.73   15.87    7.97
 2061    4.30   12.28    2.61    0.70    8.99
 2062    5.83   -9.47  -10.91    6.26   38.07
 2063    2.13   12.52  -21.83    7.58   22.03
 2064   -2.69   27.71   -6.92  -12.05    4.06
 2065   -4.50  -22.81  -21.14    5.80   11.34
 2066   -5.35   -1.29   -4.43  -18.24   14.47
 2067    4.70   10.90  -14.89    1.65   35.83
 2068    7.70   11.81    1.83    5.02   19.00
 2069   20.92   -7.21   -2.16   44.72   27.10
 2070    1.51    9.71  -18.02   -4.33   36.55
 2071    6.75   22.64    1.26  -14.11   44.09
 2072   -4.22   -6.32  -10.20  -11.43   18.80
 2073    8.74   -4.45  -13.92   12.49   42.57
 2074    8.88    9.94   10.55    2.60   17.24
 2075    0.27   16.22  -12.03   11.21  -10.06
 2076    6.63   15.83    1.55    3.62   14.60
 2077    4.13  -19.51  -11.75    3.06   42.33
 2078   16.18   11.24  -11.86   33.37   29.10
 2079   -5.21   -4.01  -14.52   -3.87    5.47
 2080   13.58    4.10    2.34   18.22   26.90
 2081    5.65  -16.34   -8.66   20.85   11.13
 2082    4.77    8.18   -6.01   20.78  -10.20
 2083    3.32   -8.69  -38.76   20.62   40.63
 2084  -11.45  -20.45   -5.38  -28.74   15.81
 2085    1.16  -27.49   -2.51   -5.90   34.91
 2086   15.03   36.72   -8.44   30.33   10.18
 2087    5.10   -6.48  -10.36    7.29   30.26
 2088    6.87   -1.64  -21.09    6.70   53.10
 2089   -5.72   -9.92  -15.87  -14.43   27.37
 2090  -12.04   -2.32  -22.67   -8.97   -7.19
 2091  -13.20  -10.19  -41.93   -8.69   19.44
 2092   -5.09    1.07  -18.01  -15.08   28.79
 2093    3.15   -9.53   -7.64    1.95   28.13
 2094   21.21   17.56  -12.85   30.63   56.42
 2095   10.47   -9.77   -2.16   13.23   35.07
 2096    7.06  -15.17  -11.78   19.08   25.13
 2097   -3.38    2.75  -17.33    3.11    2.12
 2098   -5.65   26.10  -37.27  -13.83   38.72
 2099   -5.80   -9.27  -41.46   -5.58   48.35
 2100    9.89   11.05  -11.62   16.64   28.79
Projections under SRES B1 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   13.61   24.17   15.25   -1.20   32.32
 2002   -1.89  -12.14   -7.75    1.62    5.96
 2003    1.05  -14.16    9.12   -4.79    7.96
 2004   -7.60  -17.25   -3.85  -13.52    2.80
 2005   11.07  -17.18  -12.93   26.08   34.60
 2006    7.02   16.19   -2.34    4.34   20.72
 2007   20.04  -10.29    3.83   19.00   62.34
 2008    2.97   32.66   10.27  -17.35   12.96
 2009   10.54   15.07    6.52   28.60  -18.76
 2010    0.76  -46.99  -18.34   16.52   26.27
 2011    1.93    6.65    0.80   -2.83    9.70
