Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
 1960  101.71   36.14  150.00  174.83   45.87
 1961   97.14   24.81  156.25  156.04   51.46
 1962  111.16   29.24  179.60  148.40   87.40
 1963  126.92   48.58  167.64  214.21   77.24
 1964   98.77   40.88  155.28  140.43   58.48
 1965  103.67   40.32  152.79  167.04   54.53
 1966  103.66   36.04  143.24  163.67   71.70
 1967   98.26   34.15  153.47  149.96   55.45
 1968  124.32   45.55  170.48  213.55   67.72
 1969  103.25   37.34  161.71  137.59   76.35
 1970   89.45   26.72  131.29  145.65   54.15
 1971  104.15   49.77  143.66  177.14   46.05
 1972   95.94   37.39  155.01  134.94   56.41
 1973   94.04   29.40  137.22  161.97   47.58
 1974  100.78   36.52  137.41  176.24   52.95
 1975  100.81   42.18  144.00  159.97   57.09
 1976   96.29   38.28  144.37  121.00   81.50
 1977   85.23   29.05  124.38  131.51   55.99
 1978   98.52   41.79  156.38  135.71   60.22
 1979  116.46   26.34  160.58  190.82   70.60
 1980  102.44   33.58  135.24  165.87   75.07
 1981   95.69   39.78  143.12  154.28   45.58
 1982   91.58   45.25  142.95  120.47   57.65
 1983   74.02   15.45  144.94  104.19   31.52
 1984  105.14   40.80  148.88  178.84   52.05
 1985  102.67   37.14  126.57  199.31   47.66
 1986   91.66   37.70  128.03  144.55   56.34
 1987   99.48   38.01  107.27  197.98   54.67
 1988   96.23   36.86  136.56  165.36   46.16
 1989  107.81   32.65  142.20  196.79   59.59
 1990   88.72   19.08  128.15  136.33   71.32
 1991  113.80   44.41  180.50  171.55   58.75
 1992   85.08   14.99  146.80  126.20   52.31
 1993   97.09   35.32  132.26  156.87   63.91
 1994   94.77   27.35  133.63  141.96   76.16
 1995   99.66   32.43  146.05  159.29   60.86
 1996  105.69   30.55  169.49  169.11   53.62
 1997  100.37   28.86  192.09  106.28   74.25
 1998   92.81   19.65  147.57  135.61   68.40
 1999  114.73   36.02  129.27  218.88   74.77
 2000   96.98   42.34  146.69  154.81   44.09
 2001   93.25   28.19  158.36  128.19   58.26
 2002  104.10   30.12  163.41  149.24   73.62
 2003  108.86   37.01  165.40  150.95   82.08
 2004   97.13   37.61  113.77  165.11   72.03
 2005   94.95   39.85  141.25  127.33   71.38
 2006  104.58   61.93  144.04  148.03   64.31
