Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    26.95   28.06   27.72   25.18   26.85
1962    26.93   28.30   27.41   25.33   26.69
1963    27.19   28.26   27.73   26.13   26.64
1964    26.78   28.21   27.56   24.96   26.38
1965    26.83   27.95   27.43   25.38   26.56
1966    27.14   28.19   27.76   25.72   26.88
1967    26.84   27.80   27.67   25.14   26.76
1968    27.06   27.93   27.41   25.87   27.05
1969    27.38   28.86   28.35   25.54   26.78
1970    27.32   28.81   28.23   25.39   26.84
1971    26.66   27.80   27.52   24.94   26.39
1972    26.90   28.16   27.25   25.46   26.73
1973    27.36   28.86   28.19   25.63   26.78
1974    26.75   27.88   27.77   25.18   26.19
1975    26.68   27.68   27.53   24.99   26.51
1976    26.60   27.76   27.28   25.29   26.08
1977    27.20   28.46   28.23   25.47   26.66
1978    26.96   28.55   27.28   25.29   26.72
1979    27.29   28.77   27.86   25.70   26.81
1980    27.24   28.75   28.11   25.72   26.38
1981    27.32   28.39   28.06   25.59   27.26
1982    27.12   28.32   27.75   25.65   26.75
1983    27.64   28.76   28.52   25.89   27.41
1984    27.44   28.62   28.16   26.11   26.87
1985    27.32   28.78   28.08   25.54   26.87
1986    27.22   28.50   28.37   25.52   26.49
1987    28.04   29.10   29.07   26.57   27.44
1988    27.58   29.11   28.47   25.67   27.05
1989    27.35   28.07   28.44   25.76   27.13
1990    27.64   28.85   28.48   25.76   27.47
1991    27.13   28.89   27.68   25.59   26.35
1992    27.02   28.33   27.77   25.23   26.74
1993    27.33   28.15   28.43   25.59   27.16
1994    27.20   28.61   28.13   25.53   26.54
1995    27.44   28.29   28.39   26.02   27.06
1996    27.38   28.88   28.25   25.62   26.78
1997    27.28   28.24   27.58   25.92   27.38
1998    27.89   29.25   29.12   25.92   27.29
1999    27.26   28.49   28.38   25.52   26.64
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
