Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         95.8    33.4   142.7   152.5    54.7
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961   -10.67  -37.12    8.77  -18.59  -23.14
1962    25.62    2.98   40.49    1.13   68.87
1963    33.77   51.47    7.86   45.55   57.67
1964     9.09   43.36   16.62   -3.23    2.90
1965    10.83   15.35   15.64   11.96   -7.62
1966    10.48    8.20    6.02    9.48   26.28
1967    -0.31   -1.46   11.84   -6.98  -12.71
1968    40.88   49.50   26.76   49.60   48.17
1969    12.49   28.76    7.57    0.42   49.02
1970    -7.87  -18.71   -8.77   -1.40  -16.98
1971     7.28   64.75    1.94   11.80  -26.48
1972     0.53    7.20   14.34  -17.53   10.79
1973     0.49    2.52   -5.54   13.13  -20.25
1974     6.56   26.41   -5.15   21.12  -15.62
1975     2.82   50.05   -5.87    5.84  -11.71
1976     1.31   22.08   10.66  -33.57   61.45
1977   -17.40  -34.21  -19.64  -12.43  -15.16
1978     2.76   30.33   13.63  -15.07    7.29
1979    17.70  -24.75   22.40   21.10   21.91
1980     3.56   -1.03   -7.92    4.52   33.58
1981    -3.42   18.18    0.58   -2.59  -29.38
1982    -6.70   35.63   -0.80  -24.91    2.85
1983   -25.18  -52.55    0.39  -31.50  -57.51
1984     7.47   25.36    3.59   14.69  -13.41
1985     2.81    1.19  -14.06   28.76  -24.49
1986    -6.51    5.81   -8.79   -7.59   -5.08
1987    -2.00   11.16  -28.94   20.67   -2.99
1988    -3.70    6.15   -8.91    9.51  -32.90
1989     4.95   -6.03   -7.39   21.38   -1.98
1990   -11.38  -47.98  -12.45  -12.13   15.84
1991    13.87   28.59   24.02    8.66   -7.04
1992   -12.45  -61.97    3.27  -16.25  -12.67
1993     0.15    8.04   -6.23    0.23   11.75
1994    -5.28  -24.21  -13.06   -6.51   29.98
1995    -1.32   -2.57   -1.85   -3.34    6.43
1996     7.62  -24.70   19.02   10.62  -10.76
1997     0.07  -21.17   30.06  -34.60   31.47
1998    -0.84  -47.14    9.72  -10.99   28.17
1999    24.10   23.59    1.74   38.38   42.90
2000    -0.68   34.02    5.63   -4.30  -28.21
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
