Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         43.03    27.58    44.35    23.88    52.09
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -1.84    17.00   -13.30    -2.54     0.29
1962      1.04    -6.04   -28.48     1.82    -2.56
1963      0.55   -22.82    -0.63     1.03     4.44
1964      7.81    18.54    10.36     9.50   -10.50
1965      1.56    -7.51     9.05    -3.35     8.25
1966      0.75   -24.35    -8.81     4.63    16.81
1967      5.43     2.78    11.78     4.98     3.37
1968      3.25   -10.55    17.18    -0.23     4.06
1969      5.14    -3.71    -2.10     4.83    19.32
1970     -3.81    64.85     1.29     0.45   -18.13
1971     -1.43   -17.58   -11.27    -6.35     4.02
1972      6.82     5.03     0.19    11.53     9.59
1973      2.99   -22.98     4.10    -1.83     3.63
1974     -2.61    -6.16    -1.49    -3.91     9.91
1975     -4.43    62.47     4.63     0.60    -7.44
1976      0.14   -11.58     8.63    -0.30     8.23
1977      2.60   -21.07   -12.17     0.62    -0.51
1978     -3.44   -19.77     5.74    -4.09   -22.27
1979      5.54    13.28    20.35    -0.01    -0.73
1980    -15.73   -23.48    -0.42   -15.26   -14.89
1981     -6.41   -10.32    -5.19    -6.82    -3.19
1982      4.16   -14.31    15.90    -0.87     6.93
1983     -5.59    -5.12   -20.72    -5.99     5.99
1984      1.16    34.47   -17.88     4.79     4.91
1985      1.46    35.94   -22.44     8.45     2.77
1986     -4.22   -12.34    -3.52     3.77   -13.00
1987     -0.90   -23.24     6.21    -0.49     6.39
1988      3.65    -1.21    11.36    -3.36    -4.27
1989      7.59     8.98     9.63     2.99    20.21
1990     -1.30    36.81     1.29    -0.22   -18.72
1991      3.01   -18.22    -2.57     1.29    12.57
1992     -1.20   -17.36    12.43    -4.21   -24.32
1993      0.77    -0.56    12.23   -10.51    13.39
1994      1.20    18.22    -4.28     3.37     4.11
1995      3.70    -7.09    -6.18    11.66    -6.38
1996      7.12    -7.80     8.88    10.66     0.96
1997     -2.02     0.25    -1.87    -1.29     3.26
1998      3.22   -21.99     0.59     0.41    14.49
1999     -2.00   -18.15   -13.46     4.94     2.49
2000       NaN      NaN      NaN      NaN      NaN
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -2.41    17.47    -2.88    -3.69   -11.42
2047     -1.18    -1.93    -6.27     0.56     3.45
2048      2.09   -11.51     1.33     0.04    19.39
2049      2.14   -16.36     6.43     4.24    11.44
2050      1.46   -16.01    -6.23    -4.42    21.08
2051     -5.91    35.89     1.46    -2.70   -12.76
2052     -2.15    32.13    -2.95    -0.14    -4.13
