Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         25.36    36.03    29.15    13.33    30.33
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -24.41      NaN      NaN      NaN      NaN
1961      1.65    -3.21   -16.31     0.77     4.57
1962      7.03     1.54    10.32     2.56     8.34
1963     -2.07    -1.26    -6.60    -3.63     8.93
1964      1.01    22.74    17.12    -2.71     0.22
1965      0.53     7.54     7.06     0.84     5.03
1966     -0.93    -3.30    -7.63    -1.46     0.20
1967      0.95     1.96   -20.52    -0.24   -13.30
1968     -0.65     6.12   -16.85     4.71   -21.71
1969      8.22    14.69    -2.29     8.25   -26.26
1970      0.02     3.74     3.71    -3.41    -1.42
1971      3.65   -19.10     4.82    -2.76    -3.94
1972     -2.62    -2.92     6.54    -4.94     7.14
1973     -4.45    -1.44    -6.11     0.21    -4.55
1974      7.44    14.06    -1.30     8.52    12.91
1975      3.37    12.03    -6.42     3.10   -19.55
1976     -1.18    29.40     4.98    -0.70    -0.57
1977      4.21     2.35     1.09     4.49    -2.43
1978      1.68     1.45    13.41    -3.70     7.95
1979      6.44    -9.70    12.31     5.93    -3.78
1980     -1.98    18.44     0.15     5.22    -2.51
1981     -0.86     1.63     5.97    -6.54    12.90
1982      0.05   -29.13     0.00    -2.13   -17.13
1983     -2.71   -20.46   -20.14     0.14   -14.58
1984     -0.11    -7.14   -15.25    -0.19    -2.83
1985     -4.59   -18.10    -6.03     0.18   -20.31
1986     -2.27    34.54    12.80    -5.37   -10.80
1987     -5.34     5.55   -15.02    -5.59     0.66
1988     -0.51    11.72    10.24    -3.60     2.36
1989      6.38   -19.65     2.06     7.32    18.96
1990     -5.58    -6.97    -2.14    -6.99     7.98
1991     -3.82    10.03    19.11    -8.00     5.76
1992      0.28   -11.93    -1.72    -0.15     5.88
1993      0.55     8.44     9.34     0.60    13.01
1994      8.10    -1.67    -9.96    18.37     2.38
1995     -6.19     1.20   -23.06    -0.65   -13.71
1996     -2.83   -16.03    -7.76    -1.52     2.08
1997      2.01    38.47    -2.67     7.56    10.77
1998      3.25    -6.71     7.39    -2.55     4.32
1999     -2.41   -22.11     3.66    -2.82     3.05
2000      2.41    -2.04    -6.44    -1.72    17.58
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -1.06   -13.57    -3.32     0.99     3.58
2047      0.07    -7.45     8.75    -4.66     8.82
2048      2.86   -13.90    -0.09     3.79     1.33
2049     -7.83    21.37   -27.23     1.54   -30.33
2050     -6.74   -19.04     4.18    -7.59    11.47
