Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -8.05    -3.68   -20.61    -8.19    -7.02
1962     -5.06    -2.47   -15.45   -22.74    -5.83
1963    -15.61    -2.11   -11.73   -16.56   -11.79
1964     -6.58    -1.27    -2.41    -5.77    -5.74
1965     -7.55    -1.85    -3.62   -10.56    -5.62
1966     -4.88    -2.14   -16.16    -6.33    -6.90
1967    -10.15    -2.11   -21.69    -7.24    -4.97
1968     -5.48    -3.25    -7.59   -10.54   -11.32
1969     -7.12    -3.51   -11.66    -9.13    -7.94
1970    -11.94    -1.29    -3.70   -15.25    -9.99
1971    -12.43    -1.74   -10.02   -10.48    -7.65
1972    -26.68    -1.72   -12.06   -22.28    -8.74
1973    -18.67    -1.80   -12.96   -17.34    -3.42
1974     -7.46    -6.67   -16.39   -18.05    -7.60
1975     -6.71    -1.25    -7.34   -11.22    -5.64
1976     -5.85    -2.50    -4.77    -4.92    -8.92
1977     -8.13    -0.83    -9.98    -7.98    -5.85
1978     -9.01    -3.02    -5.67   -12.56   -12.35
1979    -17.67    -2.61    -4.08   -12.84    -7.24
1980    -14.24    -2.76    -7.40   -16.94   -10.43
1981    -23.03    -1.51    -9.23   -27.20    -6.25
1982    -32.80    -2.14   -10.60   -24.33    -9.93
1983    -18.06    -2.86   -23.18   -14.35    -4.98
1984    -36.59    -2.13   -19.30   -24.93   -17.04
1985     -8.76    -1.34   -15.23   -10.50    -6.85
1986    -22.43    -1.88   -11.42   -18.69    -8.75
1987     -5.61    -2.59    -9.23   -14.72    -4.12
1988    -17.49    -0.68    -2.19   -17.88    -4.15
1989     -9.10    -1.89    -3.39    -8.79    -4.88
1990    -38.63    -2.28   -15.63   -27.37   -12.10
1991     -6.26    -0.99    -7.27   -20.40    -5.08
1992    -12.95    -2.20    -6.65   -16.47   -12.25
1993    -18.70    -1.24   -14.24   -13.09    -3.92
1994     -5.95    -4.00   -18.05    -4.23    -6.19
1995    -17.74    -4.29   -17.90   -11.07    -6.52
1996    -10.55    -3.93    -6.45    -8.98    -5.37
1997    -17.41    -1.59    -6.30   -16.67    -5.96
1998     -7.26    -1.99    -6.79    -5.53    -4.05
1999    -15.31    -2.19   -10.91   -15.57   -11.20
2000    -22.55    -2.66    -5.88   -19.42   -11.57
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046    -29.04    -1.83   -18.41   -16.94    -7.64
2047     -6.88    -2.43   -12.64    -9.86    -3.87
2048    -13.39    -3.66   -16.69   -11.91   -11.33
2049    -17.35    -8.69   -29.11   -15.79   -10.74
2050    -19.41    -2.34    -8.52   -27.38    -4.49
2051     -0.83    -1.99    -5.96    -3.74   -10.65
2052     -5.77    -3.50   -10.71   -13.83    -7.39
2053     -8.20    -2.14    -6.01   -10.65    -4.66
2054     -7.46    -1.98    -6.07    -9.11    -7.58
2055    -26.36    -1.68    -7.63   -18.59    -7.73
2056    -20.30    -3.41    -7.87   -13.09    -2.95
2057    -10.86    -1.59   -19.87    -7.71    -5.42
2058     -7.21    -1.85   -12.13    -7.39   -10.12
2059     -4.99    -1.69    -5.89    -4.99   -12.71
2060    -20.93    -1.92   -21.08   -19.57    -5.51
2061    -10.17    -2.44   -23.33   -10.09    -4.18
2062    -15.98    -1.29    -8.49   -14.41    -3.73
2063     -1.47    -3.74   -16.70    -6.97    -6.70
2064    -14.70    -5.84   -18.28    -8.38    -5.23
2065     -2.96    -3.11    -4.20    -2.70    -3.28
2066       NaN      NaN      NaN      NaN      NaN
