Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         92.64    13.63    41.78    90.28    36.27
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      2.63     0.04   -12.53     4.38    -2.65
1962      7.44    -0.63    -7.24     9.66    -6.43
1963    -19.03    -1.58     6.48   -17.25    -2.88
1964      4.99    -1.08    10.36     4.87    -1.25
1965      8.48    -1.47     7.27     9.17     7.95
1966    -11.24    -0.48   -11.29   -19.02    25.15
1967    -11.01     3.77     9.93   -13.44    -1.83
1968    -14.63     2.37    -5.61   -12.68     5.17
1969      6.44    -0.85   -10.84     8.02     1.40
1970     30.42     1.79    19.69    28.89     1.17
1971    -11.27    -1.66     7.02   -10.28    -0.47
1972    -28.74     1.20     2.90   -33.41    -3.72
1973    -23.94    -3.21    -8.98   -22.37    -4.63
1974      2.72    -1.20    -5.84     4.97    -2.04
1975    -19.41     3.34    -4.11   -17.95    -1.16
1976      2.39     0.19    -3.86     1.99     6.22
1977     11.58    -1.30    -3.36    13.72    15.96
1978      4.07    -4.17   -18.33     6.13    -0.03
1979     21.62    -1.97    -9.23    23.81    -0.21
1980     13.15    -1.51    28.44    12.93    -2.13
1981      3.84     2.24    48.32   -28.42    11.30
1982     16.25     3.84     1.50    17.02     1.81
1983    -27.36    -3.28   -10.24   -25.01    -8.76
1984    -15.97     3.23    -2.90   -14.12    -3.25
1985    -16.05     2.44     6.82   -17.30    -0.51
1986      8.41     0.06    -5.45    10.29    -3.99
1987     23.44     2.37   -16.89    25.69     9.19
1988    -25.59    -1.88     1.45   -26.03    -2.99
1989     27.87     1.96    -2.69    30.06    -2.28
1990    -13.54    -2.01    -2.31   -13.27     6.16
1991     22.14    -0.73     1.59    24.46    -3.99
1992      0.32    -2.21    -8.80     2.67     1.41
1993     25.74     0.45    -2.46    26.82     6.82
1994    -15.49     0.04    -8.95   -13.29     2.15
1995     -8.73    -0.14    -3.24    -6.45    -5.16
1996    -16.61    -0.85    -6.21   -14.26    -2.70
1997     24.36     1.62    -4.38    26.52   -13.04
1998    -12.28    -0.67    -5.32    -9.94     3.05
1999     -3.31     2.03    15.81    -3.88    -4.17
2000     15.05    -1.98    -7.92    17.37    -6.10
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
