Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00     9.97     9.97     9.99     9.95
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      3.78     7.97     3.20     1.86     2.15
1962      6.64     0.55     3.28     7.61    12.30
1963      8.68    10.65    12.61     6.46     3.36
1964      4.92     8.16     2.89     2.51     5.09
1965      1.88     2.23     1.47     0.42     0.93
1966      2.42     8.97     0.85     1.56     1.90
1967     15.64    13.56    18.24    20.46    16.71
1968      5.73    17.36     5.92     0.99     2.58
1969      0.96     1.96     0.86     0.17     0.96
1970      4.05     9.42     7.03     1.97     2.07
1971      6.77     2.17     5.11     7.83     6.94
1972      7.60     3.38     9.03     6.44     4.06
1973      4.35     3.12     7.15     2.97     3.89
1974      7.35     6.17     5.88    10.41     6.88
1975      6.56     6.99     5.20     4.68     4.14
1976      2.64     1.71     1.87     0.78     3.46
1977      7.46     8.83     8.87     8.28     6.15
1978      6.88    10.62     8.38     5.29     8.14
1979     12.54    15.28    14.42    14.43     8.07
1980      6.65     6.31     5.17     4.97     5.15
1981     10.45    19.06     9.33     8.09     5.25
1982      6.06     5.13     3.87     7.42     2.99
1983      5.19     3.30     3.07     2.29     5.08
1984      5.96     8.55     5.17     4.05     6.80
1985      6.93    18.97     6.39     4.18     3.37
1986      8.97     3.23     9.95     8.68     7.28
1987     14.77    15.00     9.71    21.55    18.86
1988     17.99    23.97    12.81    26.71    17.04
1989      8.92     7.55     8.96     5.55     5.57
1990     17.88     9.56    13.07    22.88    27.45
1991     13.56    17.37    20.48     6.01    11.88
1992      7.24     9.42     8.04     2.52     9.90
1993     12.76    10.57    11.44    11.79    14.54
1994     17.87    16.13    23.94    17.05    17.32
1995     17.62    20.62    19.91    24.08    12.11
1996      9.98     9.43    10.59     7.70    12.38
1997     19.36     4.41    16.18    28.01    33.54
1998     17.69    17.16    20.99    19.56    15.67
1999      7.79     5.75     7.16     3.50    12.67
2000     15.79    13.82    16.88    15.28    17.68
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
