Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.99    10.71     9.74     5.40     7.09
1962      7.00     6.84     6.43     7.95     6.25
1963      8.24     7.01     5.81     4.44     6.26
1964      6.71     7.26     3.65     3.56     4.73
1965      6.64     6.80     5.81     2.64     5.97
1966      5.34     7.09     3.77     4.95     7.47
1967      7.69     7.52     6.28    10.61     6.18
1968      7.64     5.59     6.00     4.34     4.78
1969      9.08     8.82    11.85     5.96     6.96
1970      9.00     8.29     7.23     9.96     8.77
1971      6.94     5.30     5.48     5.16     4.26
1972      7.06     5.07     6.45     7.18     5.23
1973      8.66     7.13     6.94     5.94     6.97
1974     10.18     8.38     8.34     7.46     7.50
1975      8.73     9.19     8.32     6.67     7.75
1976      8.47     9.03     9.11     6.49     5.96
1977      8.61     7.37     6.25     5.34     8.10
1978      9.86     7.27     8.33     7.67     6.27
1979      7.61     6.71     8.76     5.13     8.65
1980      8.87     9.17     7.08     6.18     8.90
1981     11.10    11.56    10.95    11.08     9.40
1982      9.98     9.18     8.75     8.62    10.05
1983      9.26     9.48     6.51     7.24    11.37
1984     10.19     9.64    10.27     9.66    10.60
1985     10.29     7.59     9.21     7.57     7.29
1986     10.26     7.10     8.78     6.62     6.72
1987     12.32    12.92    10.82    11.36    10.43
1988     10.00     9.64    12.26    11.46    12.93
1989     13.30    13.85    13.64     8.22    10.29
1990     12.40    13.30    12.28    14.71    12.74
1991     13.66    15.53    14.78    12.66     8.72
1992      7.97     8.58     6.86     8.15    11.53
1993     11.35    10.97    12.34    12.14    14.28
1994     14.54    14.90    17.28    18.97    12.37
1995     12.59    16.08    10.84    13.31    12.31
1996     10.27    10.33    11.88     7.84    12.69
1997     12.06     9.06    14.66    11.11    11.51
1998     11.22    14.15    14.56    14.26    15.15
1999     11.09    10.03    10.08    11.04    14.28
2000     14.10    14.08    17.25    17.68    17.36
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     25.55    33.56    32.76    45.32    34.75
2047     27.14    39.29    35.15    46.03    38.01
2048     28.90    35.85    44.72    51.20    44.63
2049     33.71    39.07    45.95    53.11    49.09
2050     30.92    42.34    43.68    51.05    44.78
2051     28.34    35.85    39.94    46.06    49.29
2052     35.22    45.31    46.12    53.73    52.50
2053     33.04    43.64    42.38    53.29    45.05
2054     34.37    44.16    43.29    47.24    48.02
2055     34.13    46.61    51.47    52.89    46.82
2056     35.60    47.89    49.76    58.06    50.43
2057     34.31    46.96    49.91    57.79    40.28
2058     36.90    51.16    40.25    66.58    60.43
2059     32.72    47.48    47.11    46.09    50.91
2060     34.62    44.45    42.87    57.04    51.44
2061     37.33    51.62    53.23    54.42    51.83
2062     36.18    47.57    45.46    50.03    57.10
2063     36.18    54.19    50.45    60.63    58.41
2064     36.79    56.84    53.88    54.85    50.19
2065     38.99    49.48    54.85    54.29    54.24
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
