Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         68.2    13.3    48.9   152.7    58.0
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   11.65   34.77   49.85   -0.45    6.06
 1961   -7.43  -15.76    8.91  -14.01   -2.00
 1962    5.68   17.47   28.91   -2.01    3.62
 1963    2.84   11.01   34.14   -2.18  -12.19
 1964   19.76   15.93   50.82   14.69    7.80
 1965   -0.82   56.11    7.77   -4.40  -11.63
 1966   12.02  -43.04  -12.08   24.89   11.04
 1967   11.40  -13.08   42.89   10.92   -8.25
 1968   10.27  -31.66   19.00   16.92   -4.98
 1969  -14.73  -31.18  -24.55  -21.00   13.79
 1970  -18.15   14.76  -14.44  -24.10  -13.13
 1971    7.22   -0.48  -24.82   24.63   -9.81
 1972   23.25   52.30   52.65   17.93    5.85
 1973    8.83   11.22    8.28    9.78    6.23
 1974   -6.25  -21.09   -7.18   -4.75   -6.03
 1975   -0.43    3.98  -40.87   13.97   -5.28
 1976    1.85   60.32   16.39   -9.54    6.23
 1977  -17.94   25.06  -23.84  -24.55   -5.40
 1978    9.93  -18.98   24.95    2.92   22.31
 1979    2.99   30.67   26.77   -3.62   -5.96
 1980    4.25   -8.67   33.99    0.78   -8.69
 1981   13.56   26.30   13.72    9.30   21.72
 1982  -10.72  -24.83  -11.70   -9.15  -10.81
 1983    0.10  -35.91  -33.26    6.45   19.74
 1984   22.24  -11.65   26.26   27.97   11.51
 1985   -3.06   31.18   -5.33   -5.57   -2.38
 1986    3.81  -16.61   -5.48    1.59   22.13
 1987   -1.81  -21.37  -11.52    1.37    2.49
 1988   13.08   -2.29   22.53   14.21    5.68
 1989   12.46  -17.85   51.19    7.19    0.64
 1990   12.77   15.58   22.71   12.49    4.50
 1991   -0.60    0.67   24.08   -7.83   -2.65
 1992    7.37  -10.54   17.75    5.76    6.93
 1993    1.26  -11.12    4.05    3.38   -3.84
 1994  -20.08  -30.45  -30.20  -19.74  -10.08
 1995   -2.56   23.77    5.59   -4.26  -10.95
 1996  -20.84  -28.23  -57.55  -12.06  -11.32
 1997  -14.84  -19.54  -39.36   -4.18  -21.19
 1998  -26.35  -17.43  -67.89  -18.64  -13.69
 1999   -1.36    1.20   22.52  -11.74    5.25
 2000   12.17   15.49   52.61   -8.27   31.11
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    2.72   21.21   39.93   -9.31   -1.21
 2002    1.80    8.75  -38.56   11.00    9.99
 2003   14.68    1.57    7.41   17.20   17.16
 2004   -0.01   -6.37    8.99   -3.20    2.26
 2005   -1.37  -17.85  -14.83   -0.47   11.37
 2006  -13.22  -15.05  -20.58   -9.58  -16.21
 2007  -13.97  -26.95  -18.64  -14.32   -6.16
 2008   -0.93   35.44  -10.86    0.14   -3.69
 2009    6.60   12.97  -10.14   -1.15   39.61
 2010   19.08   -5.73   47.60   -1.76   55.56
 2011   14.28  -17.83  -12.19   23.37   20.01
 2012   24.94   16.92   23.40   27.88   20.32
 2013  -17.13   25.15  -23.88  -21.45   -9.75
 2014   -8.79    5.55  -49.41    4.54  -12.92
 2015    0.05   26.08   -6.76   -3.99   10.44
 2016  -14.15   43.63  -21.31  -20.96   -3.43
 2017   -2.57  -46.47  -53.72    8.92   20.31
 2018    0.76   32.10    0.59   -6.96   14.05
 2019   -8.10   41.07   -5.65   -8.25  -20.99
 2020    4.21   -0.50    1.22    9.49   -6.08
 2021   22.56    9.14   17.04   30.21   10.14
 2022    5.49  -45.63  -29.82   18.31   13.20
 2023   -3.64   -3.03   -3.59   -8.76    9.64
 2024  -10.52  -33.20  -34.13   -7.45    6.46
 2025  -16.00   17.73  -47.24  -13.96   -2.78
 2026    4.80  -22.82   -9.33   10.15    8.94
 2027   30.34  -16.69    6.03   43.13   27.91
 2028   -6.45   26.48    6.69  -12.01  -10.44
 2029  -11.93  -25.97  -47.38   -6.11    5.82
 2030  -19.56  -19.09  -30.90  -23.11   -0.79
 2031   -8.99   25.72  -28.71  -13.74   12.18
 2032  -18.57  -16.94  -43.88  -17.13   -1.39
 2033  -10.39    9.01  -19.18   -5.70  -19.77
 2034  -17.46  -23.61  -44.39  -13.80   -3.01
 2035  -26.15    6.67  -45.38  -28.27  -11.86
 2036  -20.26  -16.50  -47.15  -17.18   -6.58
 2037   -2.47  -30.78   -5.39   -1.47    3.84
 2038   -5.57  -21.68  -37.27    5.24   -3.63
 2039    2.63  -39.30  -34.11   11.18   20.65
 2040  -28.87  -55.73  -66.08  -22.48   -8.20
 2041  -31.36  -28.67  -79.30  -31.94    9.93
 2042   -8.56  -11.66  -15.04   -4.44  -13.25
 2043  -10.88   -0.47  -41.31   -8.90    7.15
 2044    4.56  -25.72  -33.37   16.61   11.70
 2045  -13.49  -17.37  -33.49  -10.00   -4.95
 2046  -21.52   -0.43  -39.01  -23.19   -7.19
 2047  -13.95   19.26  -23.63  -17.59   -3.82
 2048    3.11  -14.63  -29.62   22.05  -15.11
 2049   12.04   29.92    8.06   10.82   14.54
 2050   -9.64    7.09  -22.24  -11.23    1.35
 2051    5.02  -22.45  -49.99   23.72    8.41
 2052  -16.42  -17.84  -30.53  -25.94   20.83
 2053  -10.59  -13.57  -71.08   -3.28   21.78
 2054  -14.71   -1.75    0.23  -21.10  -13.44
 2055  -30.58  -41.86  -58.83  -18.97  -34.77
 2056   -9.60  -47.03  -45.56    0.58    2.47
 2057  -18.60  -34.27  -58.97   -6.91  -11.78
 2058   -5.25   -3.44    9.90  -14.12    4.89
 2059  -38.51  -17.25  -70.59  -33.68  -29.05
 2060  -20.48  -21.09  -37.91  -19.59   -7.99
 2061  -22.44   -5.81  -27.24  -28.99   -4.96
 2062  -12.72  -30.04  -55.66  -14.63   32.40
 2063   -7.26  -19.52  -40.62   -0.69    6.37
 2064   -9.17   -5.38  -57.93   -2.68   13.94
 2065  -25.63   -1.67  -49.41  -14.12  -41.35
 2066  -12.02  -33.88   -2.08  -18.62    1.98
 2067  -21.86  -39.04  -60.00   -8.03  -22.20
 2068   -4.43   -9.35  -28.64    5.27   -8.42
 2069  -28.93  -12.54  -81.23  -29.77   13.57
 2070  -19.94    7.10  -24.76  -26.87   -3.82
 2071   -9.05  -20.29  -58.90   -2.58   18.46
 2072  -29.28  -19.60  -11.64  -45.10   -4.72
