Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         91.3    28.0    86.2   160.9    90.1
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960    2.15   -2.16   -0.61    2.25    5.95
 1961   11.33  -12.65    9.37   19.53    6.00
 1962    2.17   16.80   15.49    2.62  -15.95
 1963   -7.26   12.66  -30.66   -4.91    4.73
 1964   -2.74  -13.84   -2.34    0.21   -4.94
 1965   -4.02  -16.74  -13.69    1.26   -0.26
 1966   10.50   25.11    8.41   10.22    8.45
 1967    2.88    4.88   -8.87    6.37    7.29
 1968   -1.48    6.99  -14.65    3.59   -0.58
 1969    3.77  -15.90    4.19    9.54   -0.81
 1970    5.37    8.06    0.68    8.59    3.28
 1971   -6.96   -4.30  -20.25   -5.15    1.69
 1972    0.54   17.08    4.63   -4.09   -0.23
 1973   17.77   14.90   31.41   16.31    8.23
 1974    9.44   35.02    4.87   10.61    3.76
 1975   -0.05   -6.13    1.30    4.17   -7.00
 1976   -4.39  -10.68   -0.51   -2.76   -9.07
 1977   -6.42  -10.92  -17.43    0.07   -6.07
 1978   11.89   14.78   17.40   11.75    5.96
 1979   -9.80  -18.26    2.96  -23.26    4.66
 1980  -14.70  -41.20  -28.07   -3.11  -14.39
 1981    3.12   -9.04    0.64    9.55   -2.21
 1982    5.27   -0.64    2.58   11.64   -1.69
 1983   -4.38  -13.01   -3.95   -1.69   -6.92
 1984   -7.20   -9.68   -5.57   -1.99  -17.27
 1985    4.43   39.08   -7.07    6.57    0.81
 1986   -1.66  -19.66   13.41   -2.96   -8.14
 1987   -2.85   -0.81   -2.80   -3.16   -2.97
 1988    9.56   12.42   19.87    8.32    1.01
 1989    1.50   -5.89    7.07   -3.02    6.53
 1990   10.58   36.81    6.48    7.23   12.34
 1991   -3.87   -6.01   -1.61   -3.66   -5.73
 1992   -7.44    8.19  -28.25   -6.84    6.54
 1993    1.64   -5.40    8.08  -10.28   18.95
 1994   -1.48   -8.62   -8.73    7.55   -8.45
 1995    4.09   -2.10    5.18    2.89    7.11
 1996    3.87  -19.61   13.64    0.76    7.36
 1997   -3.40    6.97   -6.40   -7.26    3.13
 1998   -5.58    6.12   -3.91   -8.81   -5.06
 1999   -8.88   -7.49   -5.63  -17.98    3.85
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    0.24   -0.40    9.88   -5.11    0.76
 2001  -15.24  -30.27  -13.16  -17.35   -8.77
 2002    2.05    4.91   -2.71   -4.33   17.13
 2003   -1.61   -0.27    0.15   -6.95    5.83
 2004   -3.89  -23.67    7.51   -5.90   -5.04
 2005   18.22   55.74   17.31   15.82   11.72
 2006   -4.29   -2.15  -20.81   -1.12    5.21
 2007   -5.63  -13.24  -11.86   -8.10    7.13
 2008   -3.74  -12.81    4.40   -9.01    0.72
 2009  -11.56   16.50  -33.60   -8.24   -5.12
 2010   -1.44   11.09   -2.86   -0.42   -5.79
 2011   -0.59   14.55   -8.78  -13.10   24.89
 2012    9.10    1.84   18.68    8.83    2.69
 2013   -1.01   23.98    2.04  -11.04    6.22
 2014    2.64  -35.77   16.49   -3.00   11.40
 2015  -14.97   -4.14   -2.11  -24.03  -14.45
 2016   -2.55  -32.31    0.85    0.45   -1.92
 2017   -4.47   16.06    8.18  -16.92   -0.73
 2018   -6.63  -18.70    2.25  -14.10    1.96
 2019   -3.73  -48.62   -1.90   -4.31    9.49
 2020  -12.13    3.92  -13.39  -24.36    5.95
 2021   10.39   -7.25   34.19    9.22   -4.82
 2022   -8.54   -2.94   -7.46  -12.99   -3.37
 2023    0.92    1.94   -8.64    1.56    8.60
 2024    5.20    8.16    3.79    1.18   12.81
 2025   -5.16  -32.51  -13.98   -2.81    7.61
 2026   -3.54   13.70   -8.75   -3.46   -4.05
 2027   -3.74   17.39    0.64  -10.94   -1.64
 2028   -1.14  -24.53  -12.81    6.44    3.73
 2029  -10.19    9.73   -8.03  -20.11   -0.74
 2030   -9.30  -21.66   -4.26  -13.27   -3.21
 2031  -12.44   -9.04  -13.35  -22.61    5.57
 2032   -1.11  -14.66    0.72  -10.80   18.65
 2033   -7.74   12.70   -0.94  -17.77   -2.66
 2034   -1.91   19.18    1.89   -7.00   -3.01
 2035    1.79  -24.14    1.43    4.12    6.04
 2036   -4.08   -9.65   -0.05   -6.76   -1.43
 2037   -5.15  -25.87    1.98   -6.41   -3.26
 2038    0.27   23.18   20.34  -15.73    2.53
 2039   -4.27  -14.74   11.61  -12.03   -2.33
 2040    1.66    0.17   21.62   -7.96    0.22
 2041   -7.25   29.97  -22.71   -5.04   -7.97
 2042   -4.38   38.02  -11.37  -14.38    6.99
 2043   -9.90   -9.49  -25.03  -10.50    5.55
 2044   -7.29  -19.26  -18.33   -3.66    0.53
 2045    7.56   -7.87   10.11    9.70    6.08
 2046    1.58  -20.78   -5.29    8.67    2.43
 2047  -13.51  -26.54  -16.64  -14.59   -4.52
 2048    3.31  -11.83   15.82   -4.04    9.19
 2049   -3.90   -5.72  -12.75  -10.86   17.59
 2050    3.42  -23.47   -5.93   10.61    7.86
 2051    7.45   55.00   21.50   -9.20    8.94
 2052  -13.03  -10.59  -22.75  -10.96   -8.18
 2053   -9.07  -36.85  -23.25    1.09   -5.04
 2054    0.21   35.53    1.98   -1.55   -9.30
 2055   -2.31   -6.31    5.80   -5.04   -3.96
 2056   -4.80  -21.87    2.59  -10.10    2.89
 2057    3.10   27.60   -6.27    1.89    6.60
 2058    8.93   -3.76   19.88    8.58    3.01
 2059    1.08    6.10   -1.24   -4.44   11.63
 2060    6.43   46.74   22.10   -7.35    3.51
 2061    7.25    3.40   -2.40   13.44    6.62
 2062   17.67   23.77    7.69   18.50   23.83
 2063   18.12   11.58   10.66   16.76   29.74
 2064   11.06   25.04   14.42    8.48    8.11
 2065    6.90    9.26   14.29    7.85   -2.61
 2066    7.47   44.73   -9.19    3.92   18.15
 2067   10.44   22.32   27.42   -0.03    9.19
 2068    6.75   63.72    0.23  -11.55   27.97
 2069   -0.95   15.58   -3.81   -2.15   -1.21
 2070    1.36   12.37   -3.79  -13.60   29.58
 2071  -10.01  -28.50  -31.23   -4.70    6.56
 2072   12.62   64.21   -0.82    4.81   23.40
 2073   22.00   34.04   24.15   15.13   28.47
 2074   11.23  -11.24   11.90   15.32   10.28
 2075   -2.66   34.74  -10.79   -2.74   -6.35
 2076    6.21  -15.61   18.12    6.52    1.07
 2077    7.98   35.15   -9.20    6.36   18.86
 2078   20.10   92.15   21.02    9.30   16.11
 2079   17.34   44.66   14.23   13.70   18.31
 2080   14.70   56.18   11.17    7.08   18.77
 2081   -3.20   42.27  -23.63   -7.63   10.14
 2082   22.00    2.46   28.48   19.14   27.00
 2083   19.33   38.21   22.85   14.93   17.94
 2084   12.42   27.93   -9.59   20.05   15.01
 2085    7.98   29.96    9.63    3.80    7.02
 2086   18.49   29.34   27.64   11.89   18.16
 2087   14.07   14.09   15.30   10.15   19.91
 2088   21.07   37.99   14.64   21.16   21.79
 2089    1.24   22.10   -2.18   -7.17   13.05
 2090    9.65   46.40   11.45    4.68    5.39
 2091    5.33   -0.35  -16.24    9.06   21.06
 2092   14.87   58.92   10.65    8.46   16.66
 2093    3.67   61.13  -12.19   -3.31   13.44
 2094   11.13   26.58    4.40   12.49   10.34
 2095   15.48   53.40    8.75   13.59   13.50
 2096   14.49   32.55   25.30    3.79   17.65
 2097    7.32   70.20   -6.08   -0.58   14.69
 2098   13.84   66.87    2.06    0.21   32.98
 2099   10.64   68.04    6.18    2.72   11.20
 2100     NaN     NaN     NaN     NaN     NaN
Projections under SRES A1B scenario
 2000   -4.22    7.84   -8.40   -7.76    2.35
 2001    3.25  -26.59   17.90    5.05   -4.68
 2002  -11.47  -21.17  -21.10  -17.49   11.49
 2003  -14.66  -29.22  -12.07  -24.74    5.42
 2004    6.33   18.27   16.59   -0.41    4.83
 2005    2.82   10.65    1.34   12.93  -16.26
 2006   -4.31  -23.29   -2.70   -2.27   -3.60
 2007  -14.16  -13.05  -34.11  -14.67    5.49
 2008   12.28   21.89   22.35    4.36   13.82
 2009   -8.08   32.85  -37.64   -1.78   -3.79
 2010    4.85   -6.00    6.46    3.08    9.85
 2011  -12.01   -7.72  -14.91  -12.31  -10.01
 2012    2.26   28.86   -8.96    5.22   -0.57
 2013   -0.69   15.96  -30.17   13.77   -3.51
 2014   -0.66   22.70   -1.23   -6.59    3.22
 2015  -13.70  -25.59  -32.47  -16.33   12.68
 2016   -6.51  -30.98   18.91  -25.23   10.25
 2017    1.31   47.86    1.56   -3.14   -5.46
 2018   -3.86  -12.34   -0.98   -0.69   -9.62
 2019   -8.53    2.09  -14.75  -18.15   11.29
 2020  -20.33  -17.47  -34.48  -17.29  -13.13
