Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    25.47   25.52   27.49   24.29   24.59
1962    25.61   26.14   26.83   24.57   24.93
1963    25.91   26.63   27.58   24.92   24.52
1964    25.65   26.58   26.92   24.15   24.95
1965    25.55   25.84   27.14   24.53   24.68
1966    25.77   25.97   27.33   24.83   24.98
1967    25.46   25.83   27.07   24.38   24.55
1968    25.70   25.73   26.80   24.90   25.35
1969    26.16   27.21   27.80   24.73   24.92
1970    25.82   26.34   27.42   24.52   24.99
1971    25.39   25.68   27.12   24.13   24.62
1972    25.75   25.97   26.90   25.03   25.09
1973    25.95   26.61   27.69   24.86   24.65
1974    25.50   25.93   27.39   24.22   24.45
1975    25.23   25.48   27.12   23.98   24.35
1976    25.30   25.94   26.59   24.40   24.26
1977    25.76   26.13   27.35   24.76   24.81
1978    25.56   26.54   26.92   24.45   24.33
1979    25.90   26.57   27.17   24.87   24.99
1980    26.02   26.87   27.52   24.69   24.99
1981    25.85   26.35   27.39   24.64   25.02
1982    25.65   25.86   27.39   24.85   24.50
1983    26.23   26.65   27.82   25.13   25.30
1984    25.83   26.15   27.49   24.84   24.85
1985    25.86   26.48   27.57   24.42   24.95
1986    25.60   25.87   27.62   24.49   24.40
1987    26.30   26.45   28.01   25.37   25.37
1988    26.01   26.35   28.12   24.63   24.94
1989    25.77   25.74   27.39   24.65   25.30
1990    26.12   26.29   27.79   24.84   25.54
1991    26.04   26.60   27.85   24.71   25.00
1992    25.84   26.33   27.32   24.65   25.07
1993    26.10   26.42   27.72   24.92   25.34
1994    25.75   26.12   27.51   24.67   24.71
1995    26.03   26.23   27.76   24.93   25.19
1996    26.25   27.01   27.58   25.09   25.32
1997    26.12   26.86   27.10   25.05   25.48
1998    26.67   27.75   28.45   24.83   25.63
1999    25.97   26.41   27.72   24.56   25.18
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
