Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
      25.6461      26.0012      27.2906      24.5829      24.7096
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    -0.40   -0.82    0.00   -0.41   -0.36
1962    -0.26   -0.20   -0.67   -0.14   -0.03
1963     0.04    0.29    0.09    0.22   -0.44
1964    -0.22    0.24   -0.57   -0.55   -0.00
1965    -0.32   -0.49   -0.35   -0.18   -0.27
1966    -0.10   -0.37   -0.17    0.12    0.02
1967    -0.41   -0.50   -0.42   -0.33   -0.40
1968    -0.17   -0.60   -0.69    0.20    0.40
1969     0.29    0.87    0.30    0.03   -0.03
1970    -0.05    0.01   -0.08   -0.19    0.04
1971    -0.49   -0.65   -0.37   -0.58   -0.34
1972    -0.12   -0.36   -0.59    0.32    0.14
1973     0.08    0.28    0.19    0.15   -0.30
1974    -0.37   -0.40   -0.10   -0.48   -0.51
1975    -0.64   -0.85   -0.38   -0.73   -0.61
1976    -0.57   -0.39   -0.90   -0.31   -0.69
1977    -0.11   -0.20   -0.14    0.06   -0.15
1978    -0.31    0.21   -0.57   -0.25   -0.62
1979     0.03    0.24   -0.32    0.17    0.03
1980     0.15    0.54    0.02   -0.02    0.04
1981    -0.02    0.02   -0.10   -0.06    0.07
1982    -0.22   -0.48   -0.10    0.14   -0.45
1983     0.35    0.32    0.32    0.43    0.35
1984    -0.04   -0.19   -0.00    0.13   -0.10
1985    -0.02    0.15    0.07   -0.28   -0.00
1986    -0.28   -0.46    0.13   -0.21   -0.56
1987     0.43    0.12    0.52    0.67    0.42
1988     0.14    0.02    0.62   -0.08   -0.02
1989    -0.10   -0.59   -0.10   -0.06    0.34
1990     0.24   -0.05    0.30    0.13    0.59
1991     0.17    0.27    0.35   -0.00    0.04
1992    -0.03   -0.01   -0.17   -0.06    0.12
1993     0.23    0.08    0.22    0.22    0.39
1994    -0.12   -0.22    0.02   -0.04   -0.25
1995     0.16   -0.10    0.27    0.23    0.24
1996     0.38    0.68    0.09    0.38    0.37
1997     0.25    0.53   -0.40    0.35    0.53
1998     0.80    1.42    0.96    0.13    0.68
1999     0.10    0.07    0.23   -0.15    0.22
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
