Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         17.90    20.74    14.12    15.06    18.78
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -17.90      NaN      NaN      NaN      NaN
1961      4.98    -4.30     9.63    -6.55    11.21
1962      0.18    -0.12     1.51    -3.38    -7.97
1963     -0.86   -15.03    -3.74     1.74     4.48
1964      0.34     2.76    -6.02    -0.83     1.23
1965      3.11     1.04     1.34     2.57     6.03
1966      0.43    -0.59     0.75     9.02     5.92
1967     -3.94    -9.83    -1.20    -7.71    -7.44
1968     -0.11    -1.26    -1.72    -2.87    12.23
1969     -6.73    -9.65    -8.92    -8.51    -6.18
1970     -0.44     3.90     4.54    -0.74    -6.91
1971     -0.98     4.60     2.72     4.73    -1.52
1972     -0.69     7.49    -0.63    -0.28    -0.03
1973      4.87    -2.41    -1.76     7.44     8.44
1974     -3.03    -8.69     0.97    -6.80     1.36
1975      2.18   -11.05    -0.65     1.33     7.70
1976      3.04     5.66     5.53     8.60    -1.64
1977     -0.12     0.12    -3.92    -2.52     3.87
1978     -0.02     8.68     2.75    -3.55    -7.13
1979     -1.94    -3.38    -4.52     1.88    -6.60
1980      3.98    11.47     6.04     4.66     3.86
1981     -3.73   -10.01    -4.03     2.25   -11.43
1982      2.68    -1.53    -1.59     4.81     0.94
1983     -1.97     6.96    -1.26    -9.73     2.30
1984     -0.52     5.44     5.49    -6.11    -3.28
1985      1.48     3.19     5.62    -2.31     4.85
1986     -0.34    -1.74    -0.25    -2.73     4.53
1987      0.07    -3.24     1.90    -4.96    -3.87
1988     -5.66    -1.94    -6.23    -0.31    -8.66
1989     -1.15     4.95    -0.29    -7.50    -0.59
1990      3.91     1.09     1.03    12.98    -1.20
1991     -0.67    -3.53    -3.43    -0.46     3.59
1992     -7.56    -9.11    -5.25    -8.36     4.19
1993      1.88    -3.48     6.61    -4.90     6.13
1994     -0.40     5.05    -8.49     2.81     2.44
1995     -0.60    -0.51     3.09    -3.91    -7.05
1996      2.36     3.09     3.71    -6.64     8.36
1997      0.35    -9.64    -1.09     5.75     4.57
1998     -0.64    -0.85    -5.14     2.08    -5.75
1999      3.66    -0.58    -1.44    12.47    -1.44
2000     -3.66    -2.21    -7.34     2.26     3.97
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.64    -7.37     0.70     9.94    -3.12
2047      0.72    -7.46    -0.87    -1.04    11.25
2048     -1.60     3.86    -9.96    -2.17    -1.23
2049     -2.47    17.04    -4.90    -2.45    -2.89
2050     -2.19   -12.19     3.08    -5.20    -2.77
