Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         31.46     9.61    20.63    29.48    18.62
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -0.41    -0.69     3.35     0.62    -2.86
1962      2.00     0.31     5.78     1.15    10.86
1963     -3.57     1.01    -0.86    -7.23    -0.61
1964      2.71     2.06     0.10     2.54     5.90
1965     -2.68     3.61    -1.21    -3.78     0.40
1966      6.49    -2.19    10.97     4.65    -1.38
1967     -1.83    -0.92     0.25    -0.05     1.48
1968     11.12    -2.69    20.95    -1.96    -2.69
1969     -8.21    -2.50    -0.74   -11.61    -2.30
1970     -4.25    -0.49    -2.08    -3.09    -5.27
1971      7.25     0.12    -2.55     8.91    -1.24
1972      4.45     3.48    -0.46     3.46    -1.40
1973     -1.15     1.09     1.01    -0.94     6.76
1974     -0.62    -0.56     0.15    -2.33     5.65
1975     -2.17    -0.04    -4.15    -1.06    -3.12
1976     -0.76     4.53    -4.65     0.73    -0.12
1977     -5.28     2.25    -0.21    -3.66    -1.90
1978     -0.95    -0.10    -1.84    -0.34     2.65
1979     -1.21     1.65     3.37    -0.96    -3.77
1980     -6.11    -0.41    -1.04    -7.28    -2.56
1981     -3.23     2.29    -0.38    -1.85     0.49
1982     -4.41    -0.65     0.91    -7.16    -4.54
1983     -1.27    -2.62    -5.63    -0.29     3.24
1984      0.01    -2.42     0.11     0.64     2.94
1985     -6.15     1.68     1.45    -9.20    -0.40
1986      5.18    -1.02     5.11     4.98     0.10
1987      2.52    -1.72    -0.77     3.30     2.65
1988      5.26     0.98     3.08     6.16     2.14
1989     -2.91    -1.78    -0.24    -4.73     0.85
1990      6.96    -0.04     5.57     5.42     5.31
1991     -3.35     1.04    -0.65    -3.61    -2.01
1992     -1.92    -1.81    -1.02    -0.37    -1.78
1993     -0.28    -1.15     9.73    -2.49    -1.62
1994     -0.20    -1.00     1.33    -0.60    -1.63
1995     12.32     1.62     0.52    14.11     0.92
1996      3.86    -1.19     0.32     3.23     0.97
1997     -1.07    -2.75    -1.03    -2.31    -0.21
1998     -3.50    -1.77    -6.08    -3.22    -0.49
1999      2.98     0.81     0.11     4.53    -2.60
2000     -2.54     0.10     1.04    -4.45     2.12
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.26    -0.40    -1.87    -1.27    -2.25
2047     -5.07     2.71    -0.30    -6.77     1.33
2048      4.30     0.86     1.12     4.02    -0.26
2049     11.84     3.94     5.93    11.69    -0.55
2050     -2.34     1.20    -1.54    -1.86     5.84
2051      9.85    -1.18     8.11     6.15     0.62
2052     -6.76    -1.04    -3.23    -5.69     0.13
2053      2.85    -0.85    -7.14     3.16     3.73
2054      2.51     1.30    -1.28     4.17    -1.90
2055      4.82    -2.18    -5.28     6.65    -2.58
2056      1.90    -3.17    -3.05     3.60     3.06
2057      5.33    -2.67    -0.38     3.24    -0.80
2058     -1.66     3.60     6.65    -4.47    -1.05
2059     -1.44     2.37    -6.15    -1.42    -2.34
2060     -0.22    -0.50     1.15    -1.17     1.48
2061     -4.10    -0.98     1.41    -2.55    -4.19
2062      1.89    -0.22     6.49    -0.75     4.86
2063      5.21    -1.04     1.62     4.27     1.67
2064      8.07    -1.01    -5.74     7.66     0.77
2065      6.91     0.89    -4.97     8.12    -2.94
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     14.71    -2.62    -3.26    16.04     4.80
2082     -0.48     0.79    -4.11     1.00    -1.51
2083      2.89    -1.58    -4.70     4.67    -1.60
2084     -7.04    -1.90    -8.07    -6.35    -2.49
2085     11.29    -0.38    -0.93     7.01     1.74
2086      5.29    -2.97    -3.63     5.83     0.73
2087      8.22    -0.56    -2.26     9.12     2.25
2088     10.35    -2.34    13.91     7.47     6.01
2089     -1.74    -1.18     3.05    -0.20    -0.97
2090     10.05    -2.01     7.93     9.48     9.38
2091     -0.10    -0.90    -4.80    -0.80     1.49
2092      9.97    -0.48     0.04     9.07    -1.93
2093      3.78    -3.73    -0.85     3.83     5.11
2094      6.63    -1.45    -6.20     8.35     2.55
2095      3.86    -1.13    -1.76     3.76     0.86
2096     -1.78    -2.18    -3.25    -0.76    -1.03
2097      8.05    -0.69    -2.15     9.82     0.63
2098      6.41    -2.23    -5.33     7.26     0.33
2099      6.70    -2.35     0.33     6.34    -0.94
