Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         23.42     5.57    10.12    22.95    12.21
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.52     0.07    -0.33     4.94    -1.96
1962     17.98    -1.08     1.69    18.31    -2.00
1963      3.80    -0.21     1.02     4.10     1.57
1964     -3.82    -0.25     0.05    -3.47    -0.80
1965      0.42    -0.23    -0.21     0.40    -1.52
1966     -4.15     0.07    -0.72    -4.36    -0.28
1967      0.53     0.64     5.92     0.22     7.31
1968     -5.65    -0.07     0.80    -5.36     2.36
1969      0.47    -0.93    -1.66     0.77    -0.93
1970     -0.97     0.30     1.04    -0.71    -1.46
1971     -1.85    -0.47    -2.02    -1.44    -0.29
1972      6.53     0.84     0.54     6.77    -1.40
1973     -8.50     0.17    -0.85    -8.36     0.81
1974      5.32     0.42     0.06     5.14     5.13
1975     15.45    -0.21     0.60    15.80    -0.53
1976     -9.07    -0.01    -0.61    -9.03    -1.25
1977     -2.43     0.98     1.19    -2.05    -0.46
1978     -4.72    -0.59    -0.90    -4.34    -1.00
1979     -5.85     0.20    -1.25    -5.52    -2.27
1980     -1.22    -0.36    -1.62    -0.87     3.31
1981     -7.09     0.62     2.66    -6.73     0.50
1982      1.15     0.02    -0.33     1.58    -1.92
1983     -7.16    -0.12    -1.32    -6.89     0.16
1984     -4.01     0.29     1.45    -3.79    -0.42
1985      1.62     1.07    -1.53    -4.88     8.30
1986     -2.97    -0.07     0.48    -2.58    -1.45
1987      8.24     0.92    -0.68     8.47     0.55
1988      5.90     0.06     1.74     6.07     0.32
1989     -5.22    -1.10    -1.55    -4.78    -1.20
1990      6.21     0.07     1.59     6.53    -1.28
1991     -2.92    -1.63    -0.85    -2.67    -2.21
1992     -3.56    -0.55     3.42    -4.05    -0.63
1993     -2.04    -0.27     0.83    -2.79    -0.72
1994      4.37    -0.01     0.37     4.68     0.60
1995     -2.58     0.40     0.16    -2.12    -0.89
1996      1.72    -0.23    -1.88     2.02    -1.61
1997     12.06    -0.67     0.18    12.35     0.53
1998      2.41    -0.14     0.16     2.67     0.16
1999      1.18     0.08    -1.08     1.52     0.62
2000     -3.46     0.36     0.20    -3.04    -2.46
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
