Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         43.58    15.27    37.08    38.21    21.73
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -3.29     3.66    -4.88    -0.72    -4.75
1962     -4.97    13.73     1.00    -9.15    -1.56
1963     -4.61    -2.86    -3.10    -3.16    -3.44
1964     -2.17     2.41     0.77    -5.68    -0.88
1965      1.08    -7.22    -1.10     2.24     1.60
1966      4.11    -7.85     0.70     3.32    -2.02
1967     -3.96     3.41    -3.61     1.05    -7.28
1968     -0.64    -8.44     1.66    -0.43    -0.54
1969      1.42    -6.80     3.52     2.56    -4.50
1970     -1.86    -1.59     4.53    -3.97    -4.16
1971     -0.95     2.51     0.81     2.69     6.01
1972      2.70     5.32    -6.03     6.48    -2.59
1973      2.49     0.34    -2.61     5.37     0.32
1974     -1.51    -0.79    -3.87     0.96    -2.56
1975     -4.60     0.74    -0.69    -1.49    -8.17
1976      2.89    -0.26     0.55     4.01    -6.54
1977      2.72    17.54    -3.87     6.39     9.22
1978      3.31    -7.09     1.81     3.79    -0.61
1979     -1.43     3.04    -1.70     0.85     7.25
1980     -7.64    -6.05    -3.54    -5.94    -3.63
1981      5.97    -5.32    -1.98     8.52     4.86
1982     -5.46    -2.32    -0.28    -8.12    -4.02
1983      5.95     5.17     4.10     0.47    -3.14
1984     -2.58     2.90     3.66    -3.78    -8.76
1985     -0.39    -6.89    -6.22     2.19     7.09
1986     -1.56     6.20    -4.85    -0.91    16.14
1987     -2.96    -6.44     2.91    -5.35     4.67
1988      1.48     0.61     6.46    -4.47    -2.75
1989      1.27     1.42     6.11    -5.97    -0.33
1990     -1.22     6.57    -1.47    -2.46     1.32
1991      1.69     1.99     3.58    -2.73     6.44
1992     -6.07    -2.29    -2.54    -2.55     0.20
1993     -0.93     3.52    -6.59     1.78    -3.30
1994      1.15    -7.66     5.41    -3.86     2.36
1995     -5.40    -1.04    -6.02    -2.37     2.85
1996      8.91    -3.04     5.21     7.51    -5.75
1997     -0.61    -4.85     4.52    -4.69    -2.36
1998      6.92    -4.58     2.51    11.26    -1.78
1999     -2.27     2.32     0.12    -3.61    -8.25
2000      9.82    -3.47    15.42     2.78    -1.77
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.91    -0.94     8.46    -1.92    -1.32
2047     13.33    -2.84    14.88    10.52    -4.81
2048      1.05     1.17     1.60     2.42     1.93
2049      2.81   -14.14     8.55    -1.98     1.27
2050     19.87    -1.27    16.74    12.42     3.19
2051      0.16     8.02     0.19     0.94     5.33
2052      7.82    -5.86     6.15    -2.42    -2.97
2053      3.17    12.24     7.72     2.76     9.40
2054      8.16    19.19    14.65    -7.83    -1.62
2055     10.77    -2.45    11.72     4.84     7.86
2056      1.21    -6.68     5.22     5.00     2.12
2057     11.43    -2.32    11.74    11.54    -2.97
2058      3.28    -6.06     8.01    -6.06    -4.86
2059     30.97    -0.57    27.28    17.63    -9.20
2060      7.28    -1.17     4.13     6.98     4.22
2061     -0.33     6.46     1.38     0.27    -0.40
2062      3.90    12.74     4.69     7.80     2.73
2063      2.23    -0.18     2.12     0.55     4.67
2064     14.94   -11.31    12.48    18.62     3.26
2065      4.77    -0.27     6.23     5.78    -2.55
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      4.66    -6.43     9.02     3.84     9.46
2082     16.33    -8.39    10.79    18.97     1.20
2083      2.00    -3.26     5.49    -4.83     0.57
2084     15.58    -1.01    22.04    -8.65    -2.38
2085      3.28    -7.06    -1.09     4.37     1.91
2086      3.81    -3.10     2.85     5.20    -2.85
2087     19.16     9.36    14.12    19.86    -8.63
2088      6.88    -5.80     2.51    10.96    -0.01
2089     14.13    -5.05     4.57    16.79     5.57
2090     20.41   -10.45    -2.19    23.36    -4.42
2091      8.97    -3.53     4.65    11.53    -1.18
2092     11.76    -9.47    18.14    -1.77     6.60
2093     34.44    -5.42     4.17    38.18     2.30
2094     12.74    -3.44     4.74    16.29    10.47
2095     23.50     0.19     6.28    27.97     3.51
2096     13.45    -4.41     6.46    11.04    -2.49
2097      8.71     4.73    12.09     9.46    -4.82
2098      9.23    -1.50    10.11     5.93     0.14
2099     12.32    -2.82    18.45     2.56     0.79
2100     18.72    -5.39    12.41    12.70     6.40
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
