Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
        127.71    21.97    96.81   111.86    65.63
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961    -17.29     6.83   -19.03    -8.79    19.33
1962     -4.21     2.60   -32.79     2.51   -15.56
1963    -36.65   -10.30   -51.93   -25.70     9.78
1964     -9.44    19.37    -0.05    -6.10   -17.68
1965    -17.50     4.17    10.03   -33.10     6.89
1966     -1.73    -5.35    -7.90    -8.48     6.21
1967     -5.85     1.50     5.12     5.02   -18.53
1968    -22.44    -3.08   -13.68   -17.90   -18.74
1969    -12.12    -3.35   -34.78    -2.03    15.23
1970     -7.10    19.67    -4.18    -1.71   -10.96
1971     -7.07     3.38   -22.65    -8.24    24.76
1972     16.10    -7.58   -11.03    29.67    15.96
1973     18.20   -13.61   -10.28    34.03    -7.41
1974     -5.05    -0.90   -21.61    10.21    16.78
1975    -17.02     5.16    -0.20   -15.60   -17.25
1976     -6.29    -3.41   -21.96     9.28     9.08
1977      8.20     2.75    26.76   -33.63    -4.30
1978    -15.06    -6.16    10.64   -18.39   -12.91
1979     10.50     1.06    40.38   -16.40   -14.69
1980    -12.90    -9.54    13.31   -22.97     2.02
1981    -17.56    -5.72    -5.74    -4.33    -6.08
1982     -9.79   -10.13    15.65   -24.80    -4.57
1983    -22.80    -5.07   -32.64   -10.17   -10.45
1984     -5.34    19.22   -12.50    -1.00    -5.26
1985    -25.44     5.35   -43.73   -18.03     2.34
1986    -10.87    -1.55   -14.49    -7.44     0.82
1987     11.88    -6.86    14.72    19.06   -13.92
1988     13.13    14.06     0.09    20.47   -17.06
1989     11.11     3.82    33.73    12.26    11.61
1990     14.94     4.75    38.78     1.19    -7.55
1991     14.97    -4.97    26.59    22.25    21.69
1992     -6.05    -3.34   -13.67   -14.00    26.73
1993    -17.23    -1.93     8.21   -14.22    -7.52
1994    -15.92     4.96   -44.77    -2.50   -14.75
1995     59.11     5.06    33.69    64.23    -6.46
1996     57.58    -0.83    10.44    37.74     3.27
1997    -15.09    -1.59     4.19   -14.80    19.88
1998    -11.46    -3.44     1.85   -19.34    -0.16
1999     -7.67    -2.62   -19.57   -12.82     6.34
2000       NaN      NaN      NaN      NaN      NaN
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046    -22.20     2.58   -12.94    -6.69   -13.46
2047     11.33     0.71   -54.72    27.17    -9.46
2048    -18.19    -2.32   -24.74   -22.29    38.34
2049      3.35     0.14    29.12   -19.83    18.81
2050     -6.88    -3.48   -52.75   -11.48    46.27
2051     33.61     6.42    49.48    20.61   -17.80
2052     29.60     7.99    41.84     2.55   -11.77
2053      0.47    -8.26   -10.70    -9.37    -4.24
2054      2.79     4.97   -10.64     0.21     2.41
2055    -19.86    -1.68   -26.49    -8.67    20.28
2056     -1.07    19.24   -25.02    10.76     1.05
2057     -3.91    42.22   -38.18    10.32   -11.19
2058     27.79     0.08    52.54    -1.78     4.23
2059     -1.06    -4.98    25.32   -24.03    17.54
2060      6.51     6.30    21.95   -16.48   -10.02
2061     10.80    -2.62    24.50    -3.83    19.85
2062      4.68    -2.56     6.39    20.25     0.21
2063     -9.46    -0.97   -35.74     0.04     1.08
2064     -4.11    -2.93   -42.28    10.86    16.87
2065     18.48    -5.88     2.39    24.39     2.27
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
