Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     30.05     9.69    59.77    34.61    19.33
1962     35.69    40.17    55.07    19.41    27.58
1963      8.94     5.82    30.23    11.93    18.50
1964     32.11    19.37    49.64    15.47    20.27
1965     31.03    15.85    39.10    37.98    36.33
1966     25.99    24.66    33.26    27.28    45.39
1967     11.50    10.36    35.79    48.69    21.17
1968     55.45     8.98    88.96    15.93    15.77
1969     24.71     0.47    17.29    11.63    29.29
1970     43.48    19.67    47.61    33.69     3.84
1971      4.82    13.17    29.60     8.22    24.76
1972     16.10    19.71     4.93    29.67    18.36
1973     18.20     4.78    25.17    34.03    26.49
1974     17.91     5.18    10.00    34.22    20.79
1975     18.39     8.39    42.86    26.72    11.61
1976     65.08    23.47    54.60    59.07    13.35
1977      8.20    47.71    26.76    21.61    30.00
1978     16.54     7.98    22.38    15.35    40.21
1979     24.55     9.95    40.38    35.22    18.19
1980     43.08    24.34    48.36    47.08    39.75
1981     28.02     9.26    62.06    14.98    26.53
1982     17.44     6.88    16.41    27.85    22.11
1983     11.12    10.85    11.01    14.96    34.63
1984      6.91    19.22    20.81     0.72     7.93
1985      8.74     5.35    10.88    46.16    14.05
1986     13.00    13.79     3.52    19.22    50.42
1987     91.64    10.08   124.40    71.47    34.32
1988     13.13    31.53    30.36    20.47    16.54
1989     34.55     9.78    33.73    57.79    11.61
1990     40.54     9.50    38.78    47.95    29.68
1991     33.66    16.32    38.40    29.39    71.53
1992     79.05     6.22    89.94    35.63    26.73
1993     27.59    11.25    11.70    38.46    38.51
1994     33.65     4.96    22.46    70.60    16.96
1995     59.11     8.14    33.69    64.23    12.28
1996     61.15    12.78    72.66    52.66    13.35
1997     39.10    24.70    48.02    45.67    19.88
1998     19.61     6.78    53.87    15.80    12.60
1999     31.51     4.81    57.14    29.27    17.32
2000     58.81     6.07    21.67    65.75     4.59
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     37.35    15.41    19.16    39.03    22.07
2047     25.32     5.38    59.73    27.17    10.37
2048     53.85    10.29    24.16    94.36    38.34
2049     41.05    12.91    29.12    54.65    26.37
2050     51.49    17.19    45.46    25.53    46.27
2051     64.27    19.30    49.48    44.02    32.48
2052     38.93    18.95    41.84    44.85     8.70
2053     18.48    11.36    46.02    17.96    34.94
2054     19.79    37.45    29.87    13.71    24.89
2055     36.28    10.80    57.85    42.70    31.05
2056     38.82    19.24    24.71    35.76    27.78
2057     63.83    42.22    13.31    78.12    41.84
2058     85.85    13.22    52.54   127.04    23.10
2059    149.59    12.44    25.32   147.72    18.59
2060     20.65    10.50    32.46    15.96    53.37
2061     75.88     9.05    34.08   114.96    32.47
2062     71.79    29.04    30.76    84.11     9.90
2063    118.68     9.98   140.81    47.05    13.21
2064     32.73    12.30    38.21    36.93    43.41
2065     27.82     5.56    56.88    26.10    51.49
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
