Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     14.68    15.90    13.69    21.30    15.26
1962     14.20    16.24    18.72    18.53    12.19
1963     14.19    18.53    16.58    15.62    18.41
1964     16.23    19.68    20.00    22.66    18.21
1965     17.97    21.12    27.44    36.82    19.10
1966     19.18    23.27    26.34    27.09    16.57
1967     14.91    10.71    19.44    14.29    17.46
1968     15.22    13.63    14.54    15.65    18.34
1969     13.22    16.68    16.51    15.71    14.16
1970     12.28    16.38     9.62    18.41    14.83
1971     14.68    13.77    20.21    24.95    11.06
1972     11.89    14.82    26.12    15.67    13.00
1973     12.95    12.97    17.13    14.87    16.94
1974     11.16    12.63    10.32    10.29    13.69
1975     10.30     9.08    10.08    12.60     8.78
1976     14.48    11.96    12.97    17.60    14.17
1977     11.36    11.18    11.44     9.24    11.36
1978     10.64    11.72    10.51     9.14    11.96
1979     12.21    13.37    13.80    13.21    10.84
1980     11.76    14.13    10.05     9.95    10.51
1981      8.37     8.44     6.13     4.25    10.29
1982     11.28    10.79    12.35    13.01    14.15
1983     10.73    13.16    11.15     8.32    10.06
1984     10.02    10.32     8.01     7.58    10.07
1985      8.94     8.42     9.67     5.72    11.80
1986     11.34    14.28    10.25    12.68     9.79
1987      7.90     6.50     4.44     5.54    10.45
1988      9.03     8.73     7.74     2.77     5.96
1989      7.74     6.33     9.57     5.70     7.52
1990      5.79     5.69     3.92     4.45     7.23
1991      9.32     5.31     2.77     8.15     9.32
1992     12.03    11.10    15.15     9.13    11.40
1993      8.24    12.22     6.63     3.88     7.24
1994      6.77     5.68     6.93     4.06     8.60
1995      5.84     6.55     4.47     2.05     4.32
1996      8.67     6.09     6.58     5.76     5.63
1997      8.85     7.70     4.88     4.48     5.72
1998      7.40     4.49     6.01     5.45     4.61
1999      6.96     6.30     5.20     5.12     6.38
2000      7.35     4.38     1.82     2.68     6.61
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.20     0.61     0.53     0.11     4.47
2047      2.68     2.11     0.09     0.11     1.23
2048      1.99     0.64     0.07     0.18     1.46
2049      2.25     1.82     0.00     0.22     0.93
2050      2.59     0.68     0.11     0.00     3.13
2051      1.33     0.63     0.09     0.02     0.54
2052      1.20     0.58     0.00     0.00     1.37
2053      0.85     0.12     0.01     0.02     0.66
2054      1.64     0.54     0.13     0.00     0.86
2055      1.29     0.72     0.02     0.03     0.41
2056      0.84     0.22     0.01     0.00     0.71
2057      1.25     0.24     0.38     0.07     0.19
2058      1.61     0.32     0.01     0.13     0.12
2059      0.86     0.64     0.06     0.00     0.83
2060      1.45     0.95     0.15     0.05     0.77
2061      1.23     0.53     0.10     0.00     1.52
2062      1.19     0.15     0.01     0.01     0.49
2063      0.92     0.24     0.00     0.00     0.00
2064      0.54     0.00     0.10     0.01     1.04
2065      1.24     0.00     0.00     0.00     0.00
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
