Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.97    10.05     9.98    10.02     9.94
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      9.85    23.08     2.69     0.04     0.08
1962      2.53     0.15     0.33     0.03     0.95
1963      1.87     0.22     0.06     0.03     1.12
1964      1.12     1.15     0.22     0.00     0.00
1965      0.03     0.66     0.00     0.00     0.03
1966      2.03     2.77     0.49     0.00     0.08
1967      1.93     0.66     0.68    10.65    10.67
1968      4.74     3.27     2.07     0.00     0.13
1969     11.83    10.40    12.13     0.33     1.87
1970      0.15     0.95     0.00     0.00     0.00
1971      1.65     1.86     0.12    23.94    10.56
1972      8.45    12.82     4.60     0.21     0.56
1973      0.76     0.80     0.00     1.84     2.10
1974      9.27     3.35    11.11     0.00     0.74
1975      7.39     4.51     3.79     1.95     0.41
1976      6.27     2.24     4.09     0.15     0.97
1977      7.07     1.96     4.90    22.37     8.51
1978      4.50     0.26     1.23     1.61     3.72
1979      2.60     1.47     0.35     0.24     2.63
1980     17.61    33.33    15.60     4.21     5.88
1981     13.61    11.12     7.89    33.90    20.69
1982     18.62    32.36    25.65    11.70     5.07
1983      5.27     0.57     4.07     0.61     4.84
1984      7.38     3.12     3.40     3.72    12.20
1985     10.07    14.86     2.02     6.57     9.54
1986     10.70     3.48     9.60     0.00     0.77
1987      2.24     1.97     1.19     3.25     5.42
1988     12.78     5.32     9.21    31.66    30.69
1989     15.24    22.35    27.85     0.45     1.13
1990     14.01     1.64     3.94    44.30    59.17
1991     30.40    50.99    61.07    11.87     7.01
1992      5.35     3.44     2.77     0.86     5.14
1993     14.27     8.83    10.14    47.79    33.41
1994     20.47    18.87    41.93    14.10     8.29
1995      3.77     1.97     0.19     8.68    14.58
1996     13.19    17.81    13.44     0.98     1.20
1997      9.33     4.46     5.60     2.19    13.33
1998     18.89    20.45    19.92    14.73    25.43
1999      7.66    14.33     3.64     6.85     4.10
2000     18.44     5.95    10.55    75.37    56.26
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     54.42    60.18    78.31    94.60    64.54
2047     64.60    51.13    78.55    96.42    78.71
2048     66.01    74.36    86.82    99.54    73.56
2049     44.51    47.30    59.00    60.15    73.02
2050     76.89    74.67    88.80    99.39    84.39
2051     54.63    62.79    78.29    85.67    70.05
2052     67.18    53.04    73.34    97.66    85.67
2053     56.16    78.60    82.04    91.41    62.88
2054     56.96    40.71    78.74    98.97    73.28
2055     63.62    69.34    84.82    94.79    75.01
2056     74.30    71.85    89.93    99.92    81.53
2057     76.59    87.11    86.47    99.53    82.13
2058     87.77    88.03    99.39   100.00    88.83
2059     74.89    86.15    88.47    97.01    77.42
2060     78.28    54.97    89.48   100.00    88.07
2061     84.74    98.88    98.61   100.00    77.84
2062     68.98    63.13    87.84    95.06    75.55
2063     82.61    79.38    97.99   100.00    82.19
2064     60.05    75.91    85.61    80.07    74.03
2065     73.49    59.46    84.85    94.33    86.54
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     87.42    94.43    99.63    99.99    85.91
2082     90.42    79.88    98.14   100.00    94.03
2083     93.97    99.87    99.80    99.99    85.11
2084     78.67    78.21    98.27    99.47    78.75
2085     80.83    76.80    94.08    99.16    84.76
2086     86.36    85.91    99.45    99.95    84.76
2087     87.95    78.11    99.84   100.00    85.27
2088     87.99    75.78    99.34   100.00    91.19
2089     93.74    96.50    99.85   100.00    87.83
2090     88.14    76.09    99.95    99.97    87.63
2091     87.63    83.81    99.46    99.93    91.50
2092     87.80    91.50    99.69   100.00    86.67
2093     91.75    82.86    99.52   100.00    96.39
2094     95.16    96.36    99.81   100.00    93.13
2095     86.38    90.65    98.79    99.88    88.93
2096     92.13    88.46    99.96   100.00    92.17
2097     90.51    86.42   100.00   100.00    87.29
2098     95.35    97.75    99.99   100.00    90.00
2099     94.47    88.15    99.81   100.00    99.98
2100     96.29    94.91    99.96   100.00    96.45
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
