Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.01    10.01    10.00    10.03     9.96
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     19.12    18.46    33.56    30.61    16.59
1962     15.60    16.12    21.28    17.36    12.31
1963     10.44    17.40     4.09     6.18    24.65
1964     14.96    21.28     7.11    13.30    22.19
1965      4.03    11.93     6.38     1.69     9.24
1966     11.40    12.84     8.49    10.38     4.26
1967     18.02     7.89    10.00    31.98    11.18
1968     11.87    10.54    12.51     9.57    11.30
1969      8.96    14.39     5.71     7.99    11.53
1970      9.77    21.99    15.67     7.88    10.77
1971     18.49    10.85    15.77    27.49    18.30
1972     13.94    10.03     7.01    19.27    13.95
1973      7.54    12.96     4.11     5.55     7.20
1974     14.61    15.48    13.86    23.46    13.12
1975      4.55     7.61     7.75     2.83     4.43
1976      5.90     2.14     1.76     2.59     3.79
1977     14.06     6.89    11.97    22.29    10.52
1978     13.92    16.25    13.00    11.55    12.96
1979     12.83     6.71     9.09    13.04     2.63
1980     22.92    11.62    30.86    35.51    17.55
1981      6.03    22.74     3.38     4.64    17.57
1982      6.37    16.39     4.96     4.52     8.61
1983      9.06     4.15     7.91     6.79    17.43
1984      9.39     5.43    11.86     5.07     9.17
1985      9.04     7.10     5.48     7.43     9.55
1986     11.39     6.05     9.43     7.01    16.00
1987      9.41     3.49     0.59    14.24     8.91
1988      9.79    21.19    13.52     6.95    15.99
1989      5.51     2.22     1.81     2.28     4.90
1990     17.31    16.31    29.21    19.00    21.95
1991     12.47    14.54    12.91    12.75    10.13
1992     10.28    10.67     7.27     6.61     9.83
1993      3.76     7.27     1.84     1.74     1.95
1994      3.17     5.24     2.98     0.97     0.84
1995      8.86     4.44     7.26     7.98     5.03
1996      6.46     2.24    12.71     2.22     8.30
1997     12.39     7.39    16.22    13.57     9.42
1998      8.14    14.18    19.69     3.71     2.38
1999      2.97     6.73     0.00     2.11     5.66
2000      4.27     3.27     6.00     1.92     5.44
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.60     1.44     2.60     0.11     1.52
2047      2.94     1.66     3.71     1.22     1.49
2048      5.49     0.69     3.83     3.21    14.18
2049      0.39     2.98     0.32     0.06     0.01
2050      0.34     0.27     0.47     0.00     0.44
2051      1.15     4.40     0.46     0.00     1.35
2052      0.90     0.97     3.24     0.00     0.15
