Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     21.19    27.22    33.56    30.61    28.38
1962     19.79    16.31    29.97    28.32    33.14
1963     21.66    24.61    27.66    29.53    24.65
1964     23.79    21.28    39.10    44.80    33.23
1965     31.73    30.88    32.52    46.97    49.70
1966     26.09    37.04    45.70    38.79    32.77
1967     18.31    18.57    39.68    31.98    21.49
1968     23.93    24.93    27.59    46.52    30.11
1969     43.65    25.68    54.65    68.44    52.79
1970     26.09    24.02    31.82    54.73    47.87
1971     20.91    37.21    25.99    32.80    36.04
1972     18.26    26.26    27.26    19.33    20.78
1973     21.55    23.23    27.36    48.16    22.06
1974     16.38    18.63    17.92    23.46    23.75
1975     15.41    25.66    17.75    19.77    20.56
1976     21.69    19.65    27.57    29.74    26.40
1977     19.24    27.06    26.86    22.29    19.91
1978     13.92    16.25    26.72    16.08    12.96
1979     15.35    21.72    25.44    24.58    28.28
1980     22.92    25.44    30.86    35.51    18.15
1981     16.98    22.74    16.09    26.04    17.57
1982     20.00    16.39    21.63    27.71    21.91
1983     17.99    26.16    23.79    25.21    19.63
1984     13.09    17.82    16.06    17.10    12.32
1985     21.62    18.32    24.76    31.00    23.47
1986     16.26    22.26    18.16    22.05    23.16
1987     17.19    34.27    13.89    28.22    16.56
1988     11.84    21.19    15.45    10.06    15.99
1989     12.68    14.19    20.96    15.90    16.84
1990     17.31    18.22    29.21    19.00    21.95
1991     18.32    14.54    20.44    23.11    30.62
1992     19.44    20.57    16.90    30.30    23.41
1993     12.57    19.68    15.58    15.93    16.29
1994     10.94    32.67    12.19    12.38    12.95
1995     11.15    11.75    18.74     8.67    10.89
1996     13.54    12.59    12.71    15.59    15.19
1997     13.13    26.28    16.22    13.57     9.42
1998     14.43    14.18    19.69    18.04    10.62
1999     15.08    11.08    17.68    29.55    13.91
2000     16.76    17.10     8.23    21.71    15.17
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.60     2.30     4.25     2.82     3.63
2047      4.66     3.73     6.22     3.94     2.33
2048      5.49     3.83     3.83     3.21    14.18
2049      4.49     2.98     2.97     5.88     2.46
2050      3.42     3.27     6.80     2.00     2.02
2051      3.09     4.40     2.28     3.15     2.83
2052      2.72     5.46     5.32     1.60     2.72
2053      4.67     4.10     5.49     4.53     3.27
2054      5.95     6.80    15.87     1.96     2.70
2055      2.34     1.75     1.73     1.17     4.57
2056      2.23     2.50     6.70     0.57     3.20
2057      6.04     1.93     3.67     5.29     3.99
2058      4.24     1.86     8.13     1.62     6.03
2059      3.60     1.62     6.41     1.92     2.19
2060      3.16     3.94     2.65     1.11     2.68
2061      1.96     1.57     1.79     0.85     2.19
2062      1.63     2.20     4.87     1.98     3.67
2063      1.69     0.62     6.34     0.85     2.18
2064      4.41     1.02     3.84     5.69     2.31
2065      2.77     1.11     6.34     1.89     1.82
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
