Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        107.2    26.1    46.1   193.0   107.9
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960  -13.13   -6.84  -23.69  -10.97   -9.64
 1961  -13.57  -11.90  -25.46  -13.89   -2.39
 1962   18.92  -12.04   -8.44   46.15   30.61
 1963  -28.11  -10.23  -19.94  -50.54  -18.29
 1964   -8.17   -2.80  -20.80   -1.21   -8.38
 1965    0.66   -8.05   -4.34  -13.19   29.92
 1966   -7.07   -7.66   -5.60  -16.15    3.94
 1967   -2.42   17.26  -12.63   -1.69   -6.32
 1968  -12.40  -10.22  -26.19  -31.27   25.08
 1969   -4.38    1.30   -8.81   -0.82   -8.48
 1970   -4.69   12.28   27.51  -29.16  -15.60
 1971    9.33   12.81    5.59   11.99    7.22
 1972   -8.00   18.13  -19.05   -8.48  -13.73
 1973   -4.00    1.60  -19.57   -3.64    7.35
 1974  -29.64   -8.13  -31.53  -46.55  -19.55
 1975   -3.84  -16.52   -6.29  -17.19   24.85
 1976   -0.30    0.61  -25.53   20.86   -3.88
 1977    0.70    0.82   -3.50   -2.55    9.16
 1978   -4.81   -5.52  -12.05    7.96  -14.11
 1979    6.87   -6.28  -12.57    9.91   31.03
 1980    1.42   -0.80   -2.92    8.77   -2.55
 1981   -9.18   -5.24  -27.89   -3.21   -1.07
 1982    1.81   -1.82   14.32   13.02  -23.20
 1983   25.88    1.12   40.59   55.61  -11.98
 1984    0.24  -14.04   -0.19   13.07   -6.95
 1985   -5.99    0.01  -16.72  -23.14   23.59
 1986    0.89   12.88   -5.87   13.76  -17.51
 1987    7.27   -7.21   -8.32   13.91   23.66
 1988   10.18   -0.84   37.94  -10.65   17.54
 1989   20.00    9.97   23.15   42.34   -6.25
 1990   -2.41   21.53    8.15   -3.07  -28.05
 1991   11.27  -16.54   -6.18   18.72   37.35
 1992  -11.19    4.53    7.11  -31.57  -12.79
 1993    0.29  -15.07  -18.15   -5.44   36.62
 1994    3.80    8.70  -22.82   13.54   14.16
 1995   -3.65   -6.80   -3.56  -15.25   13.82
 1996  -12.69    0.95   -1.66  -19.96  -23.11
 1997    6.95   -2.72   42.12    6.14  -20.70
 1998    9.33    0.31   32.04   11.48  -10.24
 1999  -15.84    1.27    5.84  -41.23  -15.08
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000  -23.74   13.78   -7.95  -64.62  -10.03
 2001   11.01    6.85    0.24   19.47   13.27
 2002   20.30  -12.68    1.70   55.66   13.74
 2003   12.73   -7.69   17.02   23.37    7.86
 2004   -8.33   13.95    6.75  -34.35   -3.55
 2005  -17.73  -13.32  -18.38  -14.88  -23.80
 2006   -0.19   -0.78   28.38   -9.44  -16.03
 2007   16.82    5.12   21.14   16.50   20.74
 2008    1.52   -1.97    2.11   -9.13   17.44
 2009  -20.79    9.98  -14.77  -56.16   -0.16
 2010   -9.94    8.46  -32.04   -9.41   -0.81
 2011    0.65  -20.44   -0.43   -3.31   21.07
 2012  -27.59    2.47  -24.37  -45.95  -26.36
 2013   -1.53    4.57  -20.99    6.56    3.11
 2014    2.11   -3.83  -14.79   19.32    0.02
 2015    8.05    3.78   -5.05   21.69    5.79
 2016    8.89   19.73   -7.35   26.84   -6.03
 2017   13.58   17.82   -5.62   29.55    8.67
 2018    5.80   -6.45   -3.70    5.75   23.51
 2019    9.15    4.20  -14.68   57.80  -28.59
 2020    1.55  -13.58  -14.49   25.41   -4.14
 2021    3.42   -2.19   -0.34   -4.06   20.89
 2022   -1.14  -12.03   -5.04    0.19    8.22
 2023    0.75   -8.63  -13.22   16.80   -0.45
 2024  -20.04  -13.75  -24.22  -32.00   -4.12
 2025  -11.06    0.48  -14.14   -9.33  -17.97
 2026   41.75    3.36   16.19   85.05   35.17
 2027   22.01    2.51    7.68   33.99   33.35
 2028    3.86   -7.46   11.49   -1.15   10.46
 2029   -9.27    0.69    1.65  -32.80    4.53
 2030   23.74   -1.79    0.66   55.56   21.39
 2031    4.09   -2.15  -11.14   21.99   -0.37
 2032  -14.34   -4.88  -11.26  -35.88    5.02
 2033  -15.95   -2.22  -30.71  -20.77   -3.89
 2034   14.18  -12.52    5.67   28.13   21.87
 2035   22.64    7.05   45.58   24.65    7.40
 2036   17.99    2.38    9.73   37.03   11.29
 2037   -0.99   -7.14   -2.47   11.80  -12.44
 2038    8.82   10.76   -4.92   21.13    4.85
 2039   -4.62    3.19  -16.54  -17.33   19.03
 2040   19.72    7.01   37.24   18.32   12.56
 2041    6.35   16.96    3.74    6.15    2.16
 2042    0.74   -8.57   -9.61    3.38   13.76
 2043   14.24  -16.88   -3.69   21.96   42.61
 2044    7.03    2.95   22.86   -1.94    5.89
 2045   20.75    1.71    0.22   36.90   32.46
 2046   13.35    0.62   36.33   20.60  -10.81
 2047    8.79  -17.78    7.64   43.69  -18.89
 2048    3.90  -13.52  -13.91   34.70   -7.73
 2049    9.29  -18.06  -17.76   33.56   22.22
 2050    3.64   -6.70   -2.82   16.70   -0.40
 2051   14.32  -17.29    0.41   65.22  -18.56
 2052   -8.84   -5.16  -18.74   -6.81   -4.09
 2053   24.01    5.26   21.72   31.30   29.10
 2054    0.42   10.70   -6.37   19.68  -25.33
 2055   15.17    0.01   -3.24   35.56   16.49
 2056    5.01   15.81   -2.98    6.33    4.02
 2057   12.13   12.48   19.12  -14.23   40.05
 2058    9.56   -2.01    8.71   13.25   13.21
 2059  -11.55    4.59    8.99  -19.45  -32.32
 2060  -15.32  -13.64  -27.10  -43.52   32.94
 2061    3.64   -7.86   13.22    3.31    2.15
 2062   15.79   -1.96   -6.21   50.33    3.57
 2063  -22.17  -14.83  -29.41  -25.54  -15.32
 2064    7.70   -7.91    1.79   22.31    4.55
 2065   24.07   -4.25   23.77   54.81    2.27
 2066   16.61   13.43   22.78   36.69  -14.22
 2067   15.42   -4.95    0.07   39.13   12.75
 2068   24.60   -0.23   -6.02   69.18   12.33
 2069    6.83   -9.21    0.22   21.28    4.88
 2070   -3.49  -13.26  -23.18   22.19  -11.53
 2071   -1.20  -15.75  -24.55   22.38    0.40
