Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        133.5    64.3    98.5   192.9   135.5
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960    2.70    1.73   10.14   -3.12    3.69
 1961    9.68    1.23   23.65    6.93    5.02
 1962    0.64   11.63   17.49   -5.27  -15.66
 1963  -10.31    7.68  -28.07  -10.96   -3.68
 1964   -2.69  -14.32    3.24    5.15  -11.33
 1965   -5.89   -6.88  -12.38   -2.46   -3.33
 1966    1.51    7.85   21.59  -11.34   -5.66
 1967    0.19    7.75  -11.56    9.17   -5.07
 1968   -5.57    8.31  -11.11   -6.48   -8.07
 1969    1.86  -18.52    1.49    2.18   15.41
 1970    0.45   -8.30   -1.10    6.06    0.34
 1971   -8.60  -17.84   -6.39  -10.70   -1.83
 1972   -4.46   -7.28    1.70   -4.53   -8.65
 1973    8.72   -3.01    7.89   19.34    3.20
 1974   12.88   27.64    3.47   18.36    5.16
 1975   -2.36    2.39    0.76    0.93  -13.04
 1976    2.75   11.27  -11.22    9.84    1.60
 1977   -7.16   -4.39   -3.57  -14.79   -2.43
 1978    7.25  -11.26   24.46    8.99    0.05
 1979   -6.23   -4.34    2.79  -11.42   -9.60
 1980  -19.24  -27.81  -23.42  -12.81  -17.94
 1981    1.72  -18.22    3.16   18.21   -8.42
 1982   -4.21    2.92   -5.03   -6.26   -5.40
 1983   -1.11    0.39   10.07   -1.19  -13.17
 1984   -3.70   -0.32   -4.11   -0.54   -9.75
 1985   -0.21   17.88   -6.87   -8.04    4.85
 1986    1.66   -2.11   -1.90    3.85    4.80
 1987   -8.65    8.49    4.25  -19.09  -19.05
 1988   14.10   -1.32   26.25   17.97    7.07
 1989    6.59   -5.72   10.82    1.84   16.89
 1990   15.11   11.88   14.22   11.86   22.48
 1991   -0.81  -24.82    0.61   20.05  -14.04
 1992   -2.58   17.37  -25.66   -4.66    9.96
 1993    0.97    2.05   11.52  -29.08   29.77
 1994   -1.45   10.01   -5.10    4.30  -13.11
 1995    7.89    4.46   -7.58   11.88   20.33
 1996    2.92   -9.74   11.75    1.91    3.89
 1997   -1.07    4.92  -10.97   -9.02   15.44
 1998   -1.52   25.50   -6.83   -6.43   -7.68
 1999   -9.64   -0.69  -13.97  -16.82   -1.70
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000   -1.30   -1.97    2.64    3.09  -10.65
 2001  -17.66  -15.61   -8.77  -27.35  -15.00
 2002   -4.23  -17.84   -3.99  -11.58   14.41
 2003   -8.13  -11.76   -0.09  -11.33   -9.50
 2004   -3.54  -16.87    6.07   -2.12   -6.13
 2005   11.11    9.79   19.76    3.00   14.14
 2006  -11.78  -10.83  -10.74  -18.03   -5.13
 2007   -8.46   -3.96  -20.54  -17.62   12.84
 2008    0.68  -10.09    8.59   -4.64    7.06
 2009   -3.87    2.57  -13.66   -7.81    6.88
 2010   -8.79    1.41    0.66  -20.16   -9.86
 2011   -6.95   -1.91   -9.24  -22.95   13.31
 2012   -0.63   -0.99   -0.23  -14.47   17.64
 2013    5.78   -4.71   10.44    4.50    9.84
 2014   -7.45  -13.37   -3.66  -23.62   14.28
 2015   -4.28    9.53   -4.22   -4.47  -13.30
 2016  -13.94  -30.74   -9.07   -9.97  -12.89
 2017    6.14  -11.68   29.07   -0.02    3.33
 2018    0.67  -20.59    2.37   13.60   -4.10
 2019   -3.61  -20.34   -2.71    0.91    0.63
 2020   -4.23  -14.38   11.55  -14.00   -0.22
 2021    2.49  -19.26   14.24    7.08   -0.88
 2022   -8.45   -5.08  -18.08   -7.52   -2.30
 2023   -7.09   -9.43   -9.03  -17.78   10.67
 2024    7.29    3.88    9.10    0.20   17.22
 2025  -13.04   -4.39  -26.79  -11.65   -6.93
 2026   -6.08    5.49  -19.61   -4.36   -2.55
 2027  -12.19    0.17   -6.48  -24.61   -9.57
 2028    0.46  -22.60   -3.67   12.32    4.15
 2029  -15.64  -11.21   -9.53  -21.93  -16.32
 2030  -12.43  -14.54    6.71  -22.70  -16.48
 2031  -12.38   -6.35  -31.56   -4.82   -7.29
 2032   -0.91   -4.98   -2.71  -15.04   22.43
 2033   -3.15   -8.52   -0.57   -3.56   -1.61
 2034   -6.65    0.88  -10.59   -5.61   -9.13
 2035    8.39  -10.64    7.94   17.05    9.99
 2036  -10.93  -24.78    9.96  -19.82  -10.73
 2037    0.97  -35.88    2.43   13.64    7.19
 2038   -6.49    3.91    6.27  -18.61  -10.00
 2039   -9.20  -16.88    4.64  -15.92   -8.95
 2040    0.09   -3.45   16.38   -5.09   -6.92
 2041   -5.30   13.58  -24.41   -0.73   -4.89
 2042   -7.83  -17.82   -4.11  -18.32    9.08
 2043  -14.62  -21.61   -8.45  -16.87  -13.11
 2044  -11.05   -4.99  -23.01  -13.13   -0.35
 2045    1.55  -16.39   10.54    4.17    1.04
 2046    1.02  -32.76   -2.85   15.17    8.56
 2047  -17.01  -17.22  -20.25  -16.66  -14.11
 2048   -8.85  -16.03   -8.13   -3.26  -12.23
 2049   -0.96   -6.76  -23.36   10.72    9.74
 2050   -3.76  -22.05    0.13   -5.43    6.76
 2051    8.36    1.20   13.12    7.48    9.55
 2052  -16.96  -22.21  -13.56  -25.84   -5.02
 2053  -13.57  -32.36  -21.55   -9.40    1.39
 2054    3.01    5.25    3.35    8.67   -6.38
 2055    1.97    4.85    1.93    1.70    0.47
 2056   -1.28  -18.58    3.43   -1.59    5.95
 2057    1.62   -2.29   -3.71   11.32   -3.38
 2058    8.81  -18.58   17.06   18.53    5.85
 2059   -3.08    2.28  -14.09   -2.13    3.09
 2060    5.16    0.77   22.52   -1.56   -0.30
 2061   -1.26  -14.97   -2.07   10.40   -6.85
 2062   11.04    1.44   -4.69   12.58   31.10
 2063    6.64   -9.02    5.69    0.17   26.65
 2064    5.77    6.89   -1.78   16.14   -1.27
 2065    6.80    0.00    3.03   24.05   -7.90
 2066    5.23   13.32    0.18    0.93   10.65
 2067    9.53    3.66    5.23   14.94   10.52
 2068   11.54   18.91   10.11   -1.81   25.87
 2069    8.07   -9.82   20.27    8.03    7.85
 2070    4.78   -1.32   -0.54   -2.85   24.33
 2071   -8.17  -15.77  -20.92    4.63   -7.42
 2072   14.12   -1.61   16.46   18.91   15.86
 2073   17.60    5.00   22.78    2.30   41.22
 2074    6.50    0.51    6.83   12.85    1.71
 2075   -8.01    0.78   -4.94  -17.78   -3.92
 2076    3.15   -3.31   -1.25   15.36   -4.42
 2077    1.69   -2.46   -6.82    2.06   12.47
 2078   10.77   12.19   -0.78   20.17    8.86
 2079   16.21    6.54   15.67   17.38   21.63
 2080   14.56   26.72    9.80    4.04   25.23
 2081    9.79   20.45   -7.24   10.57   18.68
 2082   15.63    2.53   14.68   17.34   23.04
 2083    8.93   -9.72   12.43   12.83   12.67
 2084   10.86   -3.79   10.37   10.45   21.69
 2085    1.61   -3.76    5.38    1.60    1.45
 2086   11.62   -9.80   15.92   15.08   16.98
 2087   12.31    8.85   -5.04   31.74    6.07
 2088   13.16   10.83    4.23   24.01    9.19
 2089   -2.80   15.06  -17.08   -9.25    8.17
 2090    9.82    2.20    9.10   20.70    1.13
 2091    3.43    6.84  -13.79    5.70   15.35
 2092   13.90   -0.65   11.53   24.27   12.14
 2093    4.48   22.44  -16.78   12.97    2.43
 2094    6.30    0.73    9.55   10.14    1.62
 2095   11.55   21.63   13.61    7.24    8.51
 2096   15.83    0.81   29.61   17.42    9.94
 2097    8.69    6.86   13.85   -3.59   21.13
 2098    8.59   23.65    9.61   -1.06   10.40
 2099   15.89   11.05   21.50   20.21    7.75
 2100     NaN     NaN     NaN     NaN     NaN
Projections under SRES A1B scenario
 2000  -13.35    0.87  -26.01  -13.48  -10.01
 2001   -8.24   -1.13    3.32  -21.87   -6.37
 2002   -7.23    0.23  -14.25   -9.15   -2.63
 2003  -11.25  -14.64   -0.54  -24.22   -2.40
 2004    0.76   -6.13    8.75   -3.37    2.89
 2005   -1.32   -4.76   -4.48   13.85  -16.08
 2006   -5.66  -14.32   -7.46    0.89   -6.83
 2007  -15.74  -11.15  -37.72  -17.23    5.16
 2008    4.70   -1.49   10.16   12.63   -7.20
 2009   -7.40   27.90  -24.92  -23.65    8.24
 2010   -1.57  -13.19   -3.61    8.74   -5.51
 2011  -17.55  -13.15   -4.27  -26.16  -22.30
 2012   -6.39    1.77   -9.09   -2.65  -14.11
 2013    0.85    0.16  -19.10   11.12    7.57
 2014   -4.26    6.91  -12.23  -13.33    8.37
 2015  -15.88  -21.16  -33.81  -22.53   14.45
 2016   -9.71  -20.16    3.59  -11.71  -13.40
 2017    4.19    5.48   12.38    0.28    0.37
 2018   -9.48  -13.78   -4.74   -6.85  -14.86
 2019  -14.72   -9.90  -17.54  -20.47   -7.43
 2020  -24.00   -9.83  -43.41  -26.91  -10.15
 2021  -15.60  -11.68  -16.48  -18.03  -14.07
 2022  -14.79  -12.85  -20.32  -16.28   -8.57
 2023   -3.51  -23.38   -5.56   -1.96    9.70
 2024    0.94  -15.65  -10.56   13.26    7.07
 2025  -11.24  -20.66   -3.09  -13.29  -10.37
 2026   -1.47   -6.14    5.19   -4.52   -0.93
 2027   -8.36   -5.76    3.85  -16.24  -11.77
 2028    0.80  -18.87   -6.52   14.12    3.46
 2029   -4.58  -33.27   14.50   -1.81   -8.23
 2030   -9.77   -3.88  -20.30  -21.36   12.30
 2031   -3.74  -17.05    8.81   -1.04  -11.01
 2032    6.53   23.71  -13.14    9.76   10.45
 2033  -12.10    1.00  -14.49  -10.66  -20.37
 2034    3.29    9.41  -12.31    4.94   12.61
 2035   -4.79  -24.86   16.53  -10.20   -5.51
 2036    8.08   -7.39   11.84   12.77    8.37
 2037    2.73   -3.35   -4.83   11.19    3.05
 2038   -0.91  -12.23    0.82    3.01   -0.31
 2039   -2.62  -22.31    1.53    0.07    2.77
 2040  -10.29  -23.91   -8.09  -21.98   12.16
 2041   -2.20   -0.62    3.38  -18.97   13.54
 2042  -16.66  -17.35  -16.40  -27.46   -2.05
 2043   -2.70   -6.91  -19.54    9.32    0.93
 2044    1.46   13.88  -14.23   12.09   -5.31
 2045   -3.93    1.31   14.72  -18.28   -6.93
 2046    8.31    7.22   -3.46   18.65    7.01
 2047   10.15   15.72   19.10    7.98    0.36
 2048    1.29   12.07  -13.41    6.24    2.21
 2049   -5.33  -20.82   -0.04  -13.06   10.00
 2050    6.42    8.62    6.89    8.65    1.51
 2051   12.81   -3.19   11.28   13.81   23.67
 2052    9.33   -4.21   10.36   21.30    1.37
 2053    5.80   24.36    9.22   -6.55    6.47
 2054   -3.19    5.55   -1.91  -23.07   16.22
 2055    6.83   17.56   11.13    5.87   -3.36
 2056   12.01    3.29   11.55    9.74   21.30
 2057    7.61   -8.19   19.44   14.69   -3.14
 2058   -1.54   -2.52   -7.62  -12.93   20.37
 2059   -2.35   19.00   -8.19  -15.92    7.36
 2060    8.32    6.61   -9.30   27.63    1.32
 2061    9.61    5.04   -2.19   28.07   -0.16
 2062    5.45   21.47   -1.52   -6.89   18.21
 2063   13.25    9.90   17.18   10.37   15.37
 2064  -12.26   -8.55  -16.27  -19.43   -1.18
 2065   -2.65    1.94   -4.30   -9.64    5.26
 2066   13.30    2.64    4.07   18.66   22.48
 2067    5.81   17.43    6.43    6.36   -3.28
 2068   13.74   -1.57   19.72    7.06   26.89
 2069   13.47   -0.55   10.84   29.70    3.83
 2070   13.56    5.43    9.86   20.08   13.99
 2071    6.08   13.41    4.40   12.39   -5.56
 2072    6.42    7.67   12.05   -2.14   11.36
 2073   20.64   21.46   20.31   21.05   19.89
 2074   14.68    0.30   15.51   33.42   -1.56
 2075   15.58   19.84    7.16   12.35   25.45
 2076   14.45   10.59   16.20   15.27   14.20
 2077   -3.18    7.93   -7.78   -1.15   -8.71
 2078   15.68   24.27   12.31   17.35   11.11
 2079   20.40   17.51   21.48   28.15   10.93
 2080   10.42   14.90    7.38   10.26   10.70
 2081    5.63  -10.52    4.30   10.64   11.05
 2082   15.05   25.62   13.98   10.28   15.41
 2083    1.19   -5.39  -14.38   13.07    5.34
 2084   12.78   15.82    2.71   18.72   12.90
 2085   20.35   50.76   14.66   10.70   18.62
 2086   13.23   16.83   18.75    4.04   17.54
 2087   15.83   -5.58   16.03   20.18   24.11
 2088   12.90   10.99    1.27   19.06   17.61
 2089   16.04    2.17   13.73   27.94   11.73
 2090   18.41    0.16    6.77   31.93   24.17
 2091    5.30    3.20  -10.59   16.19    8.08
 2092   -2.67  -11.48  -15.85   -6.35   21.29
 2093   15.45   -5.29   29.35   20.15    9.12
 2094   13.70   38.17    7.07    8.00   11.63
 2095    3.80   -4.80   12.60   -7.38   15.66
 2096   13.45    9.59   13.33   10.35   20.25
 2097   21.16   13.92    7.02   37.70   18.08
 2098   13.46   11.85    7.37   12.72   21.59
 2099    3.38   -2.53   -0.45   14.45   -3.62
 2100     NaN     NaN     NaN     NaN     NaN
Projections under SRES B1 scenario
 2000   -4.44  -12.74   19.60  -21.66    0.03
 2001   -5.92   -5.07  -25.21    3.96   -0.35
 2002    4.90    9.09   -6.42    8.64    8.46
 2003  -12.07  -24.83   -8.82  -14.72   -3.27
 2004    1.39    3.13   -7.14   11.03   -4.11
 2005    1.28   -2.14   13.29   -0.36   -6.27
 2006   -4.22  -20.53   -0.00   -1.83   -0.74
 2007   -5.42   -1.17   -3.49  -12.03   -1.35
 2008  -12.39    4.66  -18.26  -15.32  -13.99
 2009    3.47    3.56  -13.68   10.37   11.37
 2010  -17.35  -22.05  -28.32  -19.58   -0.26
 2011    3.26   17.06    5.01   -9.56    9.41
 2012  -16.13  -13.02  -37.22   -1.16  -17.09
 2013    5.20   15.85   -1.72   16.82  -10.49
 2014   -6.72   -8.94   -5.21  -10.22   -2.09
 2015  -10.72   -7.46  -10.99  -16.53   -4.86
 2016    6.76   -2.20   17.77    4.99    4.09
 2017  -17.56  -10.21  -26.97  -25.40   -2.59
 2018   -6.20   14.02   -3.31  -17.91   -6.98
 2019   11.13    8.96    3.62   10.38   21.10
 2020    5.70   -7.10    4.25   16.20    1.67
 2021    1.58  -28.61   19.27   12.63  -10.71
 2022   -4.03  -17.02    6.61   -1.68   -9.14
 2023  -12.59  -10.07   -8.22  -15.34  -14.99
 2024   -5.37   -6.28   -8.70    1.23  -10.24
 2025    8.17   10.81   10.99   15.22   -5.79
 2026  -13.02  -25.21  -14.34   -9.16   -8.71
 2027   -1.01   -2.36   18.99   -8.34  -10.35
 2028    5.83   -4.10   12.31    2.80   10.01
 2029   -3.05  -17.64   -0.73    3.66   -4.61
 2030  -15.07  -16.18  -21.41  -18.32   -3.66
 2031   -7.01  -12.10   -5.98    6.42  -22.56
 2032   10.05    6.58   18.29   12.90    0.33
 2033    4.72   -8.62   18.51   11.14   -8.75
 2034   -1.75    0.01    0.97   -3.06   -3.89
 2035    1.60    2.63   -5.26    9.68   -3.01
 2036    4.34   -4.37    3.92    2.35   13.22
 2037  -12.36  -15.14   -6.75  -15.18  -12.35
 2038    0.83  -19.18    7.84    6.34   -0.17
 2039   -0.88  -13.60   12.71  -11.76    8.52
 2040    0.10  -12.15   14.58    2.10   -8.89
 2041   -8.30  -15.24    0.22  -19.47    2.71
 2042   -1.79   -5.13  -10.93   -2.65   10.73
