Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual      JF     MAM    JJAS     OND
        158.0    45.4   114.1   276.3   119.3
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -1.36  -14.09   18.75   -3.82   -9.71
 1961    1.56    5.70   12.08    5.98  -17.60
 1962   -2.22  -12.41  -24.97   23.57   -7.07
 1963    9.54    2.16   18.35   35.29  -28.70
 1964    2.96   -5.26    5.64   13.40   -8.16
 1965   15.94    8.11   10.70   30.56    6.91
 1966   -5.66  -11.95  -33.54   -6.13   27.04
 1967  -31.16  -15.71  -29.27  -48.88  -19.70
 1968    6.39   -5.50   -2.35   11.31   16.50
 1969    5.86  -24.73    4.46   38.26  -15.53
 1970    3.90   13.58    7.04    4.49   -6.48
 1971    8.79   30.01   20.08   -4.63    1.23
 1972   -4.48   -7.95  -15.04  -34.68   48.64
 1973    2.32   -8.33   50.32    1.60  -37.63
 1974    5.60    5.48   16.46    5.81   -5.45
 1975   -9.54   -9.14   -5.05  -15.62   -6.18
 1976   -8.57    3.74  -55.58    5.38   11.64
 1977  -17.82  -26.31  -15.99  -37.50   12.26
 1978  -29.65   -5.49  -53.40  -12.57  -44.78
 1979  -28.66   -1.38  -49.32  -44.84   -4.63
 1980  -24.51   -5.11  -11.06  -38.57  -32.17
 1981    0.32   -2.85  -20.97   19.97   -2.46
 1982   -9.05  -14.59  -42.11   10.13    2.11
 1983   -9.13    0.84   38.45  -30.31  -35.12
 1984   26.36    3.59   70.13   27.74   -4.08
 1985   13.14    8.02  -26.08   26.43   38.07
 1986   15.72   32.64  -22.45   19.20   37.96
 1987  -12.20   -1.26    4.45  -14.84  -32.63
 1988    6.86   -1.25  -20.33   33.96    3.31
 1989    1.92   19.39  -21.52    9.59    3.49
 1990    2.29   -0.83   -1.34    3.35    6.59
 1991   10.39   -5.20   22.74    7.08   12.84
 1992   -5.57  -12.61   18.75    7.48  -42.59
 1993   -2.56   -3.08   13.01  -11.92   -5.31
 1994   21.61   -3.60   50.02   25.24    5.17
 1995   27.39    4.27   -0.45   49.87   40.67
 1996    2.00   -5.85   17.72   -3.78   -0.79
 1997   -7.27   20.87   23.50  -44.10   -7.71
 1998   18.09   -4.00   -6.55   37.05   32.18
 1999    2.33  -23.59   14.56   -1.02   11.83
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    5.95   11.43   16.54   -5.45    6.92
 2001  -15.13   18.30  -33.38   -2.93  -35.45
 2002   11.04    4.87   33.00   13.37   -9.90
 2003   20.88   -8.18   51.69   33.16   -6.91
 2004    9.30   17.41    8.29   38.50  -34.04
 2005   14.49  -16.90   -8.71   35.79   30.22
 2006    2.36   39.56    9.17  -21.03    1.93
 2007   10.68    0.57   27.62   14.63   -4.76
 2008    7.31   34.74  -10.13   15.19   -4.04
 2009   -4.18   -3.29   12.05   17.24  -49.58
 2010   -4.26   13.37   20.47   -8.51  -35.07
 2011    3.29    2.14    0.75   -8.77   22.69
 2012   17.45   32.84   22.84   29.96  -14.89
 2013    1.44  -13.19   -3.34    3.22   13.58
 2014    3.38    7.60   14.06   -6.63    3.23
 2015    2.89   16.96  -17.96   30.85  -22.92
 2016    2.99    3.47  -17.59   19.17    1.68
 2017  -13.84  -12.23  -42.10  -22.15   24.42
 2018    8.63    8.02    6.82   12.25    6.04
 2019   18.07   34.27   36.41   -2.64   16.53
 2020   22.45   11.21   26.79   18.77   30.51
 2021    9.63   29.92  -20.61    4.28   33.49
 2022    2.01   32.33    4.67    0.75  -19.19
 2023   13.85   23.24    7.43   13.90   13.93
 2024   25.33    1.52   43.62   35.70    9.08
 2025    5.41  -15.15   -5.50   22.88    6.71
 2026    1.97   19.79  -19.54    6.53    5.52
 2027   -4.37  -11.45  -46.56   23.67    5.16
 2028   -1.75  -21.24   17.42  -12.12    5.89
 2029   18.89    2.04   52.11    0.68   21.19
 2030   13.50    5.69   37.77    7.70    2.16
 2031    5.31   21.95   18.76  -18.15   12.04
 2032    7.33   -8.29    8.20   -8.19   37.59
 2033    6.62    4.54  -12.75   29.46   -3.08
 2034    1.43  -19.60   23.48   -9.87    8.45
 2035   -2.91    9.20   11.45  -37.13   20.26
 2036   39.54   38.15   58.94   30.06   33.71
 2037   35.84   33.34   58.24   44.56    3.45
 2038   22.02   27.36   10.45   14.35   40.24
 2039   16.60   27.97    6.62   21.30   12.74
 2040   33.12   27.21   49.83   33.33   20.05
 2041   15.29   19.08   14.96    0.99   32.15
 2042   12.36    7.11  -21.43   26.42   30.93
 2043   13.21   16.95    0.53   31.26   -0.66
 2044    3.60   19.62  -39.26   18.34   16.15
 2045   18.36   21.84   55.18   24.01  -28.31
 2046   10.99   42.41   -7.67   -1.63   25.53
 2047    6.03   45.55    2.81  -29.53   30.31
 2048    7.66   14.10   20.07    6.11   -6.97
 2049    9.01   11.82  -23.33   42.23   -4.84
 2050   -1.77   -0.53  -29.94   26.15  -11.65
 2051   37.33   25.11   34.65   88.10  -19.53
 2052   27.53   39.69   21.40   40.17    8.69
 2053   23.56   10.89   17.43   18.26   45.22
 2054   19.34   15.71   -6.49   49.05    7.98
 2055    3.37   25.70  -52.13   21.21   20.18
 2056   19.42   13.73   20.47   47.90  -15.82
 2057    6.90   13.56   14.46    3.17   -0.14
 2058   34.47    8.89   52.91   42.82   21.97
 2059   13.31   51.79    0.43   11.47    3.00
 2060   12.86    9.79   16.91    5.62   20.50
 2061   32.15   37.90   17.96   31.66   43.14
 2062  -10.73   29.68   19.14  -56.97   -5.89
 2063   60.86   41.71  101.18   56.29   39.40
 2064   24.72   25.88   16.39   16.22   43.60
 2065   -0.37   49.60   30.82  -50.85    2.42
 2066   16.28   28.98   52.23  -12.26    9.93
 2067    9.81   33.65    9.30   23.61  -23.97
 2068   23.08   24.10   25.21   21.75   22.06
 2069   16.26   32.81  -36.35   15.91   58.29
 2070   23.81   37.59   51.31    4.85   12.40
 2071   26.44   24.41   50.66   26.90    2.96
 2072    8.78   25.09   63.32  -43.63   13.25
 2073   22.36    3.29   58.49    9.98   15.43
 2074   21.91   36.53    2.19   16.02   39.76
 2075    4.58    7.37   -9.51   33.54  -21.79
 2076   13.56   21.27   50.37  -16.85   12.15
 2077   36.65   65.39   31.68   54.28   -1.05
 2078   17.21   39.73   32.57   13.84   -8.66
 2079   31.55   16.93   76.62   14.02   19.60
 2080  -20.44   -2.14    3.55  -59.75   -4.23
 2081  -21.25   14.42  -32.73  -51.83    7.23
 2082  -11.12   15.69  -21.76  -34.90   13.37
 2083   -3.18   24.61   19.75  -49.80   17.53
 2084  -18.00   10.11  -17.29  -32.41  -18.22
 2085   18.86   25.84   37.22   -5.50   28.32
 2086   36.75   38.53   64.42   43.64   -1.31
 2087    9.65   28.73   25.01    7.63  -15.76
 2088  -12.04   12.04  -28.04  -23.40    3.04
 2089   37.89   39.30   19.69   51.44   37.07
 2090   27.26   21.79   67.92  -10.09   40.04
 2091   19.66   28.75   46.23    4.17    7.68
 2092   25.44   27.40   50.48  -16.37   54.83
 2093   -0.43   31.47   54.41  -50.90   -9.25
 2094   18.95   34.56   31.66   -2.85   24.90
