Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        24.58   24.44   26.20   24.18   23.60
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.66   -0.80   -0.54   -0.78   -0.54
 1961    0.08   -0.27    0.29    0.45   -0.38
 1962   -0.79   -0.84   -0.77   -0.90   -0.62
 1963   -0.81   -1.24   -1.05   -0.63   -0.52
 1964   -0.32   -0.52   -0.37   -0.14   -0.37
 1965   -0.67   -0.59   -0.49   -0.66   -0.92
 1966   -0.96   -1.15   -0.90   -1.10   -0.72
 1967   -0.10    0.07    0.33   -0.26   -0.44
 1968   -0.19   -0.75   -0.11    0.22   -0.45
 1969   -0.69   -0.57   -0.81   -0.67   -0.66
 1970   -0.23   -0.33    0.20   -0.06   -0.85
 1971   -0.76   -0.92   -0.73   -1.01   -0.36
 1972   -0.19    0.10   -0.57   -0.15   -0.07
 1973   -0.09    0.29   -0.15   -0.06   -0.33
 1974    0.15    0.46   -0.12    0.63   -0.44
 1975   -0.47   -1.46   -0.32   -0.30   -0.21
 1976   -0.69   -0.41   -0.44   -1.04   -0.67
 1977    0.25    0.00    0.23    0.50    0.13
 1978    0.25   -0.26    0.32    0.33    0.43
 1979   -0.49   -0.30   -0.35   -0.78   -0.37
 1980   -0.49   -1.08   -0.36   -0.58   -0.11
 1981    0.40    0.05    0.68    0.59    0.09
 1982   -0.19   -0.23   -0.17   -0.12   -0.29
 1983   -0.31   -0.02   -0.90   -0.37    0.16
 1984   -0.23   -0.60    0.07   -0.04   -0.55
 1985   -0.36   -0.37   -0.07   -0.45   -0.54
 1986   -0.08   -0.18    0.18   -0.16   -0.16
 1987    0.72    0.83    0.57    0.83    0.63
 1988    0.13    0.74   -0.24   -0.07    0.36
 1989   -0.24    0.38   -0.44   -0.42   -0.19
 1990    0.47    0.47    0.55    0.95   -0.27
 1991   -0.00   -0.51    0.25    0.01    0.08
 1992    0.14    0.79   -0.43   -0.14    0.67
 1993    0.92    0.11    0.91    1.20    1.09
 1994    0.74    1.35    1.12    0.71   -0.01
 1995   -0.04    0.15   -0.08   -0.32    0.26
 1996    0.24    0.31   -0.03    0.25    0.47
 1997    0.16    0.04    0.48    0.18   -0.11
 1998    0.07   -0.02    0.07   -0.02    0.22
 1999    0.26    0.60   -0.23   -0.06    0.94
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    1.02    1.23    0.22    1.38    1.21
 2001    1.05    1.54    1.25    0.93    0.69
 2002    0.17    0.11    0.48   -0.04    0.17
 2003   -0.06    0.22   -0.55   -0.39    0.68
 2004    0.86    0.91    1.07    1.00    0.43
 2005    0.80    0.61    0.66    1.07    0.72
 2006    1.00    0.90    1.36    1.10    0.56
 2007    0.97    0.83    0.90    1.19    0.82
 2008    0.21    0.38    0.35   -0.41    0.78
 2009    0.93    1.23    0.73    0.88    1.02
 2010    1.04    1.95    0.78    0.97    0.76
 2011    0.20   -0.55    0.18    0.09    0.84
 2012    1.14    1.24    0.78    1.09    1.51
 2013    1.00    1.60    1.11    0.93    0.61
 2014    0.40    0.82    0.39    0.10    0.52
 2015    0.86    0.80    0.97    0.80    0.86
 2016    1.26    1.82    1.68    1.18    0.56
 2017    0.48    0.60    0.84    0.28    0.30
 2018    0.59    1.06    0.42    0.31    0.83
 2019    0.57    1.01    0.83    0.45    0.19
 2020    0.96    0.95    1.10    0.76    1.09
 2021    1.16    0.98    1.28    1.11    1.22
 2022    1.13    0.74    1.28    1.19    1.18
 2023    0.96    1.11    1.32    0.88    0.63
 2024    1.37    0.91    1.36    1.83    1.07
 2025    1.84    1.97    1.84    1.93    1.66
 2026    0.50    1.85    0.29   -0.13    0.67
 2027    0.60    1.10    0.47    0.15    1.00
 2028    1.22    1.59    1.11    1.29    0.99
 2029    1.10    1.80    0.78    1.19    0.83
 2030    1.03    1.19    1.38    0.88    0.78
 2031    1.10    0.82    1.39    1.01    1.10
 2032    1.76    1.82    1.43    2.09    1.61
 2033    1.68    1.99    1.00    1.93    1.85
 2034    0.85    0.91    0.73    0.91    0.87
 2035    1.09    1.56    0.59    0.91    1.51
 2036    1.82    2.46    2.02    1.44    1.70
 2037    1.30    1.40    1.29    1.07    1.54
 2038    1.75    1.79    1.81    1.24    2.34
 2039    2.03    2.32    2.09    1.75    2.16
 2040    1.24    2.04    1.07    0.79    1.49
 2041    1.62    2.55    1.45    1.16    1.79
 2042    1.96    1.87    2.26    1.75    2.02
 2043    1.23    1.15    1.60    1.11    1.09
 2044    1.69    1.88    1.68    1.48    1.85
 2045    1.62    1.86    1.73    1.14    2.00
 2046    1.77    2.59    2.16    1.76    0.84
 2047    1.09    0.72    1.52    0.91    1.14
 2048    1.42    1.09    1.74    1.48    1.23
 2049    2.34    1.66    2.86    2.27    2.35
 2050    1.90    2.23    2.16    1.59    1.85
 2051    2.17    1.73    2.38    1.75    2.82
 2052    2.43    3.63    2.30    2.08    2.22
 2053    2.05    2.99    2.17    1.24    2.40
 2054    2.20    2.75    2.52    1.74    2.12
 2055    2.57    2.67    2.90    2.57    2.17
 2056    2.57    2.49    2.63    2.38    2.83
 2057    2.50    3.40    2.56    2.28    2.12
 2058    1.82    2.47    1.62    1.06    2.59
