Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        24.76   25.44   25.90   24.15   23.98
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.45   -0.52   -0.75   -0.46   -0.07
 1961   -0.33   -0.78   -0.69   -0.06   -0.05
 1962    0.31    0.49    1.13   -0.06   -0.12
 1963    0.09    0.02    0.83   -0.05   -0.40
 1964   -1.00   -0.95   -0.77   -1.10   -1.12
 1965   -1.07   -1.94   -1.63   -0.52   -0.67
 1966   -0.40   -0.91   -0.19   -0.18   -0.56
 1967    0.28    1.05    1.19   -0.29   -0.39
 1968   -0.55   -0.39   -0.85   -0.38   -0.57
 1969   -0.67   -0.82   -1.26   -0.25   -0.54
 1970    0.08   -0.38    0.40    0.17   -0.04
 1971    0.30    0.50    0.87   -0.09    0.14
 1972   -0.24   -0.09   -0.48   -0.13   -0.24
 1973   -0.27   -0.39   -0.90   -0.09    0.20
 1974    0.15   -0.08   -0.35    0.44    0.41
 1975    0.23    0.60    0.61    0.17   -0.30
 1976   -0.34   -0.16   -0.66   -0.26   -0.23
 1977    0.19    0.03    0.52    0.15    0.00
 1978    0.22    0.19    0.24    0.34    0.05
 1979   -0.27   -0.81   -0.46   -0.06   -0.00
 1980   -0.21   -0.37   -0.50   -0.08    0.01
 1981    0.07   -0.28   -0.28    0.28    0.39
 1982    0.33    0.79    1.24   -0.10   -0.31
 1983   -0.73   -0.13   -1.05   -1.00   -0.44
 1984   -0.60   -0.96   -1.31   -0.31   -0.04
 1985   -0.44    0.11   -0.82   -0.37   -0.50
 1986   -0.23   -0.32   -0.29   -0.07   -0.33
 1987    0.02   -0.18    0.95   -0.23   -0.43
 1988   -0.09   -0.38   -0.29    0.09    0.06
 1989   -0.35   -0.60   -0.72   -0.22   -0.00
 1990    0.07   -0.30   -0.36    0.43    0.28
 1991    0.17    0.68    0.80   -0.06   -0.50
 1992   -0.61   -0.63   -0.75   -0.59   -0.48
 1993   -0.20   -0.41   -0.66    0.15   -0.06
 1994    0.26    0.43    0.63    0.13   -0.05
 1995    0.70    0.24    1.19    0.39    0.92
 1996    0.90    1.27    1.80    0.48    0.33
 1997   -0.10    0.26   -0.44   -0.21    0.13
 1998    0.17    0.28   -0.33    0.25    0.47
 1999    0.81    1.08    1.42    0.40    0.58
 2000    0.76    1.10    1.05    0.59    0.48
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.10   -0.69   -0.56    0.49    0.77
 2002    0.72    0.51    0.54    0.84    0.88
 2003    0.48    0.73    0.71    0.19    0.47
 2004    0.29    0.41   -0.15    0.48    0.39
 2005    0.60    1.05    0.98    0.30    0.30
 2006    0.44    0.36    0.12    0.70    0.47
 2007    0.19    0.35   -0.08   -0.01    0.62
 2008    0.65   -0.20    0.09    1.12    1.17
 2009    0.77    0.99    0.92    0.50    0.82
 2010    0.78    0.69    0.67    0.95    0.72
 2011    0.65    0.58    0.72    0.60    0.67
 2012    1.11    0.91    1.30    1.36    0.71
 2013    1.09    1.22    1.42    0.95    0.85
 2014    0.54    0.65    0.13    0.67    0.69
 2015    0.64    0.55    0.60    0.51    0.90
 2016    1.19    0.95    1.89    0.93    0.99
 2017    1.00    0.80    1.48    0.72    1.03
 2018    0.74    0.61    0.18    0.88    1.20
 2019    1.12    1.04    1.26    1.18    0.96
 2020    1.18    0.77    1.63    1.12    1.06
 2021    0.99    1.47    1.11    0.73    0.91
 2022    0.64    0.13    0.47    0.81    0.92
 2023    0.80    0.72    0.71    0.64    1.17
 2024    0.71    0.56    0.32    0.93    0.92
 2025    0.92    1.60    1.23    0.58    0.63
 2026    1.23    1.46    1.84    0.95    0.87
 2027    0.71    0.84    0.29    0.93    0.75
 2028    0.70    1.08    0.45    0.71    0.68
 2029    1.19    0.36    1.28    1.27    1.53
