Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        26.85   26.64   27.66   26.63   26.46
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -0.47   -0.47   -0.78   -0.31   -0.37
 1961   -0.31   -0.10   -0.34   -0.30   -0.42
 1962   -0.15   -0.64   -0.50    0.01    0.31
 1963    0.11    0.57    0.43   -0.01   -0.33
 1964   -0.34   -0.46   -0.25   -0.33   -0.34
 1965   -0.58   -0.34   -0.53   -0.67   -0.68
 1966   -0.55   -0.66   -0.61   -0.55   -0.40
 1967    0.15    0.05    0.15    0.28    0.05
 1968   -0.24    0.45   -0.13   -0.41   -0.59
 1969   -0.89   -0.53   -0.97   -1.07   -0.83
 1970   -0.40   -0.46   -0.33   -0.40   -0.44
 1971   -0.15   -0.48   -0.24   -0.07    0.07
 1972    0.04    0.16    0.21    0.01   -0.16
 1973   -0.41   -0.13   -0.55   -0.39   -0.47
 1974   -0.16   -0.15   -0.29   -0.05   -0.19
 1975   -0.20   -0.08   -0.09   -0.27   -0.29
 1976   -0.46   -0.30   -0.49   -0.58   -0.37
 1977   -0.11    0.03   -0.08   -0.16   -0.16
 1978   -0.22    0.03   -0.49   -0.20   -0.15
 1979    0.24    0.24    0.33    0.35   -0.01
 1980   -0.22   -0.12   -0.40   -0.16   -0.18
 1981    0.13    0.31    0.31    0.09   -0.13
 1982   -0.23   -0.27   -0.22   -0.16   -0.30
 1983   -0.20   -0.40   -0.19   -0.16   -0.12
 1984   -0.14   -0.06   -0.21   -0.17   -0.08
 1985   -0.03    0.15    0.15   -0.06   -0.26
 1986   -0.01   -0.28    0.08    0.13   -0.12
 1987    0.21    0.04    0.14    0.34    0.23
 1988    0.42    0.33    0.45    0.47    0.37
 1989   -0.06    0.08    0.02   -0.18   -0.06
 1990    0.34    0.11    0.20    0.33    0.66
 1991    0.38    0.69    0.83    0.17    0.01
