Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual      JF     MAM    JJAS     OND
        26.26   26.21   27.68   25.36   26.06
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960    0.03   -0.46   -0.00    0.03    0.36
 1961   -0.17    0.07   -0.37   -0.02   -0.31
 1962   -0.59   -0.43   -0.45   -0.68   -0.71
 1963   -0.53   -0.16   -0.59   -0.47   -0.79
 1964   -0.12   -0.14    0.00   -0.06   -0.32
 1965   -0.29    0.21   -0.31   -0.41   -0.45
 1966   -0.29   -0.44   -0.55   -0.14   -0.14
 1967    0.20   -0.40    0.19    0.51    0.21
 1968   -0.62    0.08   -0.40   -0.53   -1.44
 1969   -1.15   -2.35   -0.88   -1.08   -0.70
 1970   -0.48   -0.94   -0.73   -0.25   -0.22
 1971   -0.12    0.27   -0.27   -0.23   -0.09
 1972    0.10   -0.14    0.47    0.24   -0.28
 1973   -0.31   -0.83   -0.07   -0.19   -0.37
 1974   -0.49   -0.30   -1.04   -0.36   -0.25
 1975   -0.29   -0.32   -0.57   -0.12   -0.22
 1976   -0.24   -0.13   -0.47   -0.12   -0.25
 1977   -0.04   -0.63    0.34    0.24   -0.40
 1978    0.02    0.27    0.16   -0.04   -0.18
 1979    0.14    0.35    0.18   -0.27    0.49
 1980    0.60    0.56    0.88    0.54    0.43
 1981   -0.13    0.39   -0.07   -0.49   -0.07
 1982    0.01   -0.29    0.12    0.04    0.07
 1983    0.49    0.52    0.85    0.38    0.27
 1984   -0.20    0.17   -0.57   -0.22   -0.04
 1985   -0.20    0.32    0.13   -0.45   -0.53
 1986   -0.20    0.17   -0.62   -0.17   -0.08
 1987   -0.07   -0.41   -0.17   -0.20    0.42
 1988    0.31    0.32    0.15    0.39    0.38
 1989    0.16    1.01    0.50   -0.28   -0.18
 1990   -0.28   -0.97   -0.46   -0.26    0.32
 1991    0.59    0.34    0.67    0.62    0.63
 1992   -0.11   -0.26   -0.10   -0.03   -0.11
 1993   -0.12   -0.69    0.24    0.08   -0.35
 1994    0.16    0.01    0.04    0.29    0.21
 1995   -0.15    0.62   -0.34   -0.27   -0.31
 1996   -0.10   -0.37   -0.00   -0.05   -0.10
 1997    0.63    0.22   -0.08    0.97    1.14
 1998    0.52    1.41    1.10    0.38   -0.46
 1999   -0.20   -0.66   -0.29   -0.16    0.13
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    0.07    0.85   -0.24   -0.20    0.22
 2001    0.55    0.10    0.82    0.62    0.50
 2002    0.31   -0.10    0.24    0.47    0.43
 2003    0.82    0.36    0.94    1.00    0.78
 2004   -0.12    0.83    0.07   -0.39   -0.58
 2005   -0.27   -0.65   -0.48   -0.14    0.04
 2006    0.34    0.54    0.07    0.53    0.23
 2007    0.38    0.32    0.49    0.25    0.47
 2008    0.11    0.81   -0.31   -0.15    0.42
 2009    0.46   -0.05    0.72    0.34    0.71
 2010    0.66    0.41    0.30    0.64    1.22
 2011    0.90    0.94    0.83    0.78    1.07
 2012    0.66    1.51    0.22    0.46    0.78
 2013    0.46    0.84    0.16    0.23    0.82
 2014    0.74    1.05    0.51    0.61    0.94
 2015    0.67    0.99    0.92    0.49    0.44
 2016    0.22    0.73    0.84    0.00   -0.43
 2017    0.22   -0.65    0.40    0.31    0.51
 2018    0.55    1.79    0.28    0.35    0.28
 2019    0.41    1.26    0.23    0.07    0.48
 2020    0.30    0.53   -0.05    0.23    0.59
 2021    0.71    1.72   -0.22    0.56    1.19
 2022    1.35    1.92    1.21    0.99    1.60
 2023    1.27    1.83    1.49    1.09    0.90
 2024    0.72    1.52    0.75    0.23    0.81
 2025    0.60    0.65    0.84    0.41    0.57
 2026    0.71    1.87    0.71    0.53    0.19
 2027    1.07    0.86    1.26    1.03    1.07
 2028    1.23    0.42    1.46    1.39    1.31
 2029    0.94    1.22    1.07    0.80    0.82
 2030    0.40    0.53    0.35    0.23    0.60
 2031    0.94    0.96    0.56    0.87    1.39
 2032    1.32    0.61    1.85    1.54    0.95
 2033    0.55    0.94    0.72    0.21    0.59
 2034    0.88    0.33    1.22    0.73    1.13
 2035    1.66    1.46    1.85    1.60    1.70
 2036    1.45    1.84    1.00    1.24    1.92
 2037    1.05    2.40    0.97    0.54    0.89
 2038    1.05    1.62    0.98    0.64    1.29
 2039    1.11    1.68    1.18    1.09    0.71
 2040    1.14    1.56    0.49    1.09    1.59
 2041    1.26    1.79    0.84    1.21    1.40
 2042    1.29    1.63    1.29    1.03    1.41
 2043    1.15    1.95    0.88    0.85    1.28
 2044    1.49    1.68    1.16    1.26    2.02
 2045    1.50    2.22    1.20    1.14    1.79
 2046    1.62    1.68    1.37    1.40    2.12
 2047    1.96    2.79    1.92    1.86    1.57
 2048    2.11    2.66    1.88    2.01    2.09
 2049    1.79    2.33    1.74    1.30    2.13
 2050    1.27    1.29    0.94    0.89    2.10
 2051    1.80    2.73    1.83    1.18    2.00
 2052    1.75    2.36    1.08    1.65    2.15
 2053    2.25    2.76    2.46    1.99    2.03
 2054    1.69    2.05    1.76    1.12    2.15
 2055    1.65    2.26    1.40    1.30    1.97
 2056    2.19    2.76    2.27    1.67    2.44
 2057    2.36    2.87    2.49    2.34    1.93
 2058    1.69    2.58    1.52    1.34    1.72
 2059    1.91    2.36    1.58    1.78    2.10
 2060    2.70    3.41    3.02    2.08    2.75
 2061    2.59    3.15    2.61    2.14    2.79
 2062    2.27    3.44    2.16    1.77    2.25
 2063    1.77    3.06    1.53    1.10    2.05
 2064    2.35    2.75    1.76    2.22    2.84
 2065    2.73    3.81    2.48    2.53    2.53
 2066    3.11    3.34    2.87    3.07    3.25
 2067    2.14    3.48    2.08    1.37    2.34
 2068    2.03    2.05    1.57    1.62    3.02
 2069    3.07    3.88    2.93    2.82    3.02
 2070    2.55    3.69    2.39    2.32    2.25
 2071    2.99    2.96    2.68    2.72    3.70
 2072    2.77    4.06    2.38    2.43    2.78
 2073    2.13    1.98    2.13    1.82    2.63
 2074    2.44    3.32    1.93    2.08    2.84
 2075    3.02    3.48    3.44    2.45    3.07
 2076    2.97    3.33    2.82    2.53    3.49
 2077    2.72    3.87    2.68    1.81    3.20
 2078    2.81    4.00    2.69    2.12    3.06
 2079    2.68    3.22    2.56    2.29    2.98
 2080    3.36    2.57    3.03    3.34    4.23
 2081    4.11    4.88    4.24    3.98    3.65
 2082    3.83    5.43    4.19    3.18    3.28
 2083    3.40    4.08    2.98    3.35    3.42
 2084    4.17    3.91    4.28    3.94    4.53
 2085    3.83    5.50    4.08    3.20    3.31
 2086    2.95    3.64    2.40    2.46    3.68
 2087    3.36    4.02    3.27    2.80    3.78
 2088    3.97    4.63    4.29    3.29    4.12
 2089    3.34    4.36    3.45    2.51    3.64
 2090    3.41    4.73    3.23    2.78    3.55
 2091    3.85    4.79    3.53    3.40    4.12
 2092    3.75    5.46    3.37    3.17    3.75
 2093    3.54    4.70    3.48    2.98    3.56
 2094    3.57    4.54    3.48    3.20    3.51
 2095    4.22    5.27    4.00    3.53    4.65
 2096    3.38    4.66    3.00    2.84    3.64
 2097    4.34    4.56    3.81    4.16    4.95
 2098    4.63    6.03    4.59    3.97    4.60
 2099    3.86    4.79    3.46    3.24    4.48
 2100     NaN     NaN     NaN     NaN     NaN
Projections under SRES A1B scenario
 2000    0.05    0.40   -0.24   -0.19    0.45
 2001    0.23    0.40    0.10    0.38    0.04
 2002    0.42    0.32    0.66    0.12    0.64
 2003    0.27    0.74    0.48    0.22   -0.19
 2004    0.48    0.34    0.86    0.49    0.18
 2005    0.51   -0.04    0.70    0.57    0.63
 2006    0.34    0.23    0.33    0.14    0.68
 2007    0.67    0.74    0.37    0.66    0.93
 2008    0.39    0.30    0.90    0.43   -0.12
 2009    0.12    0.50    0.52    0.30   -0.79
 2010    0.31    0.91    0.38   -0.04    0.33
 2011    0.40    0.41    0.24    0.39    0.57
 2012    0.36    0.58    0.52    0.00    0.53
 2013    0.78    0.86    0.46    0.56    1.32
 2014    0.79    2.16    1.00    0.30    0.34
 2015   -0.13   -0.62   -0.87    0.04    0.71
 2016    0.54    0.83    1.16    0.17    0.19
 2017    0.77    0.66   -0.13    0.98    1.47
 2018    0.94    2.13    1.11    0.58    0.48
 2019   -0.13    0.15   -0.28   -0.26    0.02
 2020    0.29    0.25    0.01    0.09    0.86
 2021    0.80    0.89    0.91    0.66    0.81
 2022    0.97    1.52    0.60    0.78    1.22
 2023    0.73    1.22    0.75    0.44    0.78
 2024    1.02    1.00    0.87    0.96    1.25
 2025    0.79    1.09    0.83    0.62    0.78
 2026    0.69    0.55    1.22    0.36    0.69
 2027    0.83    0.41    0.62    0.70    1.49
 2028    1.56    1.70    1.64    1.25    1.79
 2029    1.25    1.59    1.18    1.30    1.03
 2030    0.72    0.91    0.86    0.41    0.87
 2031    0.35    0.36    0.13    0.24    0.72
 2032    0.89    1.20    0.97    0.83    0.68
 2033    1.35    2.04    1.42    0.87    1.47
 2034    1.20    2.21    1.08    0.80    1.18
 2035    0.99    1.79    1.09    0.87    0.53
 2036    0.95    0.53    0.70    0.82    1.65
 2037    1.52    1.86    1.81    1.18    1.45
 2038    1.42    1.09    1.50    1.66    1.23
 2039    1.43    0.91    1.94    1.65    0.97
 2040    1.54    1.97    1.54    1.24    1.65
 2041    1.47    2.09    1.23    1.13    1.76
 2042    1.53    2.47    1.01    0.90    2.29
 2043    1.28    1.95    1.12    1.00    1.37
 2044    1.91    1.31    1.69    2.15    2.21
 2045    1.57    2.39    1.64    1.26    1.34
 2046    1.47    1.57    1.69    0.94    1.88
 2047    1.79    1.93    1.61    1.47    2.29
 2048    2.49    2.71    2.69    2.67    1.90
 2049    1.57    2.29    1.64    1.40    1.24
 2050    1.00    1.65    0.85    0.72    1.10
 2051    1.31    1.10    0.73    1.33    1.98
 2052    1.55    0.83    1.63    1.22    2.40
 2053    2.19    3.13    2.40    1.70    2.01
 2054    1.30    1.84    1.09    1.03    1.52
 2055    1.71    2.15    1.61    1.52    1.76
 2056    1.59    2.25    1.70    1.43    1.25
 2057    1.69    1.41    1.78    1.68    1.81
 2058    2.05    2.57    1.96    1.62    2.33
 2059    2.10    1.98    2.21    1.83    2.43
 2060    2.26    2.10    2.49    2.02    2.45
 2061    2.61    2.67    2.25    2.79    2.68
 2062    2.44    3.80    2.27    2.01    2.26
 2063    2.41    2.33    1.78    2.73    2.67
 2064    2.36    3.76    2.11    1.85    2.36
 2065    2.02    2.22    2.12    1.70    2.21
 2066    2.42    2.91    2.39    2.19    2.42
 2067    2.01    2.44    2.08    1.58    2.21
 2068    2.23    2.56    2.19    1.81    2.63
 2069    2.10    2.98    1.80    1.68    2.37
 2070    2.35    3.52    1.96    1.83    2.64
 2071    2.71    2.91    1.95    2.73    3.30
 2072    2.60    3.59    2.88    1.99    2.47
 2073    2.03    1.95    1.89    1.69    2.69
