Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual      JF     MAM    JJAS     OND
        154.7    32.6   143.2   272.6    90.4
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960  -16.07   37.55  -25.16  -19.73    0.12
 1961  -11.98   -3.11    5.76  -21.51   -3.90
 1962    0.34    4.39   -2.78    6.72  -21.36
 1963   12.38    9.25   22.11    7.43   17.65
 1964  -14.03    0.92   -3.96  -28.94   26.35
 1965   -3.49  -17.72   10.87   -3.39  -23.21
 1966   17.57   12.69   17.17   24.83   -9.79
 1967    8.04   11.71  -19.34   10.03   42.52
 1968   -7.13   19.20  -27.50   -2.38   -0.25
 1969   -0.85  -25.20  -32.90    7.19   23.41
 1970   -6.83  -21.48    2.28  -14.58   13.44
 1971   10.92  -14.61   15.85   11.54    6.79
 1972  -13.17  -52.87  -15.45  -17.53   17.47
 1973   19.51    2.19   21.75   22.52    8.04
 1974    0.12   -2.32  -37.89   10.86   17.73
 1975   -2.54   40.25    8.41  -14.16   16.55
 1976  -21.61    0.99  -20.37  -27.91   -3.68
 1977   -2.46   45.78   17.41  -13.71   -0.32
 1978    5.97    9.26    7.52    8.85   -8.88
 1979  -11.65   12.29  -18.79   -9.07  -16.46
 1980  -13.47   20.96  -11.46  -16.01  -14.76
 1981    3.77  -18.27   12.05    4.34   -6.30
 1982    3.71  -15.05  -25.63   18.84   -6.13
 1983   -9.11   18.11    0.20  -14.42   -9.10
 1984    0.80   -7.66   10.37    0.53  -11.23
 1985    5.57    5.83   10.69    6.27   -5.44
 1986   -9.02   14.92  -16.81   -5.86  -15.15
 1987  -12.35    1.74   -6.81  -15.30  -12.67
 1988    7.11  -25.55   -2.94   17.59  -11.25
 1989   -2.45   10.53   15.18   -9.08   -6.83
 1990   -0.08  -16.10   13.03   -5.17    3.48
 1991    7.92  -20.54  -15.75   18.36   10.28
 1992   -3.11   -7.55   -1.99   -1.68   -9.58
 1993   -8.87   35.38   -3.88  -20.07   17.64
 1994   -7.42   10.32  -25.19   -7.03   14.85
 1995   29.38    5.06   32.33   33.54   13.85
 1996   16.87  -37.82   22.19   25.56  -13.32
 1997    0.49   -6.79   17.39   -7.89    9.18
 1998    4.29   -8.47   -3.36    9.79   -2.61
