Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual      JF     MAM    JJAS     OND
        148.6     5.5   145.9   262.0    95.5
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual      JF     MAM    JJAS     OND
20th Century Model Run
 1960   -1.28  -82.13    9.83   -2.75   -9.76
 1961    1.15  -62.77  -14.49   12.44  -13.80
 1962   -1.07  -29.28   -4.62    5.75  -19.50
 1963   -2.29  288.74    2.19    0.75  -31.36
 1964    1.01   -0.96   -2.21   -0.05    9.89
 1965   -3.69  -67.08   22.27  -11.72  -11.54
 1966    3.21   17.12  -26.99    9.91   24.29
 1967    7.68   -7.54   -2.23   21.47  -27.07
 1968   -5.24   85.85   11.39  -11.03  -12.95
 1969   -4.08  -67.09   -7.16   -1.06   -8.01
 1970    5.72  -43.86  -16.80   17.87   -2.47
 1971    6.05  111.96   11.09    6.24   -6.40
 1972    0.85  176.13   -2.67   -1.64    8.61
 1973    5.58  -90.16   38.60   -6.02    1.25
 1974  -12.37   -5.95  -16.80  -11.14  -10.34
 1975    4.46   41.24  -24.20   12.89   15.98
 1976    5.20  204.31   31.66   -3.95   -9.35
 1977    1.36   10.41   16.01   -0.85  -13.30
 1978   -8.68   11.11  -22.25    2.60  -29.95
 1979   -0.09  -82.24    1.61    0.40   -1.38
 1980    0.39   92.03   18.38   -1.66  -23.09
 1981    2.46  -88.30   20.71   -2.33   -4.41
 1982    3.39  -16.44   15.25    2.13   -9.35
 1983   -4.84  -21.66  -12.95  -12.72   36.99
 1984    8.67  -23.11    2.42   13.41    2.07
 1985    5.46  127.44    5.06   -3.03   32.48
 1986    2.11  -28.39    9.51   -1.77    6.16
 1987   -1.37   16.62  -32.40    3.89   26.07
 1988   -0.24  -78.50   -3.50   -2.24   15.00
 1989  -10.30  -83.48    4.75  -15.14  -12.76
 1990   -4.44   22.61    6.54  -14.10   13.12
 1991   -7.99  -21.81  -13.12    0.52  -30.74
 1992   -3.70  -87.70    5.72   -7.48   -1.03
 1993    0.92   59.09    2.82   -3.28   11.18
 1994    2.92  -68.10   15.42   -2.43    6.15
 1995   -2.10  -95.87  -18.75    4.21    3.82
 1996  -11.68   93.58   -5.67  -16.96   -5.59
 1997   -6.28    6.12  -34.23    1.13    8.85
 1998    7.13  -91.26   -6.74   24.93  -33.07
 1999   11.43  -45.82    4.55   16.52    5.49
 2000   10.32  137.52    7.86   15.23   -8.75
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001  -10.87  -78.88  -18.49   -0.15  -35.81
 2002    1.99  232.74    6.29    6.94  -31.48
 2003    1.59  191.39   -0.29    1.10   -1.02
 2004  -16.11  -55.47  -27.56   -7.75  -27.73
 2005   -4.50  101.12   -7.62   -3.18   -8.62
 2006    0.33  -68.71  -19.06    5.74   12.77
 2007    6.92   59.04    7.30    9.39   -4.67
 2008   -9.39  -96.07   -0.42   -6.03  -32.04
 2009   -7.33  212.01   19.93  -22.67   -1.20
 2010   -0.90  -86.68  -31.84   15.08   -8.80
 2011   -2.57  -46.56  -27.92   11.33  -13.03
 2012    2.51  -19.88    9.87    1.02   -2.41
 2013    8.63  -74.79   14.60   14.46  -18.63
 2014   -6.41  -35.32    5.56  -16.98   15.08
 2015    2.56  -34.25    7.73    2.92   -5.25
 2016    8.27    2.75   -1.09   13.37    4.09
 2017   -1.27   21.37   -4.69    1.36   -6.52
 2018    2.33   47.06   -0.53    9.63  -21.75
 2019    3.70  -55.02  -17.02   20.08  -22.35
 2020  -12.40  -51.89  -26.43   -6.71  -10.28
 2021    8.17  113.37    3.45   13.41   -7.81
 2022   15.56  -15.48    9.24   14.70   29.53
 2023    5.75  -79.66  -14.89   11.40   19.84
 2024    5.33  -36.32  -12.93    9.60   19.18
 2025   16.76  -88.11    6.76   24.07    9.30
 2026  -14.20   -2.30   -4.95  -22.80    2.67
 2027    1.70  -43.48  -15.18    7.96    6.34
 2028   15.94  -31.85    0.05   23.23   15.35
 2029   -7.46  -13.98  -26.07    4.64  -23.05
 2030   -5.84  -56.85  -26.91    9.04  -26.14
 2031    4.79   30.89   -0.28    7.34    2.17
 2032    2.53  110.28  -16.55    4.59   20.05
 2033  -16.43  -80.21  -58.25    3.00  -21.20
 2034    5.54  -44.66   -8.27   10.61   10.04
 2035    2.02  -71.02   25.94   -2.27  -15.97
 2036   10.35   58.07    7.09   13.29    2.77
 2037   -4.41  -90.25  -21.91    3.53   -3.43
 2038  -12.41  -43.78  -30.56    0.52  -30.77
 2039    5.67   30.29   -1.02   16.30  -23.97
 2040    1.51  -13.17    5.45   -0.33    2.77
 2041    5.23  -41.06   -8.31   17.63  -17.69
 2042  -14.97  -77.31  -65.38    3.83   -4.33
 2043   -5.54  -11.90  -20.77    4.03  -17.05
 2044   -6.36  -87.70  -17.22   -5.44    9.99
 2045    2.72   62.20  -27.81   13.46    7.78
 2046   -9.66  -72.50  -17.53  -10.75    8.77
 2047    1.08  -73.90   -6.49   11.39  -22.18
 2048    3.61  -54.51  -29.05   11.33   27.48
 2049    7.67   13.98   -1.56    6.68   25.17
 2050    1.66  -82.61   19.94   -4.80    0.60
 2051    5.30    1.89   10.44   -2.96   27.80
 2052   -4.39  -89.16  -46.44   13.04   -0.71
 2053    8.52  107.68  -21.29   24.65   -8.75
 2054    2.99  -76.16  -11.64   10.41    1.25
 2055  -23.69  -95.49  -58.10  -14.27   -2.83
 2056  -16.62   35.04  -60.75   -1.85   -5.20
 2057   11.01  -57.32   -0.15   17.65    6.40
 2058    6.99   -7.60   12.16   14.11  -26.41
 2059    5.64  -91.18   20.78    4.62  -10.05
 2060    6.13   10.51  -11.62   17.27   -7.68
 2061    0.95  -57.46  -39.14    9.06   34.74
 2062   -7.18  -17.37  -18.52   -1.66   -9.69
 2063   -7.89  -92.62  -33.86    0.94    2.69
 2064  -17.84   36.31  -52.17   -7.50   -5.35
 2065   -3.31  -32.26   -4.18    3.56  -26.01
 2066   10.39  175.81   24.36    6.76   -4.00
 2067   -5.46   50.54  -17.52   -7.10   16.80
 2068    8.23  -42.04  -16.78   18.85    9.48
 2069    7.07  129.73   -0.90   15.34  -15.73
 2070    3.62  -79.18  -32.75    5.56   55.22
 2071   -1.81  -25.60  -39.44    3.59   36.82
 2072    0.15  167.33    5.44   -4.53    2.79
 2073    0.39  -27.28  -33.83    3.85   41.05
 2074  -22.10    8.95  -62.11  -17.62   21.43
 2075    3.19  -75.97  -36.12   18.93    8.69
 2076   12.46  183.05    0.62   19.62   -2.18
 2077   -4.48   85.12  -42.49    4.76   16.32
 2078  -28.48  -64.74  -71.39  -17.05   -3.42
 2079    8.16   29.67   17.06    6.38    0.24
 2080   20.98  389.62   33.31   22.52  -17.56
 2081    4.34  -14.12    2.09    3.77   10.60
 2082  -11.81  -88.46  -27.30   -9.83    7.54
 2083   -5.15  -63.21  -45.89   13.33   -8.35
 2084   -9.36  -60.67  -38.64   11.93  -40.56
 2085   -4.20  -12.15  -69.18   20.25    5.90
 2086  -12.45   19.79  -51.05    6.34  -23.46
 2087   -0.26    7.27  -46.27   17.71    3.98
 2088  -16.49  -68.53  -79.13   -3.86   34.96
 2089    7.34  -61.01  -27.10   18.54   21.60
 2090    5.89  126.04    1.95   14.17  -22.98
 2091  -17.13  -85.56  -54.33  -18.35   46.76
 2092  -33.11  -23.55  -69.49  -23.85  -11.81
 2093    3.06  -63.82   -3.70    9.99   -9.45
 2094   -1.88  -85.39  -50.26    6.92   43.01
 2095  -14.88  -63.43  -68.54    0.11   14.06
 2096    9.81  -11.70   -7.06   11.13   31.58
 2097   -7.34  -50.54  -35.57    9.55  -24.36
 2098    2.36  -40.11   -0.03    6.26   -6.68
 2099  -12.59   14.94  -60.94    1.55    8.45
 2100    2.41  -97.15  -40.45   16.70   19.40
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   -9.85  -66.70   -6.72  -10.47  -10.15
 2002   -7.79  156.90  -36.46   -5.63   21.77
 2003  -11.60   32.78  -26.23   -1.32  -28.53
 2004  -22.14   40.05  -48.23  -18.40    1.68
 2005   -1.85  100.95  -21.25   -3.96   31.53
 2006   -4.52  -78.51   -0.93    1.24  -28.22
 2007    2.48  -39.77    4.59    6.03  -12.12
 2008   -6.99   73.73  -10.99   -5.40   -9.78
 2009    4.94  -69.88   -1.25   14.70  -18.45
 2010   -4.85  -29.19   10.23   -7.69  -16.58
 2011    6.22   44.58   11.65   12.28  -25.69
 2012   -0.46   21.60  -21.01   12.79  -18.35
 2013  -10.49  -51.71  -51.76   -6.79   40.58
 2014   20.33   60.22   14.54   29.23   -4.92
 2015   -3.80   28.63  -10.47    5.31  -28.19
 2016    7.34  245.30  -10.65   20.99  -24.21
 2017    2.26  -92.37  -14.64   15.99  -18.58
 2018    4.91  129.89   10.88    0.51    7.10
 2019   -2.57  332.84   -0.23   -2.80  -18.14
 2020  -16.71  -79.29  -63.73   -4.09   11.32
 2021    7.38  104.91   16.43    7.47  -10.53
 2022   18.38   -7.06   23.80   25.64  -15.46
 2023   -8.86  -76.32    4.66  -16.90    2.49
 2024  -23.87  -23.81  -69.22  -12.10    2.30
 2025   -2.96  -56.73  -25.92   14.69  -30.43
 2026   11.63  -82.43   33.24   15.49  -31.91
 2027    2.47  -39.06   16.20    3.15  -19.43
 2028    4.70   73.50   -0.01    4.27   10.80
 2029  -18.52   64.83  -44.46  -10.53  -11.32
 2030   -9.25   69.43   -7.31   -4.70  -31.82
 2031    4.06   64.36   15.19   -3.10   10.97
 2032    6.90  -78.24  -20.21   17.98   11.01
 2033    2.37   -5.52  -14.39    1.61   31.06
 2034   -1.94   82.49  -28.43   12.68  -18.19
 2035   -3.82   -3.11  -26.82   -6.34   40.51
 2036   -1.56  -81.38  -30.80   16.66  -20.50
 2037   10.93  -71.39   23.86   10.82   -5.31
 2038  -10.39  -44.28  -43.56    4.78  -13.92
 2039   -6.56  -82.75  -56.83   10.06   12.33
 2040   -0.65   36.32   26.99  -13.28    1.92
 2041    9.96  -44.85   17.71   10.65   -2.33
 2042   -2.04   40.19    8.45    0.05  -27.32
 2043  -17.05  -45.59  -59.13   -5.87    7.44
 2044    3.59  190.71   -2.10    7.49   -9.12
 2045    3.58  -56.36  -12.65   10.07    6.89
 2046  -12.62   36.58  -16.35  -11.28  -13.67
 2047  -13.03  -32.68  -66.51    5.14    2.92
