Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN    -4.49   -14.15    -4.59
1961     -9.36   -10.42   -16.03   -14.42   -33.61
1962    -10.33    -9.92   -12.67   -17.58   -53.59
1963    -10.14    -7.40   -29.86   -29.27   -39.91
1964    -14.84   -11.66   -27.67   -38.38   -32.53
1965     -4.37   -10.10   -28.30   -28.38   -36.73
1966    -10.96   -11.33   -22.04   -20.57   -35.03
1967    -19.99   -15.30   -25.78   -18.95    -9.89
1968    -14.73   -13.00   -16.88   -26.58   -51.24
1969     -6.40    -9.99   -25.49   -18.63     1.61
1970    -12.23    -9.45   -21.81    -8.09   -37.43
1971    -11.16    -9.13    -7.65    -5.11   -19.96
1972    -19.64   -16.37   -25.18   -14.27   -26.36
1973     -6.48   -13.76   -20.93   -19.88   -36.84
1974     -6.03    -7.12   -27.51   -20.81   -30.54
1975     -4.90   -10.31   -16.13   -36.28   -45.87
1976     -4.92    -6.83   -11.58   -29.37   -45.52
1977     -5.52    -5.86   -23.75   -35.32   -11.16
1978     -7.98   -13.91   -17.92   -34.94   -42.23
1979    -12.55   -12.26   -19.63    -5.46   -21.83
1980    -12.87    -9.62   -15.83   -22.73   -24.80
1981    -10.57   -14.20   -11.77   -27.90   -25.10
1982    -14.34    -9.81   -21.68   -21.81   -36.63
1983    -18.96   -11.43   -15.22   -26.30   -20.25
1984    -21.68   -15.13   -22.27   -36.55   -26.76
1985    -18.51    -9.45   -22.67   -42.13   -23.25
1986    -19.95   -13.60   -21.59   -11.32   -15.10
1987    -18.44   -11.26   -26.56   -25.05   -23.30
1988    -16.23   -13.43   -21.39   -20.84   -42.34
1989     -8.41    -9.73   -14.44   -34.45   -55.92
1990     -8.93   -12.09   -21.44    -8.37   -30.40
1991     -6.37    -7.60   -15.20   -28.69   -33.10
1992    -14.23    -8.89   -15.51   -25.68   -35.79
1993    -11.47    -9.33   -27.15   -14.59   -49.92
1994     -3.68    -7.60   -18.83   -27.98   -46.98
1995     -4.83    -2.00   -24.96   -24.63   -22.28
1996     -2.87    -5.82   -16.81   -25.24   -35.39
1997     -7.24   -13.72   -16.85   -48.34   -36.12
1998     -6.31    -8.21   -23.38   -43.85   -44.34
1999    -14.78   -11.25   -14.89   -18.22   -32.45
2000       NaN      NaN   -23.03   -28.80   -20.48
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046       NaN      NaN   -17.42   -26.57   -35.47
2047     -3.52    -4.47   -20.70   -28.69   -29.60
2048    -10.31    -7.05   -20.84   -24.78   -24.40
2049     -5.25    -6.46   -12.65   -10.82   -31.21
2050     -9.55   -11.49   -20.41    -8.63   -19.11
2051     -3.24    -3.52   -10.07   -31.68   -41.06
2052    -12.72   -15.69    -8.62   -13.69   -49.31
2053     -3.37   -15.86   -15.50   -26.06   -37.05
2054    -15.83   -11.41   -21.50   -27.53   -42.90
2055     -6.16   -12.96    -9.41   -53.03   -24.36
2056     -2.50    -5.30   -17.69   -22.07   -62.35
2057     -8.71   -13.21   -22.98   -31.94   -42.87
2058     -9.04   -10.03   -17.95   -20.81   -25.44
2059     -6.32    -1.54   -12.18   -28.87   -31.19
2060     -7.93   -13.43   -10.05   -14.91   -42.42
2061    -13.29   -12.59   -20.62   -43.45   -51.07
