Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961    -21.29   -21.59   -15.17    -3.35   -23.85
1962    -36.11   -30.89   -16.67    -2.79   -37.14
1963    -17.96   -16.47   -42.95    -3.88   -37.25
1964    -12.92   -12.06   -25.18    -6.46   -32.00
1965    -18.09   -31.84   -27.80    -6.37   -36.80
1966    -26.94   -22.52   -23.50    -3.51   -22.08
1967    -52.94   -48.14   -29.28    -3.03   -15.60
1968    -37.80   -34.14   -25.74    -6.75   -34.59
1969    -11.19   -18.12   -25.61    -3.78   -16.47
1970    -25.59   -24.06   -26.23    -2.61   -35.03
1971    -36.64   -31.78    -9.54    -2.86   -20.18
1972    -50.68   -45.28   -36.44    -3.64   -19.10
1973    -25.84   -23.15   -38.45    -6.80   -25.78
1974    -19.71   -15.15   -26.32    -4.37   -27.89
1975    -19.57   -18.31   -36.36    -7.64   -20.23
1976    -14.54   -23.92   -26.13    -5.89   -27.84
1977     -8.69    -8.53   -48.51    -3.35   -13.12
1978    -25.79   -37.73   -26.98    -4.99   -37.38
1979    -21.47   -15.92   -25.84    -2.88   -20.76
1980    -26.93   -28.95   -19.64    -3.86   -31.36
1981    -39.11   -42.72   -14.43    -3.39   -29.00
1982    -18.30    -9.77   -23.82    -2.83   -30.18
1983    -39.52   -33.94   -18.58    -5.72   -26.66
1984    -18.32   -30.28   -28.61    -4.03   -23.49
1985    -39.26   -37.41   -23.12    -4.47   -22.86
1986    -51.33   -47.53   -19.77    -1.97   -26.68
1987    -28.22   -25.55   -40.08    -4.91   -25.44
1988    -34.42   -31.14   -27.20    -3.03   -41.85
1989    -29.23   -24.17   -19.49    -3.49   -31.95
1990    -40.62   -37.19   -22.33    -1.96   -17.13
1991    -13.47   -13.97   -26.66    -3.91   -27.53
1992    -37.22   -32.39   -22.29    -4.66   -26.48
1993    -28.56   -24.50   -53.68    -2.72   -38.23
1994    -26.25   -29.76   -12.96    -6.28   -24.95
1995    -18.23   -13.60   -36.53    -3.43   -25.32
1996    -12.87   -26.99   -17.25    -2.83   -26.23
1997    -17.70   -15.14   -27.63    -6.33   -32.55
1998    -15.21   -13.61   -24.70    -4.34   -44.84
1999    -44.31   -41.74   -18.66    -5.50   -28.59
2000       NaN      NaN   -39.58    -6.47   -21.41
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046       NaN      NaN   -34.21    -5.31   -32.07
2047    -11.50   -10.01   -25.16    -6.50   -43.56
2048    -16.89    -9.07   -25.79    -2.56   -29.90
2049    -33.02   -28.90   -30.51    -2.85   -30.73
2050    -26.99   -41.82   -29.29    -2.51   -23.93
2051     -9.66    -5.08   -18.01    -7.42   -31.15
2052    -31.40   -34.60   -31.94    -4.17   -28.05
2053    -29.10   -42.97   -26.76    -4.71   -39.33
2054    -24.11   -25.69   -23.15    -4.82   -34.48
2055    -16.99   -24.09   -14.19    -5.09   -12.67
2056    -11.55   -12.74   -22.37    -6.92   -26.44
2057    -43.90   -43.88   -32.54    -3.90   -29.75
2058    -42.89   -40.52   -23.65    -3.94   -37.85
2059    -15.12   -12.51   -22.34    -5.75   -21.52
2060    -33.73   -41.92   -21.97    -4.27   -16.01
2061    -31.69   -23.97   -30.60    -3.91   -33.46
2062    -14.93   -10.53   -26.93    -4.05   -31.57
2063    -19.27   -15.90   -15.89    -7.26   -36.13
2064    -36.75   -31.65   -17.92    -4.45   -37.28
2065       NaN      NaN   -14.74    -3.36   -44.01
2066       NaN      NaN      NaN      NaN      NaN
