Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
        115.93   108.27    78.65     9.05    24.27
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961    -18.29   -15.77    -7.57     5.54   -18.55
1962    -11.57    -4.08   -16.67     9.98    23.73
1963    -16.10   -13.84    -4.18     3.61   -18.58
1964      0.93     8.46   -12.31    -4.97   -17.24
1965     -9.18    -1.81   -27.80    -6.37   -10.51
1966    -19.09   -13.16     3.03     1.06   -11.57
1967     -2.44     4.26    12.41    -2.66    -2.21
1968    -20.97   -15.65   -15.45     3.20    28.45
1969     -7.70    -8.19    -1.05    -3.78    -6.66
1970    -25.59   -24.06    -5.18    -0.97     8.56
1971     43.62    37.87    18.72     1.06   -14.29
1972     -4.10     2.93    11.54     1.60    21.65
1973    -25.60   -18.09   -38.45    -4.31   -19.31
1974    -11.72    -4.07    -1.37    -4.37    -7.72
1975     -3.38     0.21   -25.23    -1.37    35.09
1976    -10.92    -4.40   -21.32    -5.89    43.38
1977     -8.69    -1.02   -48.51    -3.35    -5.07
1978     65.83    -4.58    95.92    -0.81    35.65
1979    -16.46    -8.92   -11.81     0.55    26.82
1980    -18.39   -15.33     2.36    -1.13   -12.43
1981    -17.84   -16.56    -4.01     6.45    -8.01
1982    -10.83    -7.33    -5.95     0.64   -17.43
1983     -0.16     6.26    -4.17    -5.72    -9.62
1984     15.84    22.88    -4.19    -2.82    14.67
1985     -5.35    -6.62    10.28    12.51    25.69
1986      0.18     6.72    -8.64     8.29    40.56
1987     -9.43    -3.17    -3.75    -4.91    -8.85
1988     50.95    -6.79    71.59    -1.51   -16.36
1989     -7.86    -4.04    -6.24    -1.85    -5.25
1990     54.32    61.94   -18.94    -1.10   -17.13
1991      3.35     9.92    -1.71    -0.67    -0.57
1992    -12.26   -13.76    16.59     6.62    -4.22
1993     -8.57    -6.22    10.93    -1.08    -3.30
1994     37.99    42.37   -10.49    -6.28   -17.19
1995    -18.23   -13.60     7.52     3.33   -17.90
1996    -12.46    -5.78    -5.56    -0.92   -19.49
