Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         10.01     9.98     9.99     9.97     9.99
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     15.28    12.91     8.43    22.07    15.47
1962      6.92     9.86     3.27     4.28    14.53
1963     16.37    28.20    21.37    19.77    12.91
1964     10.81    12.13    10.04    10.55    15.58
1965     10.92    14.07    10.54    11.02    10.41
1966      5.88     8.09     9.42     4.93     0.83
1967      6.39     6.58     6.11     3.71     5.04
1968     18.30    33.73    25.48    19.50    24.08
1969      9.41    21.42     6.08     8.40     7.34
1970     10.18    11.33     7.52    13.94     7.21
1971     15.66    30.95    21.45    11.68     8.62
1972     10.43    12.96     7.56     8.91     8.65
1973     20.24    14.88    10.84    34.11    25.86
1974      3.93    13.02     1.22     1.41     4.82
1975      8.07     4.62     5.32     8.08    12.44
1976     14.50    13.77    22.10    15.53    17.47
1977     16.94    17.50     7.74    27.35    12.90
1978     11.22    10.00    11.08    11.43     3.44
1979      4.97    11.85     4.47     4.05     6.69
1980      9.54    13.18     8.93     7.49     6.76
1981     15.19    13.16    14.68    16.36    22.01
1982     10.25     8.18     5.97     3.59     7.74
1983     16.31     6.46    12.38    25.84     9.37
1984      8.04     6.51    12.66     6.78    14.04
1985      5.32     6.72    11.83     0.51     7.59
1986     14.80     9.06    14.32    14.39    11.39
1987      3.93     5.22     9.76     1.12     8.16
1988      2.74     1.37     2.66     2.03     6.69
1989     10.60     9.81    12.44    11.12     5.92
1990     11.07    11.39    18.88     6.82     9.52
1991     10.43     9.42    12.55    13.99     4.82
1992      3.03     7.14     1.89     0.24     9.73
1993     12.19    11.81    16.02     9.76    11.04
1994      9.42     3.94     1.24     7.87    11.54
1995     11.08     5.85    15.83    11.44    11.19
1996     12.50     8.28    20.93     8.59     8.80
1997      3.23    11.97     0.36     1.05    11.21
1998      7.61     0.75     1.24    12.38     1.73
1999      6.85     8.29     5.82     1.27    12.47
2000      8.90     4.15    12.31     7.05     8.80
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
