Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      6.82     5.99    12.57     6.67     5.60
1962      6.12     6.71     4.46     8.87     6.12
1963      7.15     2.62     7.56     5.16     7.33
1964      7.34     2.37     3.41     5.60     7.79
1965      4.48     3.14     4.44     8.95     3.92
1966      6.38     2.32     6.07     7.47     5.12
1967      6.40     4.91     6.24    10.00     7.09
1968      7.78     5.67     4.44     5.08     6.64
1969      7.23     4.28     5.19     7.84     6.92
1970      8.13     4.21     7.01     6.00     8.93
1971      5.70     5.34     6.16     4.39     7.76
1972      8.10     7.13     6.34     6.27     6.02
1973      6.82     5.84     5.26     6.44     5.67
1974      8.99     6.99     7.55     9.20     8.27
1975      8.97     7.34     8.48     8.67     6.58
1976      7.79     7.15     8.64     6.48     7.65
1977      7.98     6.46     5.06    10.47     8.23
1978      8.96     7.18    10.71     8.74     9.05
1979      7.77     7.34     9.16     8.05     7.26
1980      9.26     6.66    10.72    10.93     9.65
1981      8.93    10.34    10.96     8.74     8.82
1982      9.62     5.67    13.85    10.70    10.16
1983      9.37     6.35     8.04    10.58     8.78
1984      8.34     7.31    10.45     8.28     9.14
1985      8.98     8.23     8.61    11.24     9.86
1986      8.36     8.43     5.88     9.35     9.38
1987     10.70    10.36    11.49    11.30     9.53
1988     14.91    17.22    10.54    11.03    15.16
1989     11.09    15.40    12.67    14.44    11.00
1990     12.04    15.29    10.41    12.01    11.99
1991     11.65    16.19    15.45    15.58    11.42
1992     10.40     8.67     9.93    13.01    10.75
1993     13.64    15.92     8.84     6.42    13.13
1994     14.55    13.81    13.81    13.15    11.74
1995     12.75    11.95    13.22    12.45    12.19
1996     12.15    11.88    17.45     8.79    16.03
1997     15.51    18.18    12.15    14.04    14.35
1998     14.36    17.57    14.16    11.55    11.41
1999     12.05    16.00    12.95    10.94    10.47
2000     14.42    14.26    21.02    12.42    13.83
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     32.97    47.24    39.03    31.34    38.28
2047     33.72    55.68    38.37    37.61    34.74
2048     34.30    56.44    43.30    38.40    35.40
2049     40.40    60.08    48.06    43.54    38.24
2050     33.57    59.25    43.18    43.96    34.05
2051     39.50    69.85    44.92    39.49    43.93
2052     37.92    63.60    43.12    43.73    44.74
2053     36.28    64.38    47.71    36.61    44.80
2054     41.22    72.64    51.28    43.76    41.90
2055     39.89    67.05    50.00    43.89    45.82
2056     37.49    66.79    57.54    44.56    39.62
2057     41.04    64.63    51.71    49.07    36.79
2058     38.59    55.93    60.07    44.61    38.36
2059     44.21    61.66    57.01    43.35    37.42
2060     36.51    69.86    46.85    37.08    41.44
2061     43.34    71.90    57.44    55.12    41.22
2062     43.65    72.16    55.70    44.52    47.58
2063     42.48    79.91    57.04    50.70    45.60
2064     42.37    73.68    60.54    48.50    44.87
2065     42.66    69.74    61.82    44.47    48.26
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
