Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.97    10.04     9.99    10.03     9.99
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      9.62    18.33     7.92     6.16    13.31
1962     11.72    13.01    14.82    11.47    21.12
1963     13.76    13.93    10.23    16.38    16.12
1964     18.04    20.96    34.42    16.33    10.20
1965     16.68    20.26    26.04    15.55    19.98
1966      5.14     8.86     5.82     5.53    12.51
1967     10.31    14.63     8.91     8.20     5.60
1968     15.16     9.82    13.52    22.02    10.09
1969      8.30     7.41     3.32     8.47     5.68
1970      9.52     9.85    10.64    11.86    10.73
1971     18.98    19.66    17.07    21.08    24.74
1972     12.03    14.12    17.33    11.24    11.94
1973     12.09    11.57     8.88    15.51     7.48
1974     14.71    10.43    28.15    17.65    20.05
1975      7.31     9.91     3.45     7.85     8.46
1976     11.98     8.36    10.15    15.69     7.30
1977     10.70    11.83     7.67    11.84    12.51
1978     11.77     9.92     7.31    13.53    11.93
1979     10.64    11.67     8.65     9.56    15.75
1980     15.67    12.90    14.99    16.10    25.66
1981     12.15    10.95    15.59    12.25    11.63
1982      5.62     8.06     3.39     4.84     5.84
1983     10.56    13.91     6.46     8.71     9.79
1984      5.98    12.51     3.35     3.03     5.52
1985      8.14     7.25    13.49     4.66     5.38
1986     14.67    11.69    13.49    18.01    11.92
1987      5.23    12.93     3.16     3.22     9.53
1988      8.88     5.66     6.91     7.48     2.26
1989      9.84    11.29     6.92    12.20    11.85
1990      5.16     7.50     2.92     4.76     5.88
1991      4.18     8.94     6.88     2.32     4.49
1992      6.70     8.03     4.96     5.30     4.74
1993     12.56     5.47     8.18    15.69    11.65
1994     12.12     7.48    13.85    14.80     5.05
1995      6.78     9.89    11.80     2.26     6.21
1996      6.09     7.09     9.43     5.18     1.31
1997     10.96     6.87    14.54     7.48    16.53
1998      7.27     6.83     9.58     5.22     3.06
1999     10.81     8.74    10.59    11.63    10.38
2000      9.50     5.39    14.99     8.62     9.97
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.13     4.12     1.91     1.13     6.18
2047      2.39     2.62     2.35     0.60     4.12
2048      3.76     3.08     5.53     2.45     3.55
2049      1.52     0.63     3.47     0.13     1.98
2050      2.38     0.77     4.77     1.06     4.46
2051      2.84     1.79     3.47     1.82     3.20
