Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      7.07     6.52     5.25     6.89     5.08
1962      7.97     7.56     2.78     5.01     5.22
1963      7.84     7.75     7.74     7.27     5.92
1964      7.74     5.58     5.36     4.86     6.09
1965      7.90     8.61     3.81     5.91     3.54
1966      8.74     7.75     7.77     8.31     5.93
1967      9.72     7.47     6.17     8.58     9.47
1968     10.71    12.79     5.64     7.09     8.18
1969      8.72     7.92    10.94     9.90     7.68
1970      7.90     5.03     5.13     4.86     9.54
1971      9.35     4.91     2.93     2.49     8.21
1972      8.12     9.64    12.09    11.05     5.87
1973     11.92     9.52     5.81    13.32     8.49
1974     10.51    10.12     7.23     8.57     8.21
1975      9.20     7.08    19.53    11.02    10.37
1976      8.89    10.18     4.81    10.86    10.07
1977      8.95     8.34     9.05     8.79     9.12
1978      9.73     6.81     6.25     7.94    12.44
1979      8.30     7.77     4.49     6.40     8.12
1980     10.13     9.60     4.89     7.26    11.87
1981      8.97    14.09    13.28     6.84     9.00
1982      9.01     5.81     9.58    11.93     9.03
1983      9.45     5.87     4.98     7.93     7.98
1984      9.23     9.18     9.98    13.22     6.28
1985     11.75     8.37    10.58     5.53     9.95
1986     10.14     9.33     9.82     5.98     8.88
1987     10.50     9.48    11.21    11.60    10.53
1988     14.12    13.49    11.62    11.52    17.37
1989     10.47    13.62    10.19    13.98     9.94
1990     11.98    15.09     4.93    10.37     9.94
1991     12.05    18.26    17.41    15.71    12.62
1992      7.97     5.14     5.71     7.57     5.24
1993     11.63    13.72     7.27     7.54    12.94
1994     10.89     9.72    14.98    11.12     9.62
1995     11.79    11.56     9.16    12.01    10.91
1996     11.12     8.35     8.85    11.37    13.08
1997     12.35    14.69    10.18    17.72    12.27
1998     12.66    14.47    14.36    10.02    14.61
1999     11.46     9.98     9.96     9.13    11.72
2000     11.53    12.15    12.28     9.79     9.99
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     19.22    24.22    29.10    27.86    34.47
2047     18.10    16.97    23.73    34.48    27.63
2048     19.54    24.40    27.77    24.62    35.22
2049     21.69    36.12    34.24    27.11    28.90
2050     17.25    21.52    40.27    36.11    33.61
2051     18.71    34.03    23.09    17.66    41.62
2052     20.12    26.91    22.83    22.19    37.76
2053     23.96    35.62    37.15    32.91    41.43
2054     22.25    33.60    36.36    31.26    38.27
2055     21.57    35.78    37.85    32.50    40.15
2056     20.73    34.58    37.56    29.80    35.45
2057     21.35    35.93    41.66    32.69    45.72
2058     22.18    44.67    33.68    29.28    44.81
2059     19.50    34.94    52.12    29.11    35.45
2060     21.86    29.90    32.91    35.38    39.42
2061     23.76    29.48    55.42    40.62    42.60
2062     25.76    36.97    43.74    33.90    48.70
2063     21.81    34.77    44.54    34.14    38.81
2064     23.78    37.41    38.34    29.91    43.02
2065     21.14    32.93    37.33    37.54    42.97
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
