Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
        22.62   23.55   22.37   20.62   23.92
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960    0.21    0.81    0.78    0.15   -0.37
 1961   -0.08   -0.62    0.29   -0.04    0.03
 1962    0.61    0.70    0.47    0.39    0.88
 1963   -0.08   -0.26   -0.42   -0.19    0.55
 1964   -0.32   -0.77   -0.45   -0.99    0.92
 1965   -0.61   -0.52   -1.09   -0.76   -0.05
 1966   -0.15    0.07   -0.75   -0.02    0.11
 1967    0.20    0.18   -0.11   -0.16    0.91
 1968   -0.11    0.43   -0.30   -0.70    0.15
 1969   -0.20   -0.22    0.13   -0.32   -0.37
 1970    0.12   -0.07    0.11    0.15    0.31
 1971   -0.06    0.10    0.07   -0.31   -0.09
 1972    0.07    0.36    0.60   -0.29   -0.39
 1973   -0.33   -0.64    0.28   -0.86   -0.10
 1974    0.03   -0.45   -0.78    0.76    0.59
 1975   -0.48   -0.61   -0.08   -0.28   -0.95
 1976   -0.24   -0.12   -0.25   -0.71    0.10
 1977    0.33    0.13    0.70   -0.23    0.73
 1978    0.07   -0.13   -0.31    0.22    0.49
 1979    0.19    0.10   -0.03    0.17    0.54
 1980   -0.04   -0.18    0.23   -0.32    0.12
 1981   -0.16    0.41   -0.52   -0.28   -0.23
 1982   -0.19   -0.28   -0.07   -0.28   -0.12
 1983    0.11    0.03   -0.63    0.83    0.20
 1984   -0.57   -0.56   -0.25   -0.73   -0.73
 1985   -0.11   -0.38   -0.39    0.08    0.26
 1986    0.54    0.96    0.93    0.08    0.18
 1987    0.22    0.69    0.12    0.31   -0.23
 1988    0.12   -0.18   -0.07    0.26    0.48
 1989    0.51    0.51    0.65    0.44    0.43
 1990    0.52    1.25    0.36    0.06    0.40
 1991    0.24    0.10   -0.10    0.63    0.31
 1992   -0.41   -0.30   -0.87    0.22   -0.72
 1993   -0.36   -0.48   -0.31   -0.59   -0.05
 1994   -0.21   -0.45   -0.09   -0.03   -0.28
 1995    0.22    0.51   -0.02    0.55   -0.15
 1996   -0.24   -0.48    0.50   -0.08   -0.87
 1997   -0.30   -0.08    0.27   -0.55   -0.86
 1998    0.09    0.05    0.29    0.64   -0.63
 1999    0.31    0.20   -0.34    0.13    1.26
 2000    0.62    0.32    0.82    0.43    0.90
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004     NaN     NaN    0.91    0.62    0.37
 2005    0.43    0.57    0.38    0.41    0.36
 2006    0.87   -0.03    0.99    1.36    1.16
 2007    0.38    0.06    0.25    0.53    0.69
 2008    0.99    0.35    1.01    0.90    1.71
 2009    0.62    0.87    0.39   -0.13    1.36
 2010    0.94    1.45    0.96    0.25    1.10
 2011    1.08    0.66    0.66    0.84    2.15
 2012    0.79    0.73    0.40    0.38    1.64
 2013    0.66   -0.08    0.77    0.54    1.41
 2014    0.67    0.32    0.71    0.57    1.07
 2015    0.69    0.57    0.39    0.86    0.94
 2016    0.89    0.27    0.38    0.94    1.99
 2017    0.81    1.11    0.78    1.03    0.34
 2018    0.62    0.52    0.90    0.50    0.55
 2019    0.74    0.28    0.83    1.06    0.81
 2020    0.41    0.23    0.16    0.77    0.48
 2021    0.67    0.64    0.51    0.35    1.18
 2022    1.09    1.70    0.62    1.27    0.79
 2023    1.52    1.57    1.00    1.03    2.49
 2024    0.89    0.64    0.81    0.76    1.36
 2025    0.62    0.21    0.64    1.05    0.56
 2026    1.34    1.45    0.77    1.08    2.07
 2027    1.28    1.25    1.15    0.98    1.73
 2028    1.22    1.59    1.12    0.59    1.57
 2029    1.19    0.99    0.67    1.17    1.93
 2030    1.40    1.80    1.49    0.90    1.40
 2031    1.39    0.78    1.28    1.49    1.99
 2032    1.53    1.60    1.30    1.37    1.84
 2033    1.24    1.18    1.36    1.04    1.39
 2034    1.54    1.30    1.24    1.47    2.15
 2035    0.99    0.47    1.04    0.73    1.73
 2036    1.28    2.06    1.03    1.07    0.97
 2037    1.52    0.70    1.12    2.08    2.19
 2038    1.39    1.91    0.83    0.87    1.94
 2039    2.27    2.82    2.27    2.15    1.82
 2040    1.10    0.90    1.50    0.91    1.11
 2041    1.63    1.53    1.68    0.97    2.35
 2042    1.94    1.90    1.77    1.86    2.24
 2043    1.91    1.59    1.66    2.25    2.12
 2044    1.81    1.70    1.59    1.89    2.05
 2045    1.82    1.23    1.89    1.05    3.13
 2046    2.11    2.48    2.70    1.83    1.43
 2047    1.81    2.02    1.64    1.90    1.67
 2048    1.60    1.67    1.27    1.46    2.00
 2049    2.15    1.91    1.92    2.49    2.27
 2050    1.74    2.17    1.67    1.56    1.57
 2051    2.03    1.66    1.80    2.03    2.62
 2052    2.18    1.69    2.07    2.01    2.94
 2053    1.71    1.80    1.78    1.66    1.61
 2054    1.98    1.57    1.59    1.66    3.09
 2055    1.98    1.23    1.96    1.93    2.81
 2056    2.68    2.77    2.46    1.62    3.88
 2057    2.10    1.47    1.70    2.23    3.00
 2058    2.20    2.29    1.76    2.08    2.67
 2059    2.65    2.29    2.66    2.82    2.83
 2060    2.18    1.49    1.97    2.13    3.15
 2061    2.18    2.09    1.93    2.35    2.37
 2062    2.19    1.78    2.71    1.33    2.94
 2063    2.63    3.02    2.26    2.48    2.77
 2064    2.05    1.35    1.65    2.50    2.70
 2065    2.43    1.77    1.99    2.53    3.42
 2066    2.64    2.75    2.38    2.66    2.77
 2067    2.71    3.38    2.75    2.41    2.30
 2068    2.92    3.00    2.80    2.54    3.36
 2069    3.32    3.62    3.34    3.32    3.01
 2070    2.97    2.85    2.78    2.80    3.46
 2071    2.77    2.51    2.94    2.24    3.41
 2072    3.35    3.09    3.10    3.33    3.86
 2073    2.81    2.08    2.62    2.86    3.67
 2074    2.66    3.01    2.84    2.37    2.42
 2075    2.45    2.67    2.11    2.12    2.91
 2076    3.11    3.16    2.95    3.08    3.26
 2077    3.18    3.20    2.66    2.92    3.96
 2078    2.98    2.52    2.61    3.04    3.73
 2079    3.78    3.38    3.60    3.66    4.48
 2080    3.06    2.22    2.94    3.44    3.63
 2081    3.09    2.87    3.06    2.29    4.14
 2082    3.71    3.48    3.56    3.76    4.05
 2083    3.62    3.81    3.47    3.48    3.74
 2084    3.55    3.07    3.34    3.73    4.07
 2085    3.14    2.24    3.43    3.64    3.26
 2086    3.66    3.71    3.53    3.33    4.05
 2087    3.84    4.09    3.20    4.17    3.89
 2088    3.71    3.94    3.50    3.55    3.85
 2089    3.56    3.36    3.20    3.74    3.95
 2090    3.68    3.43    3.35    4.34    3.60
 2091    4.27    4.36    4.39    4.12    4.23
 2092    3.32    2.41    3.53    3.38    3.98
 2093    3.95    4.81    3.08    3.88    4.05
 2094    4.39    4.14    4.29    4.40    4.74
 2095    3.99    3.79    4.55    3.59    4.02
 2096    4.03    4.65    3.20    3.76    4.53
 2097    4.14    4.31    4.19    4.15    3.90
 2098    3.85    3.34    4.10    3.92    4.05
 2099    4.39    4.18    4.11    4.43    4.83
 2100    4.30    4.80    4.54    3.43    4.43
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004     NaN     NaN    0.16    0.56    0.87
 2005    0.84    0.72    0.69    0.58    1.39
 2006    0.57    0.64    0.48    0.42    0.74
 2007    0.72    0.72    0.63    0.78    0.78
 2008    1.00    0.70    0.66    1.15    1.48
 2009    0.98    0.57    0.56    1.07    1.72
 2010    0.91    0.91    0.66    0.60    1.46
 2011    0.96    1.39    1.20    0.36    0.89
 2012    0.95    1.13    0.99    0.53    1.15
 2013    1.12    1.14    0.44    1.15    1.73
 2014    1.24    0.41    0.92    1.09    2.55
 2015    1.15    1.64    0.70    1.28    1.00
 2016    1.39    1.36    1.00    1.48    1.73
 2017    1.12    1.43    0.90    0.78    1.37
 2018    0.54    0.85    0.40    0.51    0.41
 2019    0.71    0.56    0.60    0.50    1.16
 2020    0.66    1.02    0.42    0.23    0.99
 2021    1.33    1.71    1.16    1.67    0.79
 2022    0.97    0.37    0.34    0.92    2.26
 2023    0.82    0.57    1.15    0.57    1.01
 2024    1.01    0.93    0.62    1.19    1.33
 2025    1.64    1.43    1.33    0.98    2.80
 2026    1.36    1.43    1.59    1.23    1.17
 2027    1.23    0.91    1.07    1.27    1.67
 2028    1.43    1.14    1.31    0.87    2.43
 2029    1.07    0.83    0.61    0.98    1.86
 2030    1.60    1.46    1.62    2.10    1.23
 2031    1.15    0.69    1.47    0.86    1.58
 2032    1.40    1.94    1.33    0.70    1.62
 2033    1.94    1.67    1.84    2.03    2.23
 2034    1.26    1.15    1.23    1.37    1.29
 2035    1.67    2.05    1.16    1.46    2.01
 2036    1.65    1.27    1.37    1.35    2.62
 2037    1.60    1.22    1.19    1.14    2.88
 2038    1.73    1.90    1.23    1.67    2.11
 2039    1.74    1.71    1.95    1.73    1.57
 2040    1.55    1.51    1.53    0.99    2.17
 2041    1.85    2.26    1.62    1.97    1.57
 2042    1.82    1.66    1.75    2.09    1.79
 2043    1.61    1.49    1.25    1.67    2.05
 2044    1.72    1.83    1.49    1.43    2.14
 2045    1.73    1.84    1.49    2.23    1.35
 2046    1.49    1.79    1.60    1.28    1.31
 2047    1.90    1.89    1.92    1.77    2.03
 2048    1.71    1.64    1.75    1.92    1.53
 2049    1.65    2.07    1.37    1.80    1.36
 2050    1.76    1.44    1.72    1.01    2.87
 2051    2.19    2.09    2.02    2.22    2.43
 2052    2.03    2.26    1.52    1.73    2.59
 2053    1.46    1.45    1.33    1.42    1.63
