Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     DJF     MAM     JJA     SON
         78.4   205.9    66.0     9.0    32.9
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960  -34.17   -8.30  -52.41  -44.39  -17.66
 1961   -2.61    5.03   -0.82   20.40  -60.40
 1962  -16.86   -5.00  -37.74    1.73  -54.28
 1963  -20.13  -19.57  -10.51  -16.68  -43.93
 1964  -23.83  -18.09  -36.78  -16.03  -35.99
 1965    4.12    2.59  -25.36  -13.82   77.86
 1966    6.60   -8.20   32.35   42.10   37.94
 1967  -15.40  -17.66  -10.34   -9.12  -13.12
 1968   16.68   27.09  -13.83  -10.98   20.24
 1969   11.03    6.83   21.62  -20.07   24.55
 1970   -7.07   -1.80  -21.38   -6.18  -11.60
 1971  -15.66  -19.15  -15.69  108.40  -27.60
 1972   -4.32  -12.72   39.13  -59.97  -23.80
 1973  -11.30   -7.78  -28.34   21.58   -8.16
 1974   24.76    7.07   60.96   24.83   62.94
 1975   16.19   11.63   56.07   29.22  -38.89
 1976   -4.59   -8.33   24.81    6.08  -43.14
 1977   19.24   19.29    6.33   33.55   40.90
 1978   -4.08   -5.57    5.18  -17.11   -9.84
 1979   24.70    3.60   46.59   69.20  100.83
 1980  -23.53  -24.38  -12.23    1.49  -47.80
 1981   13.87   16.52   -2.36   10.74   30.65
 1982    1.06    0.34   33.88   11.41  -63.14
 1983  -29.29  -38.72  -48.54  -25.42   67.44
 1984    1.07   18.19  -26.54   24.82  -57.22
 1985  -17.84   -7.40  -40.72  -45.77  -29.63
 1986  -13.80  -43.90   44.69   53.81   38.89
 1987   10.33    8.98  -15.39  -29.57   81.34
 1988    9.72    3.17   19.58  122.09    0.20
 1989   -6.72  -13.80   -7.40  -58.37   53.13
 1990    3.32   17.32  -25.25  -21.82  -20.17
 1991    3.64  -10.95   40.08  -25.17   29.83
 1992   13.68   27.15  -21.68  -55.41   19.16
 1993    8.13   18.91   10.90  -26.69  -55.51
 1994    7.34   17.97  -22.42  -12.62    5.94
 1995    4.50    9.69    7.69   -9.41  -30.65
 1996    1.27   11.41  -11.88   15.63  -39.79
 1997  -10.49    0.27  -19.34  -68.95  -44.15
 1998    4.61   12.16  -30.71   -9.45   32.03
 1999  -18.71   -9.17  -46.01  -60.95  -12.17
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000  -21.49   17.55  -32.11  -47.25  -54.68
 2001  -30.60  -23.90  -61.13  -54.39   -4.73
 2002    3.26   15.22  -34.71   -8.72    7.86
 2003    5.16   14.97  -26.20   58.68   -7.90
 2004   10.07   15.30  -28.56  -13.72   61.36
 2005  -14.90   -5.96  -24.31   15.14  -60.26
 2006   -4.31   -9.21    3.92   -5.30   10.08
 2007   -8.71   11.74  -46.29  -46.57  -51.04
 2008   -5.53  -13.48   -0.54   52.36   18.40
 2009   -4.33    6.43  -17.01   15.21  -51.63
 2010   -6.44   -4.43    5.84   23.93  -52.01
 2011   -1.60   -6.93   64.27  -46.94  -88.13
 2012  -30.78  -23.41  -45.45   -9.94  -53.17
 2013  -29.71  -13.37  -59.41  -24.71  -73.86
 2014  -20.50   -2.91  -54.11  -80.33  -46.89
 2015    9.94   22.15  -20.89  -50.11   11.71
 2016   -3.07   -4.80    0.27  -45.11   12.59
 2017   -6.51  -11.56   39.73   16.33  -73.97
 2018  -25.31  -14.78  -67.92  -28.96   -4.66
 2019    8.11   13.91  -15.47  -44.17   33.46
 2020   -7.22    0.60   -1.72   21.63  -75.16
 2021  -27.20  -39.27   13.38    2.41  -41.16
 2022  -29.61  -34.52   -9.32   46.31  -60.35
 2023  -29.39  -37.51  -36.63   16.90   23.43
 2024   -6.94  -12.68   36.32  -41.47  -48.44
 2025  -12.92  -14.41   13.60  -32.71  -51.48
 2026  -16.67   -1.10  -38.57  -15.03  -70.72
 2027   11.84   22.55  -29.08  -22.53   36.31
 2028   -0.13  -17.95   57.91  -25.85    2.01
 2029    2.43   11.39  -16.94  -46.68   -1.33
 2030   -3.19   10.33  -40.46  -38.32   -3.43
 2031   11.39   -2.35   71.44    3.32  -20.86
 2032  -14.55   -6.11  -30.85  -42.64  -27.04
 2033   -2.75   14.67  -55.24  -15.66   -3.01
 2034  -12.78    5.09  -49.45  -20.89  -48.92
 2035  -11.92  -15.78    3.38  -24.69  -14.96
 2036  -15.44   -0.13  -66.96    2.14  -12.75
 2037    8.94   17.28  -21.45  -22.71   26.39
 2038   18.25   31.44    3.85  -51.40  -16.49
 2039    1.22   13.72  -14.56   15.57  -49.41
 2040  -14.76    2.43  -33.52  -43.02  -77.03
 2041  -38.72  -38.38  -25.38   -5.70  -76.67
 2042  -31.97  -14.33  -68.81  -51.73  -63.14
 2043   -8.37    3.81  -17.50   -6.66  -66.90
 2044  -16.67  -22.97    3.16   -7.27  -19.53
 2045  -18.00   -9.60  -22.32  -30.74  -58.43
 2046  -13.66    1.94  -39.23  -71.82  -44.19
 2047  -15.10    1.94  -52.81  -85.89  -26.76
 2048  -12.73   -8.45   -1.29  -68.61  -47.19
 2049    3.44   13.52  -10.22  -49.88  -17.66
 2050   23.11   30.77   -6.81  -20.36   47.11
 2051   -6.60   16.20  -49.16  -72.77  -45.87
 2052    0.34   -2.09   37.72   20.15  -64.94
 2053  -27.64  -17.41  -34.90  -62.01  -67.77
 2054  -34.51  -46.46  -21.39  -25.60   11.62
 2055  -13.83  -11.03   -0.38  -39.70  -51.27
 2056    2.84   10.74    6.62  -64.33  -35.92
 2057    1.87   14.87  -36.01  -94.96   22.97
 2058  -23.66   -1.67  -70.33  -87.32  -50.29
 2059  -18.05  -13.45   -5.58  -56.52  -61.39
 2060  -12.12  -16.19   10.51   57.64  -51.10
 2061   -5.11  -10.05   21.74   26.01  -36.59
 2062  -13.09   16.76  -67.82  -90.51  -69.00
 2063  -13.22    1.93  -21.68  -61.89  -77.84
 2064  -20.15  -29.19   29.47    0.60  -68.89
 2065  -13.80   -4.51  -45.59  -76.72    9.07
 2066   11.47   19.05    1.33  -74.36    7.82
 2067  -16.07   -9.22  -59.36  -57.82   39.39
 2068    6.77   25.94  -14.61  -28.00  -60.96
 2069  -22.82  -15.25  -26.11  -12.35  -66.55
