Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     DJF     MAM     JJA     SON
 1960   92.36  218.43  105.14    5.79   40.07
 1961  108.29  249.91  147.04   23.70   45.97
 1962  111.98  260.42  144.03    8.35   35.13
 1963  116.77  259.83  151.34    5.79   59.51
 1964   85.12  235.27   72.84    9.63   30.78
 1965   93.86  225.79  119.32    5.86   33.36
 1966   88.72  217.62  107.77   10.83   28.22
 1967   99.95  188.48  161.72   20.75   38.72
 1968   93.21  212.60  105.31   14.66   40.25
 1969   96.27  239.65  122.78    8.52   32.23
 1970   95.12  245.82   78.00    6.98   49.86
 1971   98.63  267.86  118.54    9.99   31.82
 1972   93.16  204.10  111.27   13.11   61.14
 1973   90.36  239.20  103.63   10.94   26.88
 1974  112.60  234.77  184.38   17.95   32.89
 1975   91.40  221.04  131.77    9.65   42.12
 1976  109.03  236.30  172.21   12.01   35.46
 1977   88.51  213.84  107.19    7.96   39.04
 1978  108.83  219.51  162.89    9.83   43.10
 1979  116.83  253.06  152.15   10.68   52.95
 1980   96.34  195.60  158.05    7.48   24.23
 1981  100.51  264.32  103.10    4.86   30.59
 1982  103.82  218.66  120.20   11.71   64.69
 1983   82.53  196.07   97.57   20.46   17.05
 1984   99.26  227.23  116.86   11.13   43.56
 1985  118.28  243.33  148.36    7.49   73.93
 1986  102.58  250.88  112.11    6.86   44.03
 1987   81.03  223.11   75.53    5.79   22.29
 1988   94.88  217.15  112.32    8.06   41.99
 1989  111.31  258.59  150.91   11.48   48.07
 1990   83.76  217.94   90.30    7.39   23.57
 1991   97.25  200.37  141.93   12.09   38.96
 1992   72.08  165.37   85.05    9.50   41.66
 1993   85.20  228.02  107.56   12.92   32.91
 1994   84.62  208.99   97.28   11.25   20.97
 1995   78.29  204.73   84.07    8.04   16.30
 1996  105.20  257.54  128.24   10.14   25.24
 1997  101.26  288.96   91.02   14.53   37.38
 1998   89.33  243.20   90.67    8.34   21.37
 1999  120.41  261.65  224.45   11.92   46.83
 2000   89.41  212.83   94.54    6.42   54.30
 2001   90.62  208.91  117.50    9.27   26.81
 2002  114.84  234.25  185.03    9.86   30.23
 2003   96.43  225.81  123.57   17.62   18.74
 2004   89.87  191.43  118.76   13.53   35.77
 2005   72.55  161.30   99.20    8.97   20.71
 2006   75.54  125.78  128.15   10.72   37.50
