Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     DJF     MAM     JJA     SON
1960      NaN     NaN     NaN     NaN     NaN
1961    97.36  214.74  144.18   23.70   45.97
1962   111.98  260.42  144.03    8.35   35.13
1963   116.77  250.43  151.34    5.79   59.51
1964    85.12  235.27   72.84    9.63   22.76
1965    93.86  217.12  119.32    5.86   33.14
1966    88.72  208.25  107.77   10.83   28.04
1967    94.45  169.06  149.26   20.75   38.72
1968    93.21  212.60  105.31   14.66   40.25
1969    96.27  233.93  122.78    8.52   19.85
1970    95.12  245.82   78.00    6.77   49.86
1971    98.63  267.86   91.21    3.62   31.82
1972    93.16  204.10  111.27   13.11   44.15
1973    81.42  188.45  103.63   10.94   22.64
1974   112.60  224.80  184.38   17.95   23.27
1975    91.40  197.78  131.77    9.65   26.38
1976   109.03  229.74  172.21   12.01   22.16
1977    88.51  199.83  107.19    7.96   39.04
1978   108.83  219.51  162.89    9.83   43.10
1979   116.83  253.06  152.15   10.68   51.43
1980    96.34  195.60  158.05    7.48   24.23
1981   100.51  264.32  103.10    4.86   29.78
1982   103.82  218.66  120.20   11.71   64.69
1983    82.53  196.07   97.57   20.46   16.01
1984    99.26  227.23  116.86   11.13   41.81
1985   118.28  243.33  148.36    7.49   73.93
1986   102.58  250.88  112.11    5.70   41.64
1987    81.03  223.11   75.53    5.79   19.71
1988    94.88  217.15  112.32    8.06   41.99
1989   111.20  234.34  150.91   11.48   48.07
1990    83.76  217.94   90.30    7.39   19.43
1991    97.25  200.37  141.93   12.09   34.61
1992    72.01  159.97   76.90    9.50   41.66
1993    84.12  192.93  107.56   12.92   23.05
1994    84.62  208.99   97.28   11.25   20.97
1995    78.29  204.73   84.07    8.04   16.30
1996   105.20  257.54  127.89   10.14   25.24
1997    90.97  220.94   91.02   14.53   37.38
1998    89.16  238.23   88.69    8.34   21.37
1999   120.41  198.43  224.45   11.92   46.83
2000    89.41  212.83   94.54    6.42   43.84
2001    90.62  208.91  117.50    9.27   26.81
2002   114.84  234.25  185.03    9.86   30.23
2003    96.43  225.81  123.57   17.62   18.74
2004    89.87  191.43  118.76   13.53   35.77
2005    72.55  161.30   99.20    8.97   20.71
2006    75.54  125.78  128.15   10.72   37.50
