Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
 Year  Annual     DJF     MAM     JJA     SON
 1960   21.24   21.75   20.66   17.86   24.88
 1961   21.64   23.05   21.54   18.09   24.09
 1962   21.39   22.36   20.62   18.65   23.95
 1963   21.13   22.09   20.25   18.15   24.03
 1964   21.35   22.68   20.94   18.02   23.77
 1965   21.06   22.22   20.21   17.87   23.93
 1966   21.49   22.63   20.86   18.48   23.99
 1967   21.48   22.96   21.14   18.36   23.47
 1968   21.22   22.36   20.59   18.11   23.84
 1969   21.84   22.77   21.54   18.66   24.41
 1970   21.81   22.72   21.13   19.23   24.16
 1971   21.17   21.95   20.86   18.36   23.51
 1972   21.46   22.59   21.34   18.01   23.89
 1973   21.63   23.16   21.12   18.00   24.22
 1974   21.10   22.23   20.43   18.13   23.62
 1975   21.34   22.57   21.21   18.22   23.36
 1976   21.23   22.37   20.61   17.66   24.28
 1977   21.90   23.18   21.22   18.75   24.44
 1978   21.68   23.09   21.05   18.34   24.23
 1979   21.57   22.62   21.15   18.33   24.17
 1980   21.71   22.93   21.32   18.04   24.54
 1981   21.51   23.04   20.88   18.10   24.03
 1982   21.51   23.00   21.12   18.76   23.16
 1983   22.35   23.37   22.39   19.24   24.40
 1984   21.52   22.62   21.06   18.40   24.00
 1985   21.31   22.48   20.90   18.27   23.59
 1986   21.49   22.54   21.29   18.31   23.84
 1987   22.15   22.90   22.03   18.86   24.82
 1988   22.20   23.83   21.85   19.19   23.92
 1989   21.48   22.60   20.87   18.53   23.92
 1990   21.96   22.90   21.82   19.02   24.11
 1991   21.82   23.45   21.33   18.54   23.96
 1992   22.18   23.07   22.31   18.76   24.58
 1993   21.81   23.11   21.57   18.49   24.05
 1994   21.92   23.31   21.41   18.71   24.24
 1995   22.25   23.18   21.74   19.08   25.02
 1996   21.91   22.94   21.30   18.51   24.88
 1997   21.92   22.83   21.29   19.35   24.20
 1998   22.25   23.29   21.95   19.07   24.68
 1999   21.64   23.41   20.96   18.70   23.49
 2000   21.80   23.26   20.99   18.65   24.30
 2001   21.96   22.44   21.28   18.97   25.16
 2002   22.28   23.50   21.11   19.53   24.99
 2003   22.14   23.20   21.37   19.00   24.99
 2004   21.96   22.98   21.19   19.16   24.52
 2005   22.59   23.26   21.86   19.77   25.48
 2006   21.99   23.06   20.53   19.03   25.31
