Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     DJF     MAM     JJA     SON
      21.7261      22.9107      21.3172      18.5662      24.1104
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
 Year  Annual     DJF     MAM     JJA     SON
 1960   -0.32   -0.66   -0.10   -0.69    0.33
 1961   -0.08    0.14    0.22   -0.48   -0.02
 1962   -0.33   -0.55   -0.70    0.09   -0.17
 1963   -0.60   -0.82   -1.07   -0.42   -0.08
 1964   -0.37   -0.23   -0.38   -0.55   -0.34
 1965   -0.67   -0.69   -1.10   -0.70   -0.18
 1966   -0.23   -0.28   -0.46   -0.09   -0.12
 1967   -0.24    0.05   -0.17   -0.20   -0.64
 1968   -0.50   -0.55   -0.73   -0.45   -0.27
 1969    0.12   -0.14    0.22    0.09    0.30
 1970    0.09   -0.19   -0.18    0.67    0.05
 1971   -0.56   -0.96   -0.45   -0.21   -0.60
 1972   -0.27   -0.32    0.03   -0.55   -0.22
 1973   -0.10    0.25   -0.19   -0.57    0.11
 1974   -0.62   -0.68   -0.89   -0.43   -0.49
 1975   -0.38   -0.34   -0.10   -0.34   -0.75
 1976   -0.49   -0.54   -0.70   -0.90    0.17
 1977    0.17    0.27   -0.10    0.19    0.33
 1978   -0.05    0.18   -0.27   -0.22    0.12
 1979   -0.16   -0.29   -0.16   -0.23    0.06
 1980   -0.02    0.02   -0.00   -0.53    0.43
 1981   -0.21    0.13   -0.44   -0.47   -0.08
 1982   -0.22    0.09   -0.20    0.19   -0.95
 1983    0.62    0.46    1.07    0.67    0.29
 1984   -0.21   -0.29   -0.25   -0.17   -0.11
 1985   -0.42   -0.43   -0.42   -0.29   -0.52
 1986   -0.23   -0.37   -0.03   -0.25   -0.27
 1987    0.43   -0.01    0.71    0.30    0.71
 1988    0.47    0.92    0.53    0.62   -0.19
 1989   -0.25   -0.31   -0.45   -0.03   -0.20
 1990    0.24   -0.01    0.51    0.45   -0.00
 1991    0.09    0.54    0.01   -0.02   -0.15
 1992    0.45    0.16    0.99    0.19    0.47
 1993    0.08    0.20    0.25   -0.07   -0.06
 1994    0.19    0.40    0.09    0.14    0.13
 1995    0.53    0.27    0.42    0.51    0.91
 1996    0.18    0.02   -0.02   -0.06    0.77
 1997    0.19   -0.08   -0.03    0.79    0.09
 1998    0.52    0.38    0.63    0.51    0.57
 1999   -0.09    0.50   -0.35    0.13   -0.63
 2000    0.07    0.47   -0.18    0.04   -0.04
 2001    0.23   -0.35    0.10    0.36    0.82
 2002    0.60    0.88    0.09    0.88    0.54
 2003    0.46    0.59    0.36    0.35    0.55
 2004    0.28    0.37    0.18    0.51    0.07
 2005    0.91    0.64    0.85    1.13    1.03
 2006    0.67    1.38    0.51    0.46    0.35
