Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -73.89   -20.65     1.60     6.06    -9.39
1961    -21.91   -50.06   -12.20   -25.80   -29.60
1962    -15.05   -46.49   -22.77   -19.70   -38.63
1963     -8.76   -37.56   -23.92   -18.34   -28.02
1964     -3.62   -42.89   -14.08    -8.41   -23.94
1965    -22.31   -21.37   -33.10   -23.80   -37.22
1966     -4.94   -19.07   -24.54   -20.80   -52.87
1967    -13.51   -24.41   -28.48   -17.95   -45.06
1968    -17.97   -16.52   -18.89   -19.97   -30.17
1969    -29.12   -15.32   -27.13   -15.25   -50.04
1970    -14.42   -26.26   -16.07   -21.69   -40.26
1971    -24.47   -23.52   -26.45   -36.47   -31.91
1972    -11.32   -25.48   -33.41   -10.65   -41.96
1973     -5.69   -19.00   -22.88   -17.87   -39.91
1974     -9.51   -68.37   -14.41   -16.24   -26.12
1975    -14.21   -38.99   -36.24   -17.14   -45.74
1976    -17.81   -32.27   -28.86   -18.10   -26.78
1977     -8.04   -19.70   -15.42   -23.20   -37.85
1978    -13.28   -23.06   -16.30   -20.36   -48.82
1979    -31.72   -13.23   -27.48   -20.71   -53.91
1980     -9.71   -16.31   -14.87   -20.15   -21.44
1981    -16.51   -43.48   -29.78   -30.49   -27.95
1982    -25.40   -25.32   -30.69   -21.75   -52.60
1983     -7.37   -22.54   -21.01   -21.86   -39.80
1984    -15.18   -20.54   -23.59   -24.08   -44.47
1985     -7.39   -22.72   -23.23   -15.13   -47.92
1986    -10.90   -23.10   -19.33   -20.17   -19.56
1987     -5.01   -20.64   -21.84    -6.86   -29.80
1988    -11.47   -23.95   -20.28    -4.44   -25.62
1989     -1.75   -24.46   -20.85   -28.49   -21.10
1990     -3.89   -39.50   -28.82   -26.71   -26.98
1991    -26.07   -45.36   -23.89   -22.14   -33.56
1992    -35.77   -25.82   -20.54   -22.06   -43.49
1993     -5.11   -30.68   -11.73   -25.85   -15.28
1994     -9.71   -55.49   -31.50   -13.90   -19.40
1995    -16.19   -38.94   -29.03   -16.91   -28.19
1996     -5.92   -45.19   -35.60   -17.41   -37.44
1997     -7.67   -28.06   -20.80   -10.84   -35.98
1998     -6.84   -47.92   -28.27    -1.73   -35.33
1999    -24.94   -25.12   -27.73   -21.45   -13.48
2000     -6.93   -24.40   -30.05    -8.43   -28.08
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046    -11.27   -31.87   -17.56   -20.39   -39.37
2047    -21.55   -46.81   -34.72   -19.20   -30.75
2048    -16.30   -31.84   -41.04   -21.65   -25.90
2049     -7.78   -55.66   -19.15    -7.02   -48.59
2050    -18.34   -52.28   -13.67   -18.54   -40.98
2051     -6.47   -36.22   -11.37   -18.14   -44.29
2052    -25.06   -33.09   -35.31   -25.74   -29.88
2053    -11.95   -30.83   -31.14   -25.22   -32.57
2054    -14.31   -38.75   -21.69   -25.67   -49.54
2055     -8.50   -27.39   -37.77   -16.40   -11.04
2056    -32.08   -19.25   -23.38   -18.35   -22.89
2057    -16.65   -33.71   -28.28   -15.07   -35.22
2058    -13.40   -52.94   -13.88   -33.77   -24.15
2059    -17.20   -31.15   -40.52   -20.31   -32.63
2060    -19.48   -67.39   -39.93   -21.52   -19.01
2061     -5.64   -36.63   -24.01   -11.91   -47.95
2062    -28.27   -29.96   -33.73   -18.08   -47.80
2063    -14.09   -28.97   -31.26   -25.53   -26.20
2064    -25.32   -42.55   -20.87   -21.15   -50.07
2065    -11.69   -59.71   -22.18   -16.78   -35.96
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081    -24.34   -27.98   -28.37   -22.35   -19.68
2082    -13.03   -33.38   -38.62   -23.46   -38.77
2083    -19.60   -34.46   -29.88   -22.29   -50.51
2084    -18.62   -32.12   -41.94   -23.92   -32.55
2085    -22.96   -17.19   -36.16   -25.94   -48.85
2086    -24.29   -69.58   -42.72   -22.42   -49.93
2087    -35.98   -37.70   -36.69   -25.35   -19.75
2088    -18.15   -30.50   -37.36   -23.08   -33.86
2089    -18.67   -27.26   -25.32   -21.56   -45.44
2090    -11.72   -50.23   -47.39   -18.58   -42.33
2091     -8.05   -45.35   -28.81   -16.99   -21.88
2092    -20.41   -70.69   -27.98   -28.68   -21.09
2093    -27.63   -52.05   -33.06   -22.80   -30.31
2094    -17.60   -37.35   -46.19   -28.67   -39.75
2095    -23.68   -29.02   -37.17   -22.71   -59.10
2096    -23.52   -35.22   -18.96   -14.90   -48.01
2097    -22.39   -38.96   -31.84   -20.34   -28.21
2098    -17.75   -34.54   -35.17   -22.44   -25.94
2099    -14.35   -19.65   -25.12   -25.32   -29.15
2100    -16.29   -40.88   -28.34   -20.50   -35.07
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
