Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         56.58    53.04    40.68    35.78    55.02
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -42.60      NaN      NaN      NaN      NaN
1961    -21.91     3.43    -2.56   -25.80   -18.75
1962      6.25   -30.78   -10.53    14.09    15.82
1963     -8.76   -17.23   -23.92     2.73   -20.00
1964      5.75   -10.06   -14.08    15.75    -3.92
1965     11.56     8.20    -6.91    20.32    20.77
1966      7.71    -4.77     0.58     6.97    -9.67
1967     -4.66     4.24     2.03    -3.51     1.04
1968     -2.87     4.57   -17.68    16.71    -4.06
1969      2.22    -9.52   -16.68     9.43   -34.44
1970      9.31   -26.26     1.53    23.18   -11.83
1971    -13.30    24.18     2.92    -9.77    -1.53
1972      2.66   -24.13    16.34    -7.25    14.67
1973      0.65    27.93    16.64   -17.87    19.68
1974      3.19   -24.23    -0.23     4.67    25.96
1975      0.83   -38.99    -7.57    11.17    14.11
1976      4.65     0.52     4.12    15.70    14.56
1977      4.00    26.53    23.81     9.32   -29.23
1978      1.69     8.84    -5.06     9.43     1.38
1979      3.79    24.11   -19.51   -20.71    19.20
1980      5.69    36.10    34.98     9.46   -16.09
1981     -4.36   -43.48   -11.75   -30.49     4.93
1982      4.87    35.34    11.73     3.91   -34.50
1983     -7.37    22.30     9.41   -21.86     8.62
1984      4.47    20.90   -23.59    14.38   -11.62
1985     -7.39     8.82    -2.66     0.47   -11.28
1986      0.66   -23.10     5.38     8.42   -13.52
1987      5.52    14.10    16.24     8.40     4.46
1988     -1.82    20.06     2.67    -0.21    -0.27
1989      3.28    37.68   -20.85     5.49    -0.95
1990      0.85   -33.69    -8.59     4.78    22.59
1991    -26.07   -15.08   -15.17   -19.24     8.36
1992    -13.66   -14.48    -1.36   -16.03    11.05
1993     -1.88   -16.29    30.07   -25.85     3.28
1994      4.64     0.74   -31.50     8.25   -12.95
1995      6.02   -38.94    20.16    11.60     5.48
1996     -2.86    33.54   -22.56     4.56   -37.44
1997      9.46   -24.37    10.91    13.27    -1.78
1998      2.85   -47.92   -20.30     0.50    18.17
1999     -0.35    29.27   -16.21     2.31   -13.48
2000      0.30     3.10   -30.05    -0.89    23.02
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -8.87    -5.56    -0.57    -4.35   -14.54
2047      2.19   -44.93     5.15    12.48     6.13
2048      6.95   -22.09   -12.18    12.16     0.70
2049      1.50   -17.73     0.05     4.91    17.60
2050      1.39   -41.03    18.47     1.42    11.70
2051     11.33    27.57   -11.37    14.85    -6.97
2052      6.02     4.53    -9.82    -7.14    22.95
2053     14.62    36.86     4.81    18.53    -8.71
2054     -3.47   -20.12   -16.85    -6.75    16.13
2055      8.41   -27.39   -31.00     3.30    25.95
2056     -3.71    32.32    -2.92     3.74    -3.09
2057     -7.94   -24.30    -9.81     0.10    19.08
2058    -13.40    -6.70    17.82   -33.77   -15.12
2059      3.58   -16.05   -11.29    15.55    18.67
2060     -1.69   -14.24   -15.08   -17.86    15.36
2061     -5.44    31.24    -2.05    -2.08   -38.53
2062      6.21     5.52     7.90    15.41    26.84
2063     -1.48   -18.12     6.58    12.82    23.18
2064      7.16    23.83     2.04    18.66   -14.99
2065     11.69   -36.94   -22.18    26.26    19.02
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      2.38    29.16    -7.65     5.97    -9.69
2082     -2.32    27.00    -4.93     0.65    12.78
2083    -19.60    23.77   -16.05    -8.53   -23.07
2084      6.97    23.87   -11.87    17.44    11.54
2085     12.85    20.79     9.73    15.04    11.55
2086     -4.48    30.87   -21.90    -8.40    28.28
2087     -7.99    29.61    -2.14   -22.93     3.19
2088      2.45    23.03    -1.25    11.37   -11.85
2089     -3.41    27.37   -15.35   -13.75   -16.27
2090     -1.88   -11.32   -35.19    -1.56   -29.40
2091      4.49    27.18   -16.91     6.11    29.51
2092     10.67   -16.51    12.85    15.71    -9.96
2093    -27.44    35.76   -20.05   -15.50   -21.95
2094      2.79   -19.18   -19.38     9.23     9.01
2095      5.16   -18.22   -14.68    16.76   -18.44
2096      8.23   -10.92    -4.91     1.20    15.98
2097    -18.29    34.33   -15.51    -2.58    12.59
2098      0.78   -12.17     0.71    -7.03   -17.12
2099      2.44    -4.42   -25.12    -5.09    10.12
2100     -3.76    31.87   -12.51    11.51   -35.07
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     11.23   -16.80    16.68    18.41     5.56
2047      1.23    33.38     4.11    -4.86   -11.79
2048      2.61    28.77   -17.63    -1.47   -13.93
2049     -0.73    11.82    13.22   -11.05    -8.83
2050     -8.54   -38.78    -6.99    -7.70    23.78
2051     -8.31   -18.00   -12.52    -0.59   -29.27
2052     13.05   -41.32     1.22    19.59    30.36
2053      2.41     3.05    20.39    12.33    24.43
2054     11.12    11.76    -7.57    18.66    -9.14
2055     -1.39   -14.95   -12.75    13.58     8.56
2056     -2.15    25.54   -19.25   -24.48   -10.40
2057     -6.38    28.90   -18.95   -18.01    27.26
2058     -1.94    23.20    -9.50    -7.15    12.25
2059    -11.14   -21.81    11.84   -11.41   -17.61
2060     -6.86   -30.00     3.12    -0.15     9.92
2061     -4.32   -41.70    -8.63     5.01   -33.97
2062     -3.08   -21.53    19.71    -9.46    -5.22
2063      6.03    16.03   -23.43     1.23    -1.16
2064     -3.44   -16.58    -2.70     1.56   -25.74
2065     -4.25    -2.93   -17.78   -16.95    -3.88
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     -3.55    26.90    -6.45     7.48     8.34
2082    -28.33    -0.91    -6.01   -21.82   -36.40
2083      0.56   -31.11    -5.72    21.64   -31.34
2084     -0.73   -25.98    -5.30    -2.88     4.21
2085     -1.99   -14.23     4.31   -23.78    15.90
2086     10.41   -13.63    10.63    28.69   -26.61
2087      9.96   -20.24     3.59    -3.68    -6.33
2088      5.76    14.85   -27.62     0.63    23.18
2089    -22.16     1.99    -4.43   -13.01   -14.80
2090     -4.49     3.01   -17.38    -2.79    -1.94
2091     -2.57   -26.46   -29.23    -8.23    -9.08
2092     14.21     9.20    -7.44    23.55    25.91
2093     -2.62   -22.50   -17.39    -2.98   -10.57
2094      0.65    27.92    12.70     8.26     7.50
2095      2.22   -20.01   -28.87     8.98    19.37
2096     15.28    24.16   -23.43    24.59   -17.32
2097     10.76   -20.21   -28.00    23.67    19.50
2098     12.42    24.67     2.04     3.23     4.17
2099     10.19   -23.97    -7.84     8.16    24.27
2100     -2.76    32.23    -7.03    15.88   -24.74
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
