Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         69.34     2.72    39.45    61.58    29.78
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      5.23    -0.99    27.41   -15.81   -13.61
1962     -6.78    -0.70     0.44   -12.92    14.70
1963      8.00    -1.97    -0.05    14.21    16.26
1964      5.75     4.56    13.41     8.23     2.30
1965     26.39    -0.08    15.97    28.49    13.82
1966     -1.99    -0.29    18.35   -23.62    10.05
1967    -23.38    -0.33   -15.58   -17.71   -18.74
1968      5.89     2.05    -2.86     8.75   -21.23
1969     -2.85     0.38    14.54    -8.15   -24.49
1970    -15.54    -1.24    -0.40   -24.59   -13.60
1971    -12.50    -2.31   -11.63    -9.74     8.24
1972      7.51     1.05    -6.83    10.55    16.52
1973      3.87    -0.98    -6.94     7.67    21.90
1974     10.06    -0.49     6.03    14.82     3.60
1975      2.54    -0.64    -4.14     5.54   -21.54
1976      2.70     0.34     2.19     5.94    16.57
1977     -3.07    -1.39     9.77     1.68    -6.94
1978     -1.59     0.55    23.24   -21.67   -12.22
1979    -26.93     1.77    -9.15   -22.05    -7.71
1980     49.76    -0.69    16.28    32.48   -16.93
1981     -6.76    -0.89     9.01    -6.16    16.69
1982    -22.84    -1.99    -1.72   -28.99     0.98
1983      5.86     0.71   -11.20    11.84    16.76
1984      1.55    -1.95   -17.41     6.04    20.47
1985     -5.54    -2.06    -7.81     1.52   -22.40
1986    -12.23     0.50    -1.52    -6.85    -2.47
1987     -9.02     1.20   -15.67    -2.04   -11.42
1988     17.43     1.43     6.36    24.81    -3.57
1989      9.88    -2.27   -11.02    16.14    12.80
1990     -0.61    -1.79     8.75     2.65   -10.91
1991    -13.29     6.84     5.26   -29.62     5.25
1992    -29.22     0.86    -6.43   -27.38    -4.53
1993      6.50     4.38     1.88    14.04     7.76
1994      9.78    -1.54    -7.42    15.58     8.89
1995     17.08    -1.58   -10.67    20.19     9.24
1996     13.25     0.72    27.53    -3.69   -10.04
1997     19.87     4.12   -12.26    24.82    -3.02
1998     13.43    -1.08    31.30    -2.25    -7.25
1999    -31.93    -1.57    -5.37   -31.32   -11.12
2000     14.06     0.26    20.20     5.79    23.03
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046    -13.19    -1.10     4.22   -28.61    10.68
2047     -5.88    -1.23    13.87   -12.49    -6.69
2048    -21.47    -1.65   -21.49   -16.14    -0.27
2049    -19.18     0.53   -13.95   -15.80   -23.32
2050      2.11     5.51    13.14     5.44     0.08
2051     25.90     2.85     9.19    30.96   -13.90
2052     -1.93     2.49    27.55   -34.92   -17.23
2053     16.31    -1.89    -4.85     6.68    35.06
2054     15.10    -2.06     6.10    15.81    18.72
2055    -23.12     6.05    -2.34   -23.59    -7.57
2056    -19.71    -1.08   -16.16   -15.59     4.65
2057    -20.90     1.75   -11.71   -19.72    -5.79
2058     -0.42    -1.20    -9.19     2.44     8.81
2059    -18.76    -1.85    -9.95   -31.48     6.03
2060    -18.57    -2.12    -0.15   -31.78     8.62
2061     10.22    -1.29   -13.46     9.74    16.78
2062    -19.26    -0.25    -5.41   -20.37   -20.18
2063     -3.43    -2.20     8.88   -27.14     9.43
2064    -19.24    -2.00     0.60   -29.39   -22.46
2065     -2.34    -1.31     9.34   -23.05    26.38
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      4.91    -2.04     4.15     4.39    11.49
2082    -27.40    -0.32     0.11   -38.25   -21.52
2083    -25.26    -2.31     0.63   -34.31   -24.37
2084      6.13    -2.39     2.45   -23.57    27.96
2085    -32.57     3.58   -16.63   -27.57   -23.16
2086    -17.64    -2.33    -0.47   -22.15   -22.59
2087     -9.64    -1.71    -8.87   -20.43    20.74
2088     -9.48     1.39     2.30   -12.55   -22.29
2089    -13.37    -1.92    13.26   -24.13   -21.67
2090     -2.32    -1.83     1.03    -5.90    -1.56
