Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         16.63     2.05     8.08    15.24     4.28
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -3.01    -0.74    -1.20    -1.87    -0.89
1962      1.93    -1.38    -1.17     0.81     1.37
1963      1.86    -1.12    -0.93     3.18    -1.07
1964      1.21    -1.42    -2.43     2.24    -0.41
1965      4.38     0.05    -0.24     5.05     1.60
1966      1.19    -0.64     1.95     2.16     0.28
1967     -2.78    -0.72    -1.06    -1.67    -1.43
1968      0.74    -0.92    -0.92     2.02     1.16
1969      0.54    -1.07    -2.90     1.69    -0.78
1970      2.98    -1.18     0.96     4.31    -0.71
1971     -5.18    -0.37    -1.01    -4.11    -1.84
1972      0.31    -0.73    -0.64    -0.39    -0.83
1973      0.15     2.00    -0.40     0.99    -0.43
1974      2.45    -1.50    -0.42    -1.89     8.29
1975     -0.16    -1.61    -1.39     1.08     0.16
1976      0.65    -0.70     0.26     1.89    -0.50
1977      2.27     0.17     3.58     1.67    -0.57
1978      1.27    -1.28     1.07     2.50     0.46
1979      0.91     1.82    -2.19    -0.34    -0.21
1980      2.44     4.92     8.72     2.65    -0.27
1981      0.69    -1.37    -3.21    -4.34    -1.71
1982     -1.35     6.87    -0.88    -1.16    -1.55
1983     -1.95    -0.94     0.87    -2.67     2.00
1984      1.13    -0.45     0.65     2.33    -0.33
1985     -2.98     0.02    -0.40    -1.66     0.68
1986      1.08    -1.22    -1.09     2.33    -0.45
1987      0.99    -1.19     1.25     1.32    -0.26
1988     -1.85    -0.62    -1.96    -3.41    -1.86
1989      0.32     3.69    -0.95     1.51     0.28
1990     -1.47    -1.27     0.20    -1.86     1.34
1991     -3.43    -0.96    -1.93    -2.14     0.21
1992     -4.73    -1.32    -0.88    -3.91     0.31
1993     -1.29    -0.79     5.78    -5.10    -0.33
1994      1.79    -0.68    -3.20     2.59    -1.32
1995      1.46    -1.42     1.87     0.11    -0.27
1996      1.24     2.77    -1.21     2.48    -1.77
1997      3.24    -1.51    -0.28     3.84     0.55
1998     -1.36    -1.59    -1.96    -0.31     2.00
1999      0.38     0.44    -1.23     1.68    -1.09
2000     -0.34    -0.74    -1.51    -1.84     3.62
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -2.11    -1.03    -1.85    -0.80    -0.39
2047     -1.62    -1.43    -1.02    -1.27     1.60
2048      2.47    -1.08    -1.85     2.70    -0.19
2049     -0.70    -0.40    -0.52     0.20     0.03
2050     -2.60    -1.51     1.14    -1.92    -0.74
2051      5.55     1.60     2.88     5.56    -1.02
2052     -0.13    -0.27    -1.23    -0.77     1.17
2053      4.30     2.64    -0.89     5.08     0.26
2054     -1.76    -0.80    -1.75    -0.83     0.04
2055      1.50    -0.92    -2.28     0.31     4.35
2056     -1.50     1.48     0.31    -0.48    -1.51
2057     -0.26    -0.78    -1.86     0.95     0.49
2058     -3.92    -0.80    -0.26    -3.04    -1.02
2059      1.97    -0.81     0.35     3.17     0.03
2060     -2.25    -0.63    -1.59    -4.15    -0.47
2061     -0.23     3.21    -3.11     0.73    -0.93
2062      0.90    -0.73    -1.52     2.16     1.85
2063     -3.24    -0.37    -1.38    -2.24     0.27
2064      2.77    -0.37     1.03     4.14     1.59
2065      4.50    -1.36    -0.73     5.65    -0.36
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
