Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     11.64    10.47    10.15    12.66    15.87
1962     11.84    13.08    14.51    14.00    10.75
1963     12.03    10.72    13.32    16.18    15.17
1964     12.33    15.19    12.05    13.57    12.75
1965     13.14    14.49    15.44    21.35    12.38
1966     13.07    15.13    15.83    23.39    16.21
1967     11.55     8.21    14.52    12.80    17.17
1968     12.10    14.52     8.38    16.75    13.93
1969     12.29    12.56    11.73    12.19    12.58
1970     10.19     9.47    11.83    10.19    10.85
1971     11.80    11.14    12.41    16.95    12.53
1972     10.18     8.70    13.79    13.29     9.40
1973     11.37     5.81    12.08    11.62    15.72
1974     10.01     8.98     9.49     9.70    10.28
1975     11.18     8.71    11.21    11.75    13.92
1976     10.02    12.39    11.30    14.45    10.43
1977     13.57    12.92    11.14     9.71    13.37
1978     11.84    12.14    11.45    12.04    15.35
1979     10.90    12.82    10.12    13.12    10.38
1980     11.16    11.70    10.48    11.20     9.34
1981     10.90     9.97     7.59     7.06    11.08
1982     10.78     8.91    13.45    11.75    13.07
1983     12.58    13.84    10.73     9.70     9.39
1984     11.29    13.61    13.52    10.15    12.96
1985      8.89     9.31     9.60     9.20     9.54
1986     11.73    13.21     8.86     9.09    11.02
1987      8.73     8.33     7.61     8.17     9.13
1988      9.42     8.30    14.03     7.14     7.57
1989      9.49    11.79     7.49     5.20     5.94
1990      8.69     8.40     6.46     7.41     7.32
1991      8.98     7.73     8.94     8.26    10.56
1992     11.76    12.55     7.74    10.36    13.22
1993     10.16     9.63     9.53     9.59     9.37
1994     10.47     8.82     5.99     7.38    11.59
1995      9.57     6.64    11.25     8.89     6.76
1996      9.06     7.60    12.25     7.64    10.43
1997      8.45     8.73     8.87     8.92     7.01
1998      7.54     5.97     8.17     5.93     8.14
1999      8.31     6.42     7.84     7.29     7.36
2000      8.62     7.94     5.14     5.89     8.40
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      3.11     1.76     2.98     1.08     2.81
2047      4.23     1.80     2.31     1.89     2.83
2048      2.56     1.15     2.49     1.50     1.08
2049      3.22     2.34     0.71     1.75     1.20
2050      2.28     0.53     1.64     1.44     2.44
2051      2.75     2.02     1.98     1.48     1.24
2052      1.82     1.17     0.46     1.40     0.87
2053      1.54     0.30     1.53     1.05     1.04
2054      1.54     0.69     1.49     1.60     1.64
2055      1.50     0.54     1.25     0.83     0.88
2056      2.02     0.57     0.94     0.58     0.62
2057      1.07     0.38     1.18     0.93     0.66
2058      1.80     0.67     1.34     1.09     0.20
2059      1.15     0.42     1.38     1.06     1.02
2060      2.29     0.94     0.78     1.08     0.45
2061      1.80     0.35     0.68     1.10     0.88
2062      2.03     0.55     1.89     0.47     0.25
2063      0.68     0.26     0.61     0.99     0.27
2064      1.47     0.96     1.38     0.93     0.72
2065      1.05     0.44     1.42     0.73     0.15
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
