Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.97     9.99    10.01     9.97     9.99
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      7.19     9.21     6.93     4.42    12.43
1962      4.99     4.93     5.05     1.83     8.59
1963      5.29     2.68     6.79     2.71     3.86
1964      3.45     6.49     2.38     0.94     4.71
1965      4.39     2.57     4.24     1.53     6.51
1966      5.11     5.94     4.76     2.74     3.23
1967      4.85     5.22     3.51     2.48    10.39
1968      6.50     9.87     6.34     3.19     6.17
1969      6.83     8.59     5.23     4.83     6.85
1970      5.17     8.62     3.74     3.11     7.94
1971      6.17     2.11     5.09     3.58     7.22
1972      5.52     4.99     3.82     4.60     6.75
1973      5.04     9.22     5.45     2.76     8.18
1974      7.47    13.41     7.05     6.60     5.33
1975      7.05     3.17     4.50     7.06    14.59
1976      6.98     8.95     3.52     6.15     8.22
1977      7.85     6.05     6.15     6.45     8.82
1978     10.70     4.05    13.21     7.54     8.57
1979      8.60     6.68     7.19     7.26     3.91
1980      7.53     3.31     9.77     4.15     6.68
1981      7.86     7.44     3.37     9.40     8.69
1982      9.04    13.83     6.46     9.83     7.90
1983      7.90     9.52     9.02     6.44     7.81
1984     10.01     9.61     9.18     8.72     9.22
1985     12.70    18.52    11.88    15.20    10.71
1986      9.33     9.45    10.89     6.29    14.57
1987     11.76    10.99    17.42    10.83     8.51
1988     11.32    18.52    10.01    12.75    12.92
1989     11.57    18.54    12.35    11.23    13.21
1990     13.42    13.92    15.20    17.17    10.92
1991     10.24     5.93     9.39    10.58    14.22
1992     15.22     7.12    20.94    14.77     9.85
1993     12.38     8.34    15.98    12.35    12.83
1994     12.24     7.36    13.44    12.98    13.80
1995     14.25    13.91    13.87    17.62    16.37
1996     14.47    19.30    12.91    22.37    11.76
1997     13.44    10.55    16.53    14.48    12.03
1998     11.66    15.03    11.47    12.18     8.55
1999     12.30    11.21    10.57    14.80     9.57
2000     17.37    23.20    20.25    21.44    10.14
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     32.16    25.94    38.86    56.30    27.91
2047     32.09    34.98    38.34    57.83    23.63
2048     33.82    28.13    42.88    57.29    28.11
2049     31.15    18.55    41.77    58.06    21.14
2050     34.04    22.66    46.36    57.11    25.10
2051     33.15    21.37    34.61    59.74    29.34
2052     31.54    29.64    36.84    60.37    23.71
2053     34.39    33.43    49.69    59.45    25.66
2054     36.51    32.87    53.37    65.73    19.78
2055     36.62    30.81    46.62    67.16    31.27
2056     33.05    22.92    48.48    56.30    24.23
2057     34.60    34.90    47.45    63.73    28.03
2058     35.36    38.86    47.66    64.35    25.47
2059     38.53    33.89    59.26    65.41    28.56
2060     34.69    33.11    46.84    59.31    29.02
2061     38.91    38.62    55.64    67.86    34.53
2062     40.88    21.61    61.28    73.34    30.77
2063     38.40    36.93    56.32    65.48    28.87
2064     41.08    45.12    55.36    70.17    32.85
2065     37.61    33.97    51.62    66.84    31.33
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     46.49    40.93    64.21    84.08    36.14
2082     47.29    40.33    72.29    83.18    41.17
2083     50.51    72.06    74.98    83.71    34.90
2084     49.50    42.50    68.67    90.26    42.76
2085     43.72    50.32    64.86    83.06    38.49
2086     50.26    55.43    68.91    85.40    49.02
2087     49.66    54.60    71.37    87.11    43.92
2088     48.16    52.69    76.15    89.91    39.81
2089     47.96    49.98    68.83    88.67    44.22
2090     50.31    46.73    75.90    87.35    47.03
2091     52.13    62.02    76.21    91.63    44.93
2092     49.36    49.71    73.05    87.13    45.23
2093     49.62    60.38    69.01    89.28    44.16
2094     53.27    57.35    75.39    91.53    51.65
2095     52.92    57.04    80.07    91.66    43.22
2096     51.14    61.79    69.16    92.89    51.45
2097     54.92    66.61    78.88    91.65    53.85
2098     50.80    58.37    72.88    92.72    46.16
2099     55.56    51.08    82.36    92.48    49.95
2100     52.35    61.09    76.30    93.44    54.81
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
