Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99     9.98     9.97    10.00    10.01
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.91    14.78     8.76     2.73     5.03
1962      5.19     0.82     2.13     4.91     7.23
1963      6.40     9.73     4.14     3.50     3.93
1964      5.34     2.33     3.35     2.04     4.31
1965      2.33    15.92     1.08     0.78     7.84
1966      4.74    14.32     3.62     0.49     5.76
1967      7.12    17.60     6.13     6.54     4.09
1968      6.07     2.71     4.95     1.76     6.99
1969     11.53    13.65    19.35     7.03     7.58
1970      4.67     4.81     0.41     2.98     4.88
1971      8.32     3.98     3.47    18.83    10.01
1972     10.60    13.91     9.89    11.26     6.56
1973      5.80     7.18     3.00     3.45     8.00
1974     10.03    12.08     9.97     5.09    13.70
1975     11.19     4.88     9.98    10.90    10.06
1976      9.50    14.94     9.03     6.22     8.99
1977      9.63    12.32     7.34    13.76    16.68
1978      7.53     7.51     6.39     5.46    10.59
1979      7.26     7.68     3.56     4.50     9.81
1980     11.34    28.06     7.85    12.13    14.04
1981     12.30    14.97    20.08    10.25     9.20
1982      8.53    15.83     6.37     7.91     7.80
1983      8.35     1.28     6.21     9.08    11.50
1984     10.33     9.49    12.66    10.10    13.83
1985     10.41    14.31     9.85    10.17     9.19
1986      6.68     8.77     6.62     0.64     3.53
1987      7.92     5.95     4.26    10.72    11.91
1988     12.60     6.85     9.57    25.66    13.33
1989     11.71     8.74    15.20     6.89     9.79
1990     11.78    10.77    10.26    12.93    21.71
1991     14.84    25.32    18.07    17.19     9.17
1992      9.32     2.79     9.20    10.09     3.08
1993     12.04    10.87     9.31    24.52    10.50
1994     15.88    10.60    27.32    13.87     6.79
1995      9.85     5.47     6.77     9.12    17.28
1996      9.94     8.51    15.20     6.68     4.48
1997      9.87     3.99    11.02     5.29     4.32
1998     13.84    10.97    22.45     9.21     8.28
1999      7.75     6.61     7.73     4.96    11.33
2000     14.36    12.95    17.98    18.39    11.52
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     25.43    30.48    36.46    33.95    26.80
2047     23.24    23.00    25.54    45.50    23.96
2048     24.17    17.22    41.09    30.99    21.82
2049     17.29    22.86    22.04    19.06    21.12
2050     27.01    20.45    32.57    46.91    29.76
2051     23.42    14.56    42.83    26.24    26.25
2052     28.62    14.29    41.43    51.00    22.68
2053     23.19    35.15    35.38    19.51    18.03
2054     21.82    11.44    30.22    41.35    23.19
2055     27.58    36.98    46.44    38.11    20.58
2056     27.83    27.35    44.22    41.53    31.58
2057     25.36    19.36    32.49    45.93    22.25
2058     31.65    38.03    43.04    56.50    34.97
2059     23.83    29.17    38.30    31.31    23.40
2060     31.29    15.04    39.19    66.93    29.57
2061     30.68    40.09    50.07    38.34    22.26
2062     25.74    18.11    35.86    34.55    32.88
2063     33.63    37.13    44.51    66.09    32.82
2064     24.48    24.77    38.60    29.08    32.62
2065     21.90    11.61    30.64    37.48    25.62
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     33.82    39.24    48.65    51.99    33.95
2082     37.86    26.20    60.53    71.81    35.01
2083     38.16    54.77    50.70    61.34    41.90
2084     31.61    30.49    55.57    40.00    31.22
2085     28.77    21.37    45.43    40.21    33.20
2086     34.97    37.70    52.76    61.70    22.76
2087     35.56    25.07    55.17    65.35    39.59
2088     34.30    15.26    55.08    62.16    39.09
2089     40.61    39.59    64.30    66.26    34.04
2090     34.24    35.02    60.06    51.58    35.07
2091     34.30    27.91    59.23    52.32    35.37
2092     33.48    29.71    50.88    56.26    27.66
2093     35.46    16.93    49.27    79.39    37.60
2094     41.06    41.21    60.17    67.17    39.09
2095     33.38    29.98    54.88    42.75    44.38
2096     36.76    38.09    53.11    63.81    32.74
2097     40.88    31.55    59.72    79.07    38.60
2098     41.60    57.13    64.42    66.13    42.38
2099     43.45    26.60    62.57    78.21    57.61
2100     40.38    56.37    63.54    62.19    41.64
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     21.62    24.34    27.20    29.98    31.34
2047     23.58    25.67    34.61    35.64    22.74
2048     24.40    26.67    40.50    31.48    22.51
2049     22.37    24.61    29.94    27.76    17.07
2050     28.58    29.33    37.98    51.78    27.63
2051     26.38    30.50    39.52    34.87    24.01
2052     21.00    21.10    31.85    23.76    24.24
2053     24.53    18.58    31.29    47.47    30.96
2054     26.20    22.32    49.45    24.12    22.36
2055     28.63    22.87    40.15    46.99    28.50
2056     29.79    36.30    54.32    47.37    19.75
2057     30.96    21.17    46.38    57.19    27.12
2058     28.35    22.13    39.94    54.37    26.71
2059     27.92    30.91    38.91    40.30    26.81
2060     29.07    24.01    41.80    55.67    28.64
2061     35.28    43.81    62.76    45.18    39.32
2062     26.24    22.14    36.80    45.74    28.81
2063     25.96    18.01    40.97    38.77    25.08
2064     26.85    21.06    34.77    53.98    32.24
2065     27.92    26.64    45.85    38.85    29.86
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     36.49    17.37    45.68    75.95    42.79
2082     34.49    25.16    61.30    56.78    28.93
2083     31.26    27.54    45.96    50.25    34.18
2084     33.48    31.47    64.07    41.60    31.09
2085     33.49    36.60    46.58    58.14    31.42
2086     31.35    33.97    60.13    39.22    33.57
2087     29.34    33.53    51.11    32.34    30.87
2088     28.55    12.37    35.95    57.45    35.88
2089     40.23    38.64    52.55    75.95    39.20
2090     38.62    46.37    57.80    59.91    39.53
2091     34.94    20.95    52.69    62.42    30.23
2092     32.16    42.68    55.87    35.70    29.14
2093     34.30    31.14    47.39    62.76    32.30
2094     31.92    42.86    46.66    50.14    27.58
2095     35.58    23.12    52.50    59.14    35.55
2096     30.29    26.67    47.69    47.16    28.37
2097     30.31    13.75    51.29    44.88    29.71
2098     28.91    29.92    48.55    35.91    26.76
2099     32.95    33.44    44.17    56.70    36.01
2100     33.90    53.23    48.83    48.05    37.68
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     18.93     9.61    20.44    30.17    19.97
2047     23.00    26.01    40.79    23.65    26.22
2048     14.13    16.13    20.65    11.47    10.48
2049     19.40    12.12    23.34    21.80    24.01
2050     20.95    12.09    27.91    34.85    17.87
2051     22.16    20.31    32.63    35.36    14.87
2052     19.50    21.59    28.16    27.03    23.28
2053     24.62    15.49    28.77    50.51    28.37
2054     24.68    19.15    35.26    44.09    19.61
2055     25.12    17.19    40.90    36.81    21.23
2056     23.37    24.35    32.28    30.03    22.84
2057     23.27    27.71    30.20    29.26    18.47
2058     21.06    26.07    28.21    25.02    21.04
