Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
         40.1     3.1    52.2    88.7    16.3
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -3.82    0.15   19.51  -26.25   -8.70
 1961  -10.04   -1.11   -5.15  -24.67   -9.21
 1962   -0.19    0.18   21.36  -12.27  -10.02
 1963   -0.33   -1.63   24.58  -25.66    1.39
 1964   -6.86   -1.54    2.10  -22.95   -5.04
 1965   -3.56   -1.17   -2.01   -7.51   -3.55
 1966    4.11   -0.73    4.90   -9.31   21.60
 1967  -13.15   -0.83  -21.71  -24.02   -6.03
 1968    4.71    2.41   16.83   -8.19    7.79
 1969    3.04   -1.02   18.99    5.25  -11.04
 1970   10.72    0.63    6.55   32.43    3.27
 1971   -4.31    0.18  -11.62    2.53   -8.33
 1972    4.36    0.52  -23.37   28.23   12.05
 1973   -4.31    8.25   -9.85   -3.80  -11.83
 1974   -6.32    2.30    7.72  -30.08   -5.24
 1975   -8.95   -0.88   -7.40  -24.18   -3.32
 1976    1.94    0.28   -3.59   16.19   -5.11
 1977    2.44   -0.73   -1.72    2.18   10.03
 1978   -3.54   -1.09  -16.70   12.57   -8.95
 1979    4.43   -2.21  -13.17   33.97   -0.87
 1980   -7.16    2.26   -5.46  -17.82   -7.61
 1981   -7.69   -0.29   -2.40  -29.90    1.83
 1982   -1.53   -2.02  -24.07   15.46    4.53
 1983   -1.89    0.17   -6.38    9.20  -10.56
 1984   -0.87    0.10   -3.68   -2.00    2.11
 1985    5.02   -2.58   15.19   -3.53   11.00
 1986   -3.64    1.31    8.65  -23.53   -0.99
 1987    0.81    0.23    7.15    8.67  -12.81
 1988   -4.81   -1.71    0.57  -16.22   -1.89
 1989    0.75   -2.03   -0.38    7.40   -1.96
 1990    1.43   -0.91   31.26  -20.30   -4.34
 1991    1.63   -1.23   10.54   -0.95   -1.83
 1992   -9.73    0.87  -19.10   -9.56  -11.13
 1993   -2.67   -1.75   -3.07  -15.44    9.58
 1994    5.85   -0.12   15.47    8.50   -0.46
 1995   11.10   -1.70   25.31   20.81   -0.03
 1996    4.37   -0.18   22.36   -5.42    0.72
 1997   -5.46    4.62  -18.40  -14.89    6.84
 1998    9.73   -1.43    9.98   -0.60   30.99
 1999    8.28   -0.85    9.61   20.07    4.29
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    0.52   -1.31   -4.41    4.90    2.88
 2001  -13.09    1.41  -20.87  -24.45   -8.45
 2002    0.42    0.61    3.92    0.14   -2.97
 2003    0.62    2.03   -0.69    5.21   -4.05
 2004   -2.70   -2.60    4.95   -2.80  -10.37
 2005   -3.46   -0.16   -3.60   -2.46   -7.62
 2006    2.39   -1.35    3.05  -13.60   21.47
 2007   -0.03    0.20   17.08   -8.47   -8.91
 2008   -6.89   -0.50   -7.57  -15.63   -3.87
 2009    9.44    0.21   11.30   37.84  -11.60
 2010   -8.84   -0.24   -9.47  -17.46   -8.21
 2011   -0.98   -1.68  -17.94   17.05   -1.35
 2012    2.08    0.44    9.14    5.90   -7.17
 2013   -2.54   -2.14    6.92  -21.88    6.94
 2014   -6.36   -1.90   -8.28   -5.63   -9.61
 2015   -5.07   -1.88   -5.26   -8.18   -4.97
 2016   -1.10   -1.24   -7.22    2.74    1.30
 2017   -4.78   -2.05  -14.32    1.15   -3.90
 2018    7.51   -0.08    9.23   16.52    4.36
 2019   -1.10   -0.06   -1.92   -6.63    4.21
 2020    2.60   -1.35   -6.13    8.96    8.92
 2021    5.24    5.35   19.74  -15.02   10.89
 2022   -8.27   -0.58   -3.98  -17.13  -11.40
 2023    5.00    0.59  -18.76   29.75    8.40
 2024   -3.00   -1.33   -3.00   -3.05   -4.63
 2025    1.67    0.76   -2.22    2.16    5.98
 2026    2.14   -0.62   -0.65    3.00    6.85
 2027   -2.48   -0.76   -1.75   -4.07   -3.34
 2028   -1.69    0.00  -10.53    1.03    2.72
 2029   -4.59   -0.49  -13.35   -3.81   -0.73
 2030   -1.48   -1.36   -1.41    0.77   -3.92
 2031    6.11   -1.67   11.42   16.53   -1.85
 2032   -0.01   -1.47   -6.81   -4.93   13.16
 2033   -0.98   -0.35   -4.90    2.19   -0.88
 2034    2.37   -0.85   28.42  -17.60   -0.50
 2035  -12.62   -1.90  -22.00  -27.47    0.88
 2036    6.86    1.43   10.14   20.63   -4.77
 2037    4.41    0.90   17.99   -4.25    3.01
 2038    3.79   -0.86   -8.55   29.89   -5.33
 2039    5.28   -1.21   -8.63   26.30    4.66
 2040    3.87   -1.40   13.37   10.32   -6.79
 2041    7.86    0.79   22.23    4.73    3.71
 2042   -6.53   -0.77   -1.22  -19.98   -4.17
 2043    1.26    0.32   -3.02    7.25    0.48
 2044    1.03   -2.24   10.31    3.13   -7.07
 2045   -0.41   -0.08   13.49   -8.16   -6.88
 2046   10.62    1.15   -8.65   47.29    2.69
 2047   -1.39    1.79  -11.70   -1.90    6.27
 2048   -5.36   -0.02   -5.42  -15.95   -0.04
 2049  -10.39   -1.06   -0.16  -30.29  -10.05
 2050   -9.10   -1.81   -3.62  -25.42   -5.56
 2051    3.31   -0.26   21.83    3.19  -11.51
 2052    4.20   -0.07   -0.64    4.77   12.76
 2053   -5.40    2.28    0.26  -23.38   -0.78
 2054   -1.95    0.11   -2.21    4.39  -10.10
 2055   -1.19   -1.63   -0.77   -2.60    0.26
 2056   -5.84   -1.39   -1.36  -15.05   -5.56
 2057   -3.70    1.82   -0.07  -13.08   -3.46
 2058    7.04   -0.85   -4.54   31.37    2.19
 2059   -3.03    0.93   -3.43   -6.08   -3.54
 2060    4.85    0.28    7.05   17.12   -5.04
 2061    2.34   -1.31    2.57    6.06    2.04
 2062  -12.76   -1.34  -20.51  -32.39    3.19
 2063    2.35    0.46    5.47    7.06   -3.57
 2064    2.38   -1.06    5.89   -1.48    6.16
 2065    2.11   -0.42    4.77    1.99    2.11
 2066   -0.74    1.72    7.66   -7.32   -5.01
 2067  -10.80   -1.22   -4.38  -27.20  -10.38
 2068   -2.06    2.13   -3.80   -3.85   -2.71
 2069    4.38   -0.43    8.96   -3.07   12.08
 2070   -3.39   -0.74   -1.61   -9.72   -1.47
 2071   -8.32   -1.43    5.56  -29.47   -7.95
 2072   -9.52   -0.69  -24.35   -8.15   -4.89
 2073   -2.74    1.42  -10.79    6.17   -7.77
